common_name,scientific_name,status,order,family,region
Senegal Coucal,Centropus senegalensis,,CUCULIFORMES,Cuculidae,MID
White-browed Coucal,Centropus superciliosus,,CUCULIFORMES,Cuculidae,MID
Chestnut-winged Cuckoo,Clamator coromandus,Rare/Accidental,CUCULIFORMES,Cuculidae,MID
Great Spotted Cuckoo,Clamator glandarius,,CUCULIFORMES,Cuculidae,MID
Pied Cuckoo,Clamator jacobinus,,CUCULIFORMES,Cuculidae,MID
Asian Koel,Eudynamys scolopaceus,Rare/Accidental,CUCULIFORMES,Cuculidae,MID
Dideric Cuckoo,Chrysococcyx caprius,,CUCULIFORMES,Cuculidae,MID
Klaas's Cuckoo,Chrysococcyx klaas,,CUCULIFORMES,Cuculidae,MID
Plaintive Cuckoo,Cacomantis merulinus,,CUCULIFORMES,Cuculidae,MID
Gray-bellied Cuckoo,Cacomantis passerinus,Rare/Accidental,CUCULIFORMES,Cuculidae,MID
Common Hawk-Cuckoo,Hierococcyx varius,Rare/Accidental,CUCULIFORMES,Cuculidae,MID
Lesser Cuckoo,Cuculus poliocephalus,Rare/Accidental,CUCULIFORMES,Cuculidae,MID
Himalayan Cuckoo,Cuculus saturatus,Rare/Accidental,CUCULIFORMES,Cuculidae,MID
Common Cuckoo,Cuculus canorus,,CUCULIFORMES,Cuculidae,MID
Oriental Cuckoo,Cuculus optatus,Rare/Accidental,CUCULIFORMES,Cuculidae,MID
Red-necked Nightjar,Caprimulgus ruficollis,Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,MID
Eurasian Nightjar,Caprimulgus europaeus,,CAPRIMULGIFORMES,Caprimulgidae,MID
Egyptian Nightjar,Caprimulgus aegyptius,,CAPRIMULGIFORMES,Caprimulgidae,MID
Nubian Nightjar,Caprimulgus nubicus,,CAPRIMULGIFORMES,Caprimulgidae,MID
Sykes's Nightjar,Caprimulgus mahrattensis,,CAPRIMULGIFORMES,Caprimulgidae,MID
Montane Nightjar,Caprimulgus poliocephalus,,CAPRIMULGIFORMES,Caprimulgidae,MID
Indian Nightjar,Caprimulgus asiaticus,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,MID
Plain Nightjar,Caprimulgus inornatus,,CAPRIMULGIFORMES,Caprimulgidae,MID
Himalayan Swiftlet,Aerodramus brevirostris,Rare/Accidental,APODIFORMES,Apodidae,MID
Alpine Swift,Tachymarptis melba,,APODIFORMES,Apodidae,MID
Common Swift,Apus apus,,APODIFORMES,Apodidae,MID
Plain Swift,Apus unicolor,,APODIFORMES,Apodidae,MID
Pallid Swift,Apus pallidus,,APODIFORMES,Apodidae,MID
Forbes-Watson's Swift,Apus berliozi,,APODIFORMES,Apodidae,MID
Pacific Swift,Apus pacificus,Rare/Accidental,APODIFORMES,Apodidae,MID
Little Swift,Apus affinis,,APODIFORMES,Apodidae,MID
White-rumped Swift,Apus caffer,Rare/Accidental,APODIFORMES,Apodidae,MID
African Palm Swift,Cypsiurus parvus,,APODIFORMES,Apodidae,MID
Water Rail,Rallus aquaticus,,GRUIFORMES,Rallidae,MID
Corn Crake,Crex crex,,GRUIFORMES,Rallidae,MID
African Crake,Crecopsis egregia,Rare/Accidental,GRUIFORMES,Rallidae,MID
Spotted Crake,Porzana porzana,,GRUIFORMES,Rallidae,MID
Lesser Moorhen,Paragallinula angulata,Rare/Accidental,GRUIFORMES,Rallidae,MID
Eurasian Moorhen,Gallinula chloropus,,GRUIFORMES,Rallidae,MID
Eurasian Coot,Fulica atra,,GRUIFORMES,Rallidae,MID
Red-knobbed Coot,Fulica cristata,,GRUIFORMES,Rallidae,MID
Allen's Gallinule,Porphyrio alleni,Rare/Accidental,GRUIFORMES,Rallidae,MID
Purple Gallinule,Porphyrio martinica,Rare/Accidental,GRUIFORMES,Rallidae,MID
African Swamphen,Porphyrio madagascariensis,Rare/Accidental,GRUIFORMES,Rallidae,MID
Gray-headed Swamphen,Porphyrio poliocephalus,,GRUIFORMES,Rallidae,MID
Watercock,Gallicrex cinerea,Rare/Accidental,GRUIFORMES,Rallidae,MID
White-breasted Waterhen,Amaurornis phoenicurus,Rare/Accidental,GRUIFORMES,Rallidae,MID
Striped Crake,Aenigmatolimnas marginalis,,GRUIFORMES,Rallidae,MID
Ruddy-breasted Crake,Zapornia fusca,Rare/Accidental,GRUIFORMES,Rallidae,MID
Little Crake,Zapornia parva,,GRUIFORMES,Rallidae,MID
Baillon's Crake,Zapornia pusilla,,GRUIFORMES,Rallidae,MID
Demoiselle Crane,Anthropoides virgo,,GRUIFORMES,Gruidae,MID
Siberian Crane,Leucogeranus leucogeranus,Critically endangered,GRUIFORMES,Gruidae,MID
Common Crane,Grus grus,,GRUIFORMES,Gruidae,MID
Great Thick-knee,Esacus recurvirostris,Near-threatened,CHARADRIIFORMES,Burhinidae,MID
Spotted Thick-knee,Burhinus capensis,,CHARADRIIFORMES,Burhinidae,MID
Eurasian Thick-knee,Burhinus oedicnemus,,CHARADRIIFORMES,Burhinidae,MID
Senegal Thick-knee,Burhinus senegalensis,,CHARADRIIFORMES,Burhinidae,MID
Egyptian Plover,Pluvianus aegyptius,Rare/Accidental,CHARADRIIFORMES,Pluvianidae,MID
Black-winged Stilt,Himantopus himantopus,,CHARADRIIFORMES,Recurvirostridae,MID
Pied Avocet,Recurvirostra avosetta,,CHARADRIIFORMES,Recurvirostridae,MID
