keep,scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17
n,Numenius arquata,Eurasian Curlew,Numenius arquata,Eurasian Curlew,CHARADRIIFORMES,Scolopacidae
n,Numenius borealis,Eskimo Curlew,Numenius borealis,Eskimo Curlew,CHARADRIIFORMES,Scolopacidae
n,Numenius madagascariensis,Far Eastern Curlew,Numenius madagascariensis,Far Eastern Curlew,CHARADRIIFORMES,Scolopacidae
n,Numenius minutus,Little Curlew,Numenius minutus,Little Curlew,CHARADRIIFORMES,Scolopacidae
n,Numenius tenuirostris,Slender-billed Curlew,Numenius tenuirostris,Slender-billed Curlew,CHARADRIIFORMES,Scolopacidae
n,Oenanthe pleschanka,Pied Wheatear,Oenanthe pleschanka,Pied Wheatear,PASSERIFORMES,Muscicapidae
n,Onychoprion anaethetus,Bridled Tern,Onychoprion anaethetus,Bridled Tern,CHARADRIIFORMES,Laridae
n,Oreothlypis superciliosa,Crescent-chested Warbler,Oreothlypis superciliosa,Crescent-chested Warbler,PASSERIFORMES,Parulidae
n,Oriturus superciliosus,Striped Sparrow,Oriturus superciliosus,Striped Sparrow,PASSERIFORMES,Passerellidae
n,Otus sunia,Oriental Scops-Owl,Otus sunia,Oriental Scops-Owl,STRIGIFORMES,Strigidae
n,Pachyramphus major,Gray-collared Becard,Pachyramphus major,Gray-collared Becard,PASSERIFORMES,Tityridae
n,Pardirallus maculatus,Spotted Rail,Pardirallus maculatus,Spotted Rail,GRUIFORMES,Rallidae
n,Paroaria capitata,Yellow-billed Cardinal,Paroaria capitata,Yellow-billed Cardinal,PASSERIFORMES,Thraupidae
n,Parus major,Great Tit,Parus major,Great Tit,PASSERIFORMES,Paridae
n,Patagioenas squamosa,Scaly-naped Pigeon,Patagioenas squamosa,Scaly-naped Pigeon,COLUMBIFORMES,Columbidae
n,Pelagodroma marina,White-faced Storm-Petrel,Pelagodroma marina,White-faced Storm-Petrel,PROCELLARIIFORMES,Oceanitidae
n,Pelecanus rufescens,Pink-backed Pelican,Pelecanus rufescens,Pink-backed Pelican,PELECANIFORMES,Pelecanidae
n,Periporphyrus celaeno,Crimson-collared Grosbeak,Periporphyrus celaeno,Crimson-collared Grosbeak,PASSERIFORMES,Cardinalidae
n,Pernis ptilorhynchus,Oriental Honey-buzzard,Pernis ptilorhynchus,Oriental Honey-buzzard,ACCIPITRIFORMES,Accipitridae
n,Phaethon lepturus,White-tailed Tropicbird,Phaethon lepturus,White-tailed Tropicbird,PHAETHONTIFORMES,Phaethontidae
n,Phaethon rubricauda,Red-tailed Tropicbird,Phaethon rubricauda,Red-tailed Tropicbird,PHAETHONTIFORMES,Phaethontidae
n,Phaetusa simplex,Large-billed Tern,Phaetusa simplex,Large-billed Tern,CHARADRIIFORMES,Laridae
n,Phasianus versicolor,Green Pheasant,Phasianus versicolor,Green Pheasant,GALLIFORMES,Phasianidae
n,Pheucticus chrysopeplus,Yellow Grosbeak,Pheucticus chrysopeplus,Yellow Grosbeak,PASSERIFORMES,Cardinalidae
n,Phoebastria albatrus,Short-tailed Albatross,Phoebastria albatrus,Short-tailed Albatross,PROCELLARIIFORMES,Diomedeidae
n,Phoebastria immutabilis,Laysan Albatross,Phoebastria immutabilis,Laysan Albatross,PROCELLARIIFORMES,Diomedeidae
n,Phoebastria nigripes,Black-footed Albatross,Phoebastria nigripes,Black-footed Albatross,PROCELLARIIFORMES,Diomedeidae
n,Phoebetria palpebrata,Light-mantled Albatross,Phoebetria palpebrata,Light-mantled Albatross,PROCELLARIIFORMES,Diomedeidae
n,Phoenicopterus ruber,American Flamingo,Phoenicopterus ruber,American Flamingo,PHOENICOPTERIFORMES,Phoenicopteridae
n,Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,Common Redstart,PASSERIFORMES,Muscicapidae
n,Phylloscopus collybita,Common Chiffchaff,Phylloscopus collybita,Common Chiffchaff,PASSERIFORMES,Phylloscopidae
n,Phylloscopus examinandus,Kamchatka Leaf Warbler,Phylloscopus examinandus,Kamchatka Leaf Warbler,PASSERIFORMES,Phylloscopidae
n,Phylloscopus fuscatus,Dusky Warbler,Phylloscopus fuscatus,Dusky Warbler,PASSERIFORMES,Phylloscopidae
n,Phylloscopus proregulus,Pallas's Leaf Warbler,Phylloscopus proregulus,Pallas's Leaf Warbler,PASSERIFORMES,Phylloscopidae
n,Phylloscopus sibilatrix,Wood Warbler,Phylloscopus sibilatrix,Wood Warbler,PASSERIFORMES,Phylloscopidae
n,Phylloscopus trochilus,Willow Warbler,Phylloscopus trochilus,Willow Warbler,PASSERIFORMES,Phylloscopidae
n,Pinguinus impennis,Great Auk,Pinguinus impennis,Great Auk,CHARADRIIFORMES,Alcidae
n,Piranga bidentata,Flame-colored Tanager,Piranga bidentata,Flame-colored Tanager,PASSERIFORMES,Cardinalidae
n,Pluvialis apricaria,European Golden-Plover,Pluvialis apricaria,European Golden-Plover,CHARADRIIFORMES,Charadriidae
n,Porphyrio flavirostris,Azure Gallinule,Porphyrio flavirostris,Azure Gallinule,GRUIFORMES,Rallidae
n,Porphyrio poliocephalus,Gray-headed Swamphen,Porphyrio poliocephalus,Gray-headed Swamphen,GRUIFORMES,Rallidae
n,Procellaria aequinoctialis,White-chinned Petrel,Procellaria aequinoctialis,White-chinned Petrel,PROCELLARIIFORMES,Procellariidae
n,Procellaria parkinsoni,Parkinson's Petrel,Procellaria parkinsoni,Parkinson's Petrel,PROCELLARIIFORMES,Procellariidae
n,Progne chalybea,Gray-breasted Martin,Progne chalybea,Gray-breasted Martin,PASSERIFORMES,Hirundinidae
n,Progne cryptoleuca,Cuban Martin,Progne cryptoleuca,Cuban Martin,PASSERIFORMES,Hirundinidae
n,Progne elegans,Southern Martin,Progne elegans,Southern Martin,PASSERIFORMES,Hirundinidae
n,Progne tapera,Brown-chested Martin,Progne tapera,Brown-chested Martin,PASSERIFORMES,Hirundinidae
n,Pseudobulweria rostrata,Tahiti Petrel,Pseudobulweria rostrata,Tahiti Petrel,PROCELLARIIFORMES,Procellariidae
n,Psittacara erythrogenys,Red-masked Parakeet,Psittacara erythrogenys,Red-masked Parakeet,PSITTACIFORMES,Psittacidae
n,Psittacara mitratus,Mitred Parakeet,Psittacara mitratus,Mitred Parakeet,PSITTACIFORMES,Psittacidae
n,Pterodroma arminjoniana,Trindade Petrel,Pterodroma arminjoniana,Trindade Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma cahow,Bermuda Petrel,Pterodroma cahow,Bermuda Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma externa,Juan Fernandez Petrel,Pterodroma externa,Juan Fernandez Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma feae,Fea's Petrel,Pterodroma feae,Fea's Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma gouldi,Gray-faced Petrel,Pterodroma gouldi,Gray-faced Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma hasitata,Black-capped Petrel,Pterodroma hasitata,Black-capped Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma hypoleuca,Bonin Petrel,Pterodroma hypoleuca,Bonin Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma inexpectata,Mottled Petrel,Pterodroma inexpectata,Mottled Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma longirostris,Stejneger's Petrel,Pterodroma longirostris,Stejneger's Petrel,PROCELLARIIFORMES,Procellariidae
