"scientific_name","common_name","order","family","status_AFR","status_ASI","status_AUS","status_CA","status_CAM","status_CAR","status_EUR","status_hol","status_MID","status_NAM","status_NaN","status_nea","status_oaq","status_oat","status_OCE","status_oin","status_opa","status_PAC","status_pal","status_SAM","status_TT","status_US48","status_USak","status_UShi","status_XX","regions"
"Aythya marila","Greater Scaup","ANSERIFORMES","Anatidae","","",NA,"","","Rare/Accidental","","","","","Rare/Accidental","Rare/Accidental",NA,NA,"",NA,NA,"","","Rare/Accidental",NA,"","","Rare/Accidental","","AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX"
"Aythya affinis","Lesser Scaup","ANSERIFORMES","Anatidae","Rare/Accidental","",NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,"",NA,NA,"","","","Rare/Accidental","","","",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi"
"Somateria mollissima","Common Eider","ANSERIFORMES","Anatidae","Rare/Accidental Near-threatened","Near-threatened",NA,"Near-threatened",NA,"Rare/Accidental Near-threatened","Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Near-threatened",NA,"Near-threatened",NA,"Near-threatened",NA,NA,NA,NA,"Near-threatened",NA,NA,"Near-threatened","Near-threatened",NA,"Near-threatened","AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; oat; pal; US48; USak; XX"
"Melanitta perspicillata","Surf Scoter","ANSERIFORMES","Anatidae","Rare/Accidental","",NA,"","","Rare/Accidental","Rare/Accidental","",NA,"",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","",NA,NA,"","","Rare/Accidental","","AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX"
"Melanitta nigra","Common Scoter","ANSERIFORMES","Anatidae","","",NA,"Rare/Accidental",NA,NA,"","","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental",NA,"",NA,NA,NA,NA,"",NA,NA,"Rare/Accidental",NA,NA,NA,"AFR; ASI; CA; EUR; hol; MID; NAM; nea; oat; pal; US48"
"Clangula hyemalis","Long-tailed Duck","ANSERIFORMES","Anatidae","Rare/Accidental Vulnerable","Vulnerable",NA,"Vulnerable","Rare/Accidental Vulnerable","Rare/Accidental Vulnerable","Vulnerable","Vulnerable","Rare/Accidental Vulnerable","Vulnerable",NA,"Vulnerable",NA,NA,"Vulnerable",NA,NA,"Vulnerable","Vulnerable",NA,NA,"Vulnerable","Vulnerable","Rare/Accidental Vulnerable","Vulnerable","AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX"
"Bucephala albeola","Bufflehead","ANSERIFORMES","Anatidae","Rare/Accidental","",NA,"","","","Rare/Accidental","",NA,"","Rare/Accidental","Rare/Accidental",NA,NA,"",NA,NA,"","","Rare/Accidental",NA,"","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi"
"Bucephala clangula","Common Goldeneye","ANSERIFORMES","Anatidae","","",NA,"","",NA,"","","","",NA,"Rare/Accidental",NA,NA,"Rare/Accidental",NA,NA,"Rare/Accidental","",NA,NA,"","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Mergellus albellus","Smew","ANSERIFORMES","Anatidae","","",NA,"Rare/Accidental","Rare/Accidental",NA,"","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"Rare/Accidental","Rare/Accidental",NA,NA,"AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Lophodytes cucullatus","Hooded Merganser","ANSERIFORMES","Anatidae","Rare/Accidental","Rare/Accidental",NA,"","","","Rare/Accidental","",NA,"",NA,"",NA,NA,"",NA,NA,"","Rare/Accidental",NA,NA,"","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Mergus merganser","Common Merganser","ANSERIFORMES","Anatidae","","",NA,"","","Rare/Accidental","","","","",NA,"Rare/Accidental",NA,NA,"Rare/Accidental",NA,NA,"Rare/Accidental","",NA,NA,"","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Mergus serrator","Red-breasted Merganser","ANSERIFORMES","Anatidae","","",NA,"","","Rare/Accidental","","","","","Rare/Accidental","",NA,NA,"",NA,NA,"","","Rare/Accidental",NA,"","","Rare/Accidental","","AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX"
"Oxyura jamaicensis","Ruddy Duck","ANSERIFORMES","Anatidae","Rare/Accidental","Introduced species",NA,"","","","","","Introduced species","","","",NA,NA,NA,NA,NA,NA,"","",NA,"","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; US48; USak; UShi"
"Lagopus muta","Rock Ptarmigan","GALLIFORMES","Phasianidae","Rare/Accidental","",NA,"",NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"AFR; ASI; CA; EUR; hol; NAM; nea; pal; US48; USak"
"Perdix perdix","Gray Partridge","GALLIFORMES","Phasianidae","Rare/Accidental","","Introduced species","Introduced species",NA,NA,"","","","Introduced species",NA,"Introduced species",NA,NA,"Introduced species",NA,NA,NA,"",NA,NA,"Introduced species",NA,NA,NA,"AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; US48"
"Phasianus colchicus","Ring-necked Pheasant","GALLIFORMES","Phasianidae","Introduced species","","","Introduced species","Introduced species","Extirpated","Introduced species","","","Introduced species",NA,"Introduced species",NA,NA,"",NA,NA,"","","Introduced species",NA,"Introduced species",NA,"Introduced species",NA,"AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; UShi"
"Pavo cristatus","Indian Peafowl","GALLIFORMES","Phasianidae","Introduced species","","Introduced species",NA,NA,"Introduced species",NA,"Introduced species",NA,"Introduced species",NA,"Introduced species",NA,NA,"",NA,NA,"","Extirpated",NA,NA,"Introduced species",NA,"Introduced species",NA,"AFR; ASI; AUS; CAR; hol; NAM; nea; OCE; PAC; pal; US48; UShi"
