common_name,scientific_name,status,order,family,region
Marsh Sandpiper,Tringa stagnatilis,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Wood Sandpiper,Tringa glareola,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Lesser Yellowlegs,Tringa flavipes,Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Willet,Tringa semipalmata,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Spotted Redshank,Tringa erythropus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Greater Yellowlegs,Tringa melanoleuca,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Ruddy Turnstone,Arenaria interpres,Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Red Knot,Calidris canutus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Surfbird,Calidris virgata,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Ruff,Calidris pugnax,,CHARADRIIFORMES,Scolopacidae,UShi
Sharp-tailed Sandpiper,Calidris acuminata,Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Curlew Sandpiper,Calidris ferruginea,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Stilt Sandpiper,Calidris himantopus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Long-toed Stint,Calidris subminuta,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Red-necked Stint,Calidris ruficollis,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Buff-breasted Sandpiper,Calidris subruficollis,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Sanderling,Calidris alba,,CHARADRIIFORMES,Scolopacidae,UShi
Dunlin,Calidris alpina,Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Baird's Sandpiper,Calidris bairdii,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Little Stint,Calidris minuta,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
White-rumped Sandpiper,Calidris fuscicollis,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Least Sandpiper,Calidris minutilla,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Pectoral Sandpiper,Calidris melanotos,,CHARADRIIFORMES,Scolopacidae,UShi
Western Sandpiper,Calidris mauri,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Semipalmated Sandpiper,Calidris pusilla,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Long-tailed Jaeger,Stercorarius longicaudus,,CHARADRIIFORMES,Stercorariidae,UShi
Parasitic Jaeger,Stercorarius parasiticus,,CHARADRIIFORMES,Stercorariidae,UShi
Pomarine Jaeger,Stercorarius pomarinus,,CHARADRIIFORMES,Stercorariidae,UShi
South Polar Skua,Stercorarius maccormicki,,CHARADRIIFORMES,Stercorariidae,UShi
Rhinoceros Auklet,Cerorhinca monocerata,Rare/Accidental,CHARADRIIFORMES,Alcidae,UShi
Tufted Puffin,Fratercula cirrhata,Rare/Accidental,CHARADRIIFORMES,Alcidae,UShi
Horned Puffin,Fratercula corniculata,Rare/Accidental,CHARADRIIFORMES,Alcidae,UShi
Cassin's Auklet,Ptychoramphus aleuticus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Alcidae,UShi
Parakeet Auklet,Aethia psittacula,Rare/Accidental,CHARADRIIFORMES,Alcidae,UShi
Ancient Murrelet,Synthliboramphus antiquus,Rare/Accidental,CHARADRIIFORMES,Alcidae,UShi
Black-legged Kittiwake,Rissa tridactyla,Rare/Accidental Vulnerable,CHARADRIIFORMES,Laridae,UShi
Bonaparte's Gull,Chroicocephalus philadelphia,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Black-headed Gull,Chroicocephalus ridibundus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Laughing Gull,Leucophaeus atricilla,,CHARADRIIFORMES,Laridae,UShi
Franklin's Gull,Leucophaeus pipixcan,,CHARADRIIFORMES,Laridae,UShi
Common Gull,Larus canus,,CHARADRIIFORMES,Laridae,UShi
Short-billed Gull,Larus brachyrhynchus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Ring-billed Gull,Larus delawarensis,,CHARADRIIFORMES,Laridae,UShi
Western Gull,Larus occidentalis,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
American Herring Gull,Larus smithsonianus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Glaucous Gull,Larus hyperboreus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Lesser Black-backed Gull,Larus fuscus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
California Gull,Larus californicus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Glaucous-winged Gull,Larus glaucescens,,CHARADRIIFORMES,Laridae,UShi
Slaty-backed Gull,Larus schistisagus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
White Tern,Gygis alba,,CHARADRIIFORMES,Laridae,UShi
Brown Noddy,Anous stolidus,,CHARADRIIFORMES,Laridae,UShi
Black Noddy,Anous minutus,,CHARADRIIFORMES,Laridae,UShi
Blue-gray Noddy,Anous ceruleus,,CHARADRIIFORMES,Laridae,UShi
Sooty Tern,Onychoprion fuscatus,,CHARADRIIFORMES,Laridae,UShi
Bridled Tern,Onychoprion anaethetus,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Gray-backed Tern,Onychoprion lunatus,,CHARADRIIFORMES,Laridae,UShi
Little Tern,Sternula albifrons,Rare/Accidental,CHARADRIIFORMES,Laridae,UShi
Least Tern,Sternula antillarum,,CHARADRIIFORMES,Laridae,UShi
