common_name,scientific_name,status,order,family,region
Northern Double-collared Sunbird,Cinnyris reichenowi,,PASSERIFORMES,Nectariniidae,AFR
Greater Double-collared Sunbird,Cinnyris afer,,PASSERIFORMES,Nectariniidae,AFR
Regal Sunbird,Cinnyris regius,,PASSERIFORMES,Nectariniidae,AFR
Rockefeller's Sunbird,Cinnyris rockefelleri,Vulnerable,PASSERIFORMES,Nectariniidae,AFR
Eastern Double-collared Sunbird,Cinnyris mediocris,,PASSERIFORMES,Nectariniidae,AFR
Usambara Double-collared Sunbird,Cinnyris usambaricus,Near-threatened,PASSERIFORMES,Nectariniidae,AFR
Forest Double-collared Sunbird,Cinnyris fuelleborni,,PASSERIFORMES,Nectariniidae,AFR
Moreau's Sunbird,Cinnyris moreaui,Near-threatened,PASSERIFORMES,Nectariniidae,AFR
Loveridge's Sunbird,Cinnyris loveridgei,Endangered,PASSERIFORMES,Nectariniidae,AFR
Beautiful Sunbird,Cinnyris pulchellus,,PASSERIFORMES,Nectariniidae,AFR
Gorgeous Sunbird,Cinnyris melanogastrus,,PASSERIFORMES,Nectariniidae,AFR
Marico Sunbird,Cinnyris mariquensis,,PASSERIFORMES,Nectariniidae,AFR
Shelley's Sunbird,Cinnyris shelleyi,,PASSERIFORMES,Nectariniidae,AFR
Congo Sunbird,Cinnyris congensis,,PASSERIFORMES,Nectariniidae,AFR
Red-chested Sunbird,Cinnyris erythrocercus,,PASSERIFORMES,Nectariniidae,AFR
Black-bellied Sunbird,Cinnyris nectarinioides,,PASSERIFORMES,Nectariniidae,AFR
Purple-banded Sunbird,Cinnyris bifasciatus,,PASSERIFORMES,Nectariniidae,AFR
Tsavo Sunbird,Cinnyris tsavoensis,,PASSERIFORMES,Nectariniidae,AFR
Violet-breasted Sunbird,Cinnyris chalcomelas,,PASSERIFORMES,Nectariniidae,AFR
Pemba Sunbird,Cinnyris pembae,,PASSERIFORMES,Nectariniidae,AFR
Orange-tufted Sunbird,Cinnyris bouvieri,,PASSERIFORMES,Nectariniidae,AFR
Palestine Sunbird,Cinnyris osea,,PASSERIFORMES,Nectariniidae,AFR
Abyssinian Sunbird,Cinnyris habessinicus,,PASSERIFORMES,Nectariniidae,AFR
Splendid Sunbird,Cinnyris coccinigastrus,,PASSERIFORMES,Nectariniidae,AFR
Johanna's Sunbird,Cinnyris johannae,,PASSERIFORMES,Nectariniidae,AFR
Superb Sunbird,Cinnyris superbus,,PASSERIFORMES,Nectariniidae,AFR
Rufous-winged Sunbird,Cinnyris rufipennis,Vulnerable,PASSERIFORMES,Nectariniidae,AFR
Oustalet's Sunbird,Cinnyris oustaleti,,PASSERIFORMES,Nectariniidae,AFR
White-bellied Sunbird,Cinnyris talatala,,PASSERIFORMES,Nectariniidae,AFR
Variable Sunbird,Cinnyris venustus,,PASSERIFORMES,Nectariniidae,AFR
Dusky Sunbird,Cinnyris fuscus,,PASSERIFORMES,Nectariniidae,AFR
Ursula's Sunbird,Cinnyris ursulae,,PASSERIFORMES,Nectariniidae,AFR
Bates's Sunbird,Cinnyris batesi,,PASSERIFORMES,Nectariniidae,AFR
Copper Sunbird,Cinnyris cupreus,,PASSERIFORMES,Nectariniidae,AFR
Souimanga Sunbird,Cinnyris sovimanga,,PASSERIFORMES,Nectariniidae,AFR
Malagasy Sunbird,Cinnyris notatus,,PASSERIFORMES,Nectariniidae,AFR
Seychelles Sunbird,Cinnyris dussumieri,,PASSERIFORMES,Nectariniidae,AFR
Humblot's Sunbird,Cinnyris humbloti,,PASSERIFORMES,Nectariniidae,AFR
Anjouan Sunbird,Cinnyris comorensis,,PASSERIFORMES,Nectariniidae,AFR
Mayotte Sunbird,Cinnyris coquerellii,,PASSERIFORMES,Nectariniidae,AFR
White-billed Buffalo-Weaver,Bubalornis albirostris,,PASSERIFORMES,Ploceidae,AFR
Red-billed Buffalo-Weaver,Bubalornis niger,,PASSERIFORMES,Ploceidae,AFR
White-headed Buffalo-Weaver,Dinemellia dinemelli,,PASSERIFORMES,Ploceidae,AFR
Speckle-fronted Weaver,Sporopipes frontalis,,PASSERIFORMES,Ploceidae,AFR
Scaly Weaver,Sporopipes squamifrons,,PASSERIFORMES,Ploceidae,AFR
White-browed Sparrow-Weaver,Plocepasser mahali,,PASSERIFORMES,Ploceidae,AFR
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,,PASSERIFORMES,Ploceidae,AFR
Chestnut-backed Sparrow-Weaver,Plocepasser rufoscapulatus,,PASSERIFORMES,Ploceidae,AFR
Donaldson Smith's Sparrow-Weaver,Plocepasser donaldsoni,,PASSERIFORMES,Ploceidae,AFR
Rufous-tailed Weaver,Histurgops ruficauda,,PASSERIFORMES,Ploceidae,AFR
Gray-capped Social-Weaver,Pseudonigrita arnaudi,,PASSERIFORMES,Ploceidae,AFR
Black-capped Social-Weaver,Pseudonigrita cabanisi,,PASSERIFORMES,Ploceidae,AFR
Sociable Weaver,Philetairus socius,,PASSERIFORMES,Ploceidae,AFR
Red-crowned Malimbe,Malimbus coronatus,,PASSERIFORMES,Ploceidae,AFR
Black-throated Malimbe,Malimbus cassini,,PASSERIFORMES,Ploceidae,AFR
Gola Malimbe,Malimbus ballmanni,Near-threatened,PASSERIFORMES,Ploceidae,AFR
Rachel's Malimbe,Malimbus racheliae,,PASSERIFORMES,Ploceidae,AFR
