common_name,scientific_name,status,order,family,region
Buller's Shearwater,Ardenna bulleri,Vulnerable,PROCELLARIIFORMES,Procellariidae,USak
Sooty Shearwater,Ardenna grisea,Near-threatened,PROCELLARIIFORMES,Procellariidae,USak
Short-tailed Shearwater,Ardenna tenuirostris,,PROCELLARIIFORMES,Procellariidae,USak
Manx Shearwater,Puffinus puffinus,,PROCELLARIIFORMES,Procellariidae,USak
Magnificent Frigatebird,Fregata magnificens,Rare/Accidental,SULIFORMES,Fregatidae,USak
Northern Gannet,Morus bassanus,Rare/Accidental,SULIFORMES,Sulidae,USak
Red-footed Booby,Sula sula,Rare/Accidental,SULIFORMES,Sulidae,USak
Brown Booby,Sula leucogaster,Rare/Accidental,SULIFORMES,Sulidae,USak
Cocos Booby,Sula brewsteri,Rare/Accidental,SULIFORMES,Sulidae,USak
Nazca Booby,Sula granti,Rare/Accidental,SULIFORMES,Sulidae,USak
Brandt's Cormorant,Urile penicillatus,Rare/Accidental,SULIFORMES,Phalacrocoracidae,USak
Red-faced Cormorant,Urile urile,,SULIFORMES,Phalacrocoracidae,USak
Pelagic Cormorant,Urile pelagicus,,SULIFORMES,Phalacrocoracidae,USak
Double-crested Cormorant,Nannopterum auritum,,SULIFORMES,Phalacrocoracidae,USak
White-faced Ibis,Plegadis chihi,Rare/Accidental,PELECANIFORMES,Threskiornithidae,USak
American White Pelican,Pelecanus erythrorhynchos,Rare/Accidental,PELECANIFORMES,Pelecanidae,USak
Brown Pelican,Pelecanus occidentalis,Rare/Accidental,PELECANIFORMES,Pelecanidae,USak
American Bittern,Botaurus lentiginosus,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Yellow Bittern,Botaurus sinensis,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Black-crowned Night Heron,Nycticorax nycticorax,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Tricolored Heron,Egretta tricolor,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Chinese Egret,Egretta eulophotes,Rare/Accidental Vulnerable,PELECANIFORMES,Ardeidae,USak
Little Egret,Egretta garzetta,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Green Heron,Butorides virescens,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Chinese Pond-Heron,Ardeola bacchus,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Western Cattle-Egret,Ardea ibis,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Eastern Cattle-Egret,Ardea coromanda,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Great Egret,Ardea alba,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Yellow-billed Egret,Ardea brachyrhyncha,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Medium Egret,Ardea intermedia,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Gray Heron,Ardea cinerea,Rare/Accidental,PELECANIFORMES,Ardeidae,USak
Great Blue Heron,Ardea herodias,,PELECANIFORMES,Ardeidae,USak
Turkey Vulture,Cathartes aura,Rare/Accidental,CATHARTIFORMES,Cathartidae,USak
Osprey,Pandion haliaetus,,ACCIPITRIFORMES,Pandionidae,USak
Oriental Honey-buzzard,Pernis ptilorhynchus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
Golden Eagle,Aquila chrysaetos,,ACCIPITRIFORMES,Accipitridae,USak
Eurasian Sparrowhawk,Accipiter nisus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
Sharp-shinned Hawk,Accipiter striatus,,ACCIPITRIFORMES,Accipitridae,USak
Eurasian Goshawk,Astur gentilis,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
American Goshawk,Astur atricapillus,,ACCIPITRIFORMES,Accipitridae,USak
Hen Harrier,Circus cyaneus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
Northern Harrier,Circus hudsonius,,ACCIPITRIFORMES,Accipitridae,USak
Black Kite,Milvus migrans,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
White-tailed Eagle,Haliaeetus albicilla,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
Bald Eagle,Haliaeetus leucocephalus,,ACCIPITRIFORMES,Accipitridae,USak
Steller's Sea-Eagle,Haliaeetus pelagicus,Rare/Accidental Vulnerable,ACCIPITRIFORMES,Accipitridae,USak
Mississippi Kite,Ictinia mississippiensis,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
Swainson's Hawk,Buteo swainsoni,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
Red-tailed Hawk,Buteo jamaicensis,,ACCIPITRIFORMES,Accipitridae,USak
Rough-legged Hawk,Buteo lagopus,,ACCIPITRIFORMES,Accipitridae,USak
Long-legged Buzzard,Buteo rufinus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,USak
