common_name,scientific_name,status,order,family,region
Biak Megapode,Megapodius geelvinkianus,Near-threatened,GALLIFORMES,Megapodiidae,OCE
Melanesian Megapode,Megapodius eremita,,GALLIFORMES,Megapodiidae,OCE
Vanuatu Megapode,Megapodius layardi,,GALLIFORMES,Megapodiidae,OCE
New Guinea Megapode,Megapodius decollatus,,GALLIFORMES,Megapodiidae,OCE
Orange-footed Megapode,Megapodius reinwardt,,GALLIFORMES,Megapodiidae,OCE
Helmeted Guineafowl,Numida meleagris,Introduced species,GALLIFORMES,Numididae,OCE
Northern Bobwhite,Colinus virginianus,Introduced species Near-threatened,GALLIFORMES,Odontophoridae,OCE
California Quail,Callipepla californica,Introduced species,GALLIFORMES,Odontophoridae,OCE
Gambel's Quail,Callipepla gambelii,Introduced species,GALLIFORMES,Odontophoridae,OCE
Tacarcuna Wood-Quail,Odontophorus dialeucos,Rare/Accidental,GALLIFORMES,Odontophoridae,OCE
Wild Turkey,Meleagris gallopavo,,GALLIFORMES,Phasianidae,OCE
Black Grouse,Lyrurus tetrix,Rare/Accidental,GALLIFORMES,Phasianidae,OCE
Gray Partridge,Perdix perdix,Introduced species,GALLIFORMES,Phasianidae,OCE
Ring-necked Pheasant,Phasianus colchicus,,GALLIFORMES,Phasianidae,OCE
Green Pheasant,Phasianus versicolor,,GALLIFORMES,Phasianidae,OCE
Kalij Pheasant,Lophura leucomelanos,,GALLIFORMES,Phasianidae,OCE
Indian Peafowl,Pavo cristatus,,GALLIFORMES,Phasianidae,OCE
Green Junglefowl,Gallus varius,,GALLIFORMES,Phasianidae,OCE
Red Junglefowl,Gallus gallus,,GALLIFORMES,Phasianidae,OCE
Gray Francolin,Ortygornis pondicerianus,,GALLIFORMES,Phasianidae,OCE
Black Francolin,Francolinus francolinus,,GALLIFORMES,Phasianidae,OCE
Brown Quail,Synoicus ypsilophorus,,GALLIFORMES,Phasianidae,OCE
Snow Mountain Quail,Synoicus monorthonyx,,GALLIFORMES,Phasianidae,OCE
Blue-breasted Quail,Synoicus chinensis,,GALLIFORMES,Phasianidae,OCE
Japanese Quail,Coturnix japonica,Near-threatened,GALLIFORMES,Phasianidae,OCE
Stubble Quail,Coturnix pectoralis,,GALLIFORMES,Phasianidae,OCE
New Zealand Quail,Coturnix novaezelandiae,Extinct,GALLIFORMES,Phasianidae,OCE
Barbary Partridge,Alectoris barbara,Extirpated,GALLIFORMES,Phasianidae,OCE
Red-legged Partridge,Alectoris rufa,Introduced species Near-threatened,GALLIFORMES,Phasianidae,OCE
Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,OCE
Erckel's Spurfowl,Pternistis erckelii,,GALLIFORMES,Phasianidae,OCE
Rock Pigeon,Columba livia,,COLUMBIFORMES,Columbidae,OCE
