"","common_name","scientific_name","status","order","family","region"
"557","Spot-breasted Wren","Pheugopedius maculipectus","","PASSERIFORMES","Troglodytidae","CRhe"
"558","Black-throated Wren","Pheugopedius atrogularis","","PASSERIFORMES","Troglodytidae","CRhe"
"559","Banded Wren","Thryophilus pleurostictus","","PASSERIFORMES","Troglodytidae","CRhe"
"560","Rufous-and-white Wren","Thryophilus rufalbus","","PASSERIFORMES","Troglodytidae","CRhe"
"561","Stripe-breasted Wren","Cantorchilus thoracicus","","PASSERIFORMES","Troglodytidae","CRhe"
"562","Cabanis's Wren","Cantorchilus modestus","","PASSERIFORMES","Troglodytidae","CRhe"
"563","Canebrake Wren","Cantorchilus zeledoni","","PASSERIFORMES","Troglodytidae","CRhe"
"564","Isthmian Wren","Cantorchilus elutus","","PASSERIFORMES","Troglodytidae","CRhe"
"565","Riverside Wren","Cantorchilus semibadius","","PASSERIFORMES","Troglodytidae","CRhe"
"566","Bay Wren","Cantorchilus nigricapillus","","PASSERIFORMES","Troglodytidae","CRhe"
"567","White-breasted Wood-Wren","Henicorhina leucosticta","","PASSERIFORMES","Troglodytidae","CRhe"
"568","Gray-breasted Wood-Wren","Henicorhina leucophrys","","PASSERIFORMES","Troglodytidae","CRhe"
"569","Song Wren","Cyphorhinus phaeocephalus","","PASSERIFORMES","Troglodytidae","CRhe"
"570","American Dipper","Cinclus mexicanus","","PASSERIFORMES","Cinclidae","CRhe"
"571","Gray Catbird","Dumetella carolinensis","","PASSERIFORMES","Mimidae","CRhe"
"572","Tropical Mockingbird","Mimus gilvus","Introduced species","PASSERIFORMES","Mimidae","CRhe"
"573","Black-faced Solitaire","Myadestes melanops","","PASSERIFORMES","Turdidae","CRhe"
"574","Black-billed Nightingale-Thrush","Catharus gracilirostris","","PASSERIFORMES","Turdidae","CRhe"
"575","Orange-billed Nightingale-Thrush","Catharus aurantiirostris","","PASSERIFORMES","Turdidae","CRhe"
"576","Slaty-backed Nightingale-Thrush","Catharus fuscater","","PASSERIFORMES","Turdidae","CRhe"
"577","Ruddy-capped Nightingale-Thrush","Catharus frantzii","","PASSERIFORMES","Turdidae","CRhe"
"578","Black-headed Nightingale-Thrush","Catharus mexicanus","","PASSERIFORMES","Turdidae","CRhe"
"579","Veery","Catharus fuscescens","","PASSERIFORMES","Turdidae","CRhe"
"580","Gray-cheeked Thrush","Catharus minimus","","PASSERIFORMES","Turdidae","CRhe"
"581","Swainson's Thrush","Catharus ustulatus","","PASSERIFORMES","Turdidae","CRhe"
"582","Wood Thrush","Hylocichla mustelina","","PASSERIFORMES","Turdidae","CRhe"
"583","Sooty Thrush","Turdus nigrescens","","PASSERIFORMES","Turdidae","CRhe"
"584","Mountain Thrush","Turdus plebejus","","PASSERIFORMES","Turdidae","CRhe"
"585","Pale-vented Thrush","Turdus obsoletus","","PASSERIFORMES","Turdidae","CRhe"
"586","White-throated Thrush","Turdus assimilis","","PASSERIFORMES","Turdidae","CRhe"
"587","Clay-colored Thrush","Turdus grayi","","PASSERIFORMES","Turdidae","CRhe"
"588","Cedar Waxwing","Bombycilla cedrorum","","PASSERIFORMES","Bombycillidae","CRhe"
"589","Black-and-yellow Silky-flycatcher","Phainoptila melanoxantha","","PASSERIFORMES","Ptiliogonatidae","CRhe"
"590","Long-tailed Silky-flycatcher","Ptiliogonys caudatus","","PASSERIFORMES","Ptiliogonatidae","CRhe"
"591","Tricolored Munia","Lonchura malacca","Introduced species","PASSERIFORMES","Estrildidae","CRhe"
"592","House Sparrow","Passer domesticus","Introduced species","PASSERIFORMES","Passeridae","CRhe"
"593","Elegant Euphonia","Chlorophonia elegantissima","","PASSERIFORMES","Fringillidae","CRhe"
"594","Golden-browed Chlorophonia","Chlorophonia callophrys","","PASSERIFORMES","Fringillidae","CRhe"
"595","Scrub Euphonia","Euphonia affinis","","PASSERIFORMES","Fringillidae","CRhe"
"596","Yellow-crowned Euphonia","Euphonia luteicapilla","","PASSERIFORMES","Fringillidae","CRhe"
"597","White-vented Euphonia","Euphonia minuta","","PASSERIFORMES","Fringillidae","CRhe"
"598","Yellow-throated Euphonia","Euphonia hirundinacea","","PASSERIFORMES","Fringillidae","CRhe"
"599","Thick-billed Euphonia","Euphonia laniirostris","","PASSERIFORMES","Fringillidae","CRhe"
"600","Spot-crowned Euphonia","Euphonia imitans","","PASSERIFORMES","Fringillidae","CRhe"
"601","Olive-backed Euphonia","Euphonia gouldi","","PASSERIFORMES","Fringillidae","CRhe"
"602","Tawny-capped Euphonia","Euphonia anneae","","PASSERIFORMES","Fringillidae","CRhe"
"603","Lesser Goldfinch","Spinus psaltria","","PASSERIFORMES","Fringillidae","CRhe"
"604","Yellow-bellied Siskin","Spinus xanthogastrus","","PASSERIFORMES","Fringillidae","CRhe"
"605","Ashy-throated Chlorospingus","Chlorospingus canigularis","","PASSERIFORMES","Passerellidae","CRhe"
"606","Sooty-capped Chlorospingus","Chlorospingus pileatus","","PASSERIFORMES","Passerellidae","CRhe"
"607","Common Chlorospingus","Chlorospingus flavopectus","","PASSERIFORMES","Passerellidae","CRhe"
"608","Stripe-headed Sparrow","Peucaea ruficauda","","PASSERIFORMES","Passerellidae","CRhe"
"609","Grasshopper Sparrow","Ammodramus savannarum","","PASSERIFORMES","Passerellidae","CRhe"
"610","Olive Sparrow","Arremonops rufivirgatus","","PASSERIFORMES","Passerellidae","CRhe"
"611","Black-striped Sparrow","Arremonops conirostris","","PASSERIFORMES","Passerellidae","CRhe"
"612","Chipping Sparrow","Spizella passerina","Rare/Accidental","PASSERIFORMES","Passerellidae","CRhe"
"613","Lark Sparrow","Chondestes grammacus","Rare/Accidental","PASSERIFORMES","Passerellidae","CRhe"
"614","Costa Rican Brushfinch","Arremon costaricensis","","PASSERIFORMES","Passerellidae","CRhe"
"615","Orange-billed Sparrow","Arremon aurantiirostris","","PASSERIFORMES","Passerellidae","CRhe"
"616","Chestnut-capped Brushfinch","Arremon brunneinucha","","PASSERIFORMES","Passerellidae","CRhe"
"617","Sooty-faced Finch","Arremon crassirostris","","PASSERIFORMES","Passerellidae","CRhe"
"618","Rufous-collared Sparrow","Zonotrichia capensis","","PASSERIFORMES","Passerellidae","CRhe"
"619","Lincoln's Sparrow","Melospiza lincolnii","Rare/Accidental","PASSERIFORMES","Passerellidae","CRhe"
"620","Large-footed Finch","Pezopetes capitalis","","PASSERIFORMES","Passerellidae","CRhe"
"621","White-eared Ground-Sparrow","Melozone leucotis","","PASSERIFORMES","Passerellidae","CRhe"
"622","Cabanis's Ground-Sparrow","Melozone cabanisi","Endemic (country/region) Near-threatened","PASSERIFORMES","Passerellidae","CRhe"
"623","Rusty Sparrow","Aimophila rufescens","","PASSERIFORMES","Passerellidae","CRhe"
"624","White-naped Brushfinch","Atlapetes albinucha","","PASSERIFORMES","Passerellidae","CRhe"
"625","Yellow-thighed Brushfinch","Atlapetes tibialis","","PASSERIFORMES","Passerellidae","CRhe"
"626","Wrenthrush","Zeledonia coronata","","PASSERIFORMES","Zeledoniidae","CRhe"
"627","Yellow-breasted Chat","Icteria virens","","PASSERIFORMES","Icteriidae","CRhe"
"628","Bobolink","Dolichonyx oryzivorus","Near-threatened","PASSERIFORMES","Icteridae","CRhe"
"629","Eastern Meadowlark","Sturnella magna","","PASSERIFORMES","Icteridae","CRhe"
"630","Red-breasted Meadowlark","Leistes militaris","","PASSERIFORMES","Icteridae","CRhe"
"631","Yellow-billed Cacique","Amblycercus holosericeus","","PASSERIFORMES","Icteridae","CRhe"
"632","Chestnut-headed Oropendola","Psarocolius wagleri","","PASSERIFORMES","Icteridae","CRhe"
"633","Montezuma Oropendola","Psarocolius montezuma","","PASSERIFORMES","Icteridae","CRhe"
"634","Scarlet-rumped Cacique","Cacicus uropygialis","","PASSERIFORMES","Icteridae","CRhe"
"635","Black-cowled Oriole","Icterus prosthemelas","","PASSERIFORMES","Icteridae","CRhe"
"636","Orchard Oriole","Icterus spurius","","PASSERIFORMES","Icteridae","CRhe"
"637","Yellow-tailed Oriole","Icterus mesomelas","","PASSERIFORMES","Icteridae","CRhe"
"638","Streak-backed Oriole","Icterus pustulatus","","PASSERIFORMES","Icteridae","CRhe"
"639","Bullock's Oriole","Icterus bullockii","Rare/Accidental","PASSERIFORMES","Icteridae","CRhe"
"640","Spot-breasted Oriole","Icterus pectoralis","","PASSERIFORMES","Icteridae","CRhe"
"641","Baltimore Oriole","Icterus galbula","","PASSERIFORMES","Icteridae","CRhe"
"642","Red-winged Blackbird","Agelaius phoeniceus","","PASSERIFORMES","Icteridae","CRhe"
"643","Shiny Cowbird","Molothrus bonariensis","","PASSERIFORMES","Icteridae","CRhe"
"644","Bronzed Cowbird","Molothrus aeneus","","PASSERIFORMES","Icteridae","CRhe"
"645","Giant Cowbird","Molothrus oryzivorus","","PASSERIFORMES","Icteridae","CRhe"
"646","Melodious Blackbird","Dives dives","Rare/Accidental","PASSERIFORMES","Icteridae","CRhe"
"647","Great-tailed Grackle","Quiscalus mexicanus","","PASSERIFORMES","Icteridae","CRhe"
"648","Ovenbird","Seiurus aurocapilla","","PASSERIFORMES","Parulidae","CRhe"
"649","Worm-eating Warbler","Helmitheros vermivorum","","PASSERIFORMES","Parulidae","CRhe"
"650","Louisiana Waterthrush","Parkesia motacilla","","PASSERIFORMES","Parulidae","CRhe"
"651","Northern Waterthrush","Parkesia noveboracensis","","PASSERIFORMES","Parulidae","CRhe"
"652","Golden-winged Warbler","Vermivora chrysoptera","Near-threatened","PASSERIFORMES","Parulidae","CRhe"
"653","Blue-winged Warbler","Vermivora cyanoptera","","PASSERIFORMES","Parulidae","CRhe"
"654","Black-and-white Warbler","Mniotilta varia","","PASSERIFORMES","Parulidae","CRhe"
"655","Prothonotary Warbler","Protonotaria citrea","","PASSERIFORMES","Parulidae","CRhe"
"656","Flame-throated Warbler","Oreothlypis gutturalis","","PASSERIFORMES","Parulidae","CRhe"
"657","Tennessee Warbler","Leiothlypis peregrina","","PASSERIFORMES","Parulidae","CRhe"
"658","Nashville Warbler","Leiothlypis ruficapilla","Rare/Accidental","PASSERIFORMES","Parulidae","CRhe"
"659","Connecticut Warbler","Oporornis agilis","Rare/Accidental","PASSERIFORMES","Parulidae","CRhe"
"660","Gray-crowned Yellowthroat","Geothlypis poliocephala","","PASSERIFORMES","Parulidae","CRhe"
"661","MacGillivray's Warbler","Geothlypis tolmiei","","PASSERIFORMES","Parulidae","CRhe"
"662","Mourning Warbler","Geothlypis philadelphia","","PASSERIFORMES","Parulidae","CRhe"
"663","Kentucky Warbler","Geothlypis formosa","","PASSERIFORMES","Parulidae","CRhe"
"664","Olive-crowned Yellowthroat","Geothlypis semiflava","","PASSERIFORMES","Parulidae","CRhe"
"665","Common Yellowthroat","Geothlypis trichas","","PASSERIFORMES","Parulidae","CRhe"
"666","Hooded Warbler","Setophaga citrina","","PASSERIFORMES","Parulidae","CRhe"
"667","American Redstart","Setophaga ruticilla","","PASSERIFORMES","Parulidae","CRhe"
"668","Cape May Warbler","Setophaga tigrina","","PASSERIFORMES","Parulidae","CRhe"
"669","Cerulean Warbler","Setophaga cerulea","Near-threatened","PASSERIFORMES","Parulidae","CRhe"
"670","Northern Parula","Setophaga americana","Rare/Accidental","PASSERIFORMES","Parulidae","CRhe"
"671","Tropical Parula","Setophaga pitiayumi","","PASSERIFORMES","Parulidae","CRhe"
"672","Magnolia Warbler","Setophaga magnolia","","PASSERIFORMES","Parulidae","CRhe"
"673","Bay-breasted Warbler","Setophaga castanea","","PASSERIFORMES","Parulidae","CRhe"
"674","Blackburnian Warbler","Setophaga fusca","","PASSERIFORMES","Parulidae","CRhe"
"675","Northern Yellow Warbler","Setophaga aestiva","","PASSERIFORMES","Parulidae","CRhe"
"676","Mangrove Yellow Warbler","Setophaga petechia","","PASSERIFORMES","Parulidae","CRhe"
"677","Chestnut-sided Warbler","Setophaga pensylvanica","","PASSERIFORMES","Parulidae","CRhe"
"678","Blackpoll Warbler","Setophaga striata","Rare/Accidental Near-threatened","PASSERIFORMES","Parulidae","CRhe"
"679","Black-throated Blue Warbler","Setophaga caerulescens","Rare/Accidental","PASSERIFORMES","Parulidae","CRhe"
"680","Palm Warbler","Setophaga palmarum","","PASSERIFORMES","Parulidae","CRhe"
"681","Pine Warbler","Setophaga pinus","Rare/Accidental","PASSERIFORMES","Parulidae","CRhe"
"682","Yellow-rumped Warbler","Setophaga coronata","","PASSERIFORMES","Parulidae","CRhe"
"683","Yellow-throated Warbler","Setophaga dominica","","PASSERIFORMES","Parulidae","CRhe"
"684","Prairie Warbler","Setophaga discolor","Rare/Accidental","PASSERIFORMES","Parulidae","CRhe"
"685","Townsend's Warbler","Setophaga townsendi","","PASSERIFORMES","Parulidae","CRhe"
"686","Hermit Warbler","Setophaga occidentalis","Rare/Accidental","PASSERIFORMES","Parulidae","CRhe"
"687","Golden-cheeked Warbler","Setophaga chrysoparia","Rare/Accidental Endangered","PASSERIFORMES","Parulidae","CRhe"
"688","Black-throated Green Warbler","Setophaga virens","","PASSERIFORMES","Parulidae","CRhe"
"689","Chestnut-capped Warbler","Basileuterus delattrii","","PASSERIFORMES","Parulidae","CRhe"
"690","Black-cheeked Warbler","Basileuterus melanogenys","","PASSERIFORMES","Parulidae","CRhe"
"691","Golden-crowned Warbler","Basileuterus culicivorus","","PASSERIFORMES","Parulidae","CRhe"
"692","Costa Rican Warbler","Basileuterus melanotis","","PASSERIFORMES","Parulidae","CRhe"
"693","Buff-rumped Warbler","Myiothlypis fulvicauda","","PASSERIFORMES","Parulidae","CRhe"
"694","Canada Warbler","Cardellina canadensis","","PASSERIFORMES","Parulidae","CRhe"
"695","Wilson's Warbler","Cardellina pusilla","","PASSERIFORMES","Parulidae","CRhe"
"696","Slate-throated Redstart","Myioborus miniatus","","PASSERIFORMES","Parulidae","CRhe"
"697","Collared Redstart","Myioborus torquatus","","PASSERIFORMES","Parulidae","CRhe"
"698","Dusky-faced Tanager","Mitrospingus cassinii","","PASSERIFORMES","Mitrospingidae","CRhe"
"699","Hepatic Tanager","Piranga flava","","PASSERIFORMES","Cardinalidae","CRhe"
"700","Summer Tanager","Piranga rubra","","PASSERIFORMES","Cardinalidae","CRhe"
"701","Scarlet Tanager","Piranga olivacea","","PASSERIFORMES","Cardinalidae","CRhe"
"702","Western Tanager","Piranga ludoviciana","","PASSERIFORMES","Cardinalidae","CRhe"
"703","Flame-colored Tanager","Piranga bidentata","","PASSERIFORMES","Cardinalidae","CRhe"
"704","White-winged Tanager","Piranga leucoptera","","PASSERIFORMES","Cardinalidae","CRhe"
"705","Red-crowned Ant-Tanager","Habia rubica","","PASSERIFORMES","Cardinalidae","CRhe"
"706","Red-throated Ant-Tanager","Driophlox fuscicauda","","PASSERIFORMES","Cardinalidae","CRhe"
"707","Carmiol's Tanager","Chlorothraupis carmioli","","PASSERIFORMES","Cardinalidae","CRhe"
"708","Black-faced Grosbeak","Caryothraustes poliogaster","","PASSERIFORMES","Cardinalidae","CRhe"
"709","Black-thighed Grosbeak","Pheucticus tibialis","","PASSERIFORMES","Cardinalidae","CRhe"
"710","Rose-breasted Grosbeak","Pheucticus ludovicianus","","PASSERIFORMES","Cardinalidae","CRhe"
"711","Black-headed Grosbeak","Pheucticus melanocephalus","Rare/Accidental","PASSERIFORMES","Cardinalidae","CRhe"
"712","Blue Seedeater","Amaurospiza concolor","","PASSERIFORMES","Cardinalidae","CRhe"
"713","Blue-black Grosbeak","Cyanoloxia cyanoides","","PASSERIFORMES","Cardinalidae","CRhe"
"714","Blue Grosbeak","Passerina caerulea","","PASSERIFORMES","Cardinalidae","CRhe"
"715","Indigo Bunting","Passerina cyanea","","PASSERIFORMES","Cardinalidae","CRhe"
"716","Painted Bunting","Passerina ciris","","PASSERIFORMES","Cardinalidae","CRhe"
"717","Dickcissel","Spiza americana","","PASSERIFORMES","Cardinalidae","CRhe"
"718","Gray-headed Tanager","Eucometis penicillata","","PASSERIFORMES","Thraupidae","CRhe"
"719","White-shouldered Tanager","Loriotus luctuosus","","PASSERIFORMES","Thraupidae","CRhe"
"720","Tawny-crested Tanager","Tachyphonus delatrii","","PASSERIFORMES","Thraupidae","CRhe"
"721","White-lined Tanager","Tachyphonus rufus","","PASSERIFORMES","Thraupidae","CRhe"
"722","White-throated Shrike-Tanager","Lanio leucothorax","Near-threatened","PASSERIFORMES","Thraupidae","CRhe"
"723","Crimson-collared Tanager","Ramphocelus sanguinolentus","","PASSERIFORMES","Thraupidae","CRhe"
"724","Scarlet-rumped Tanager","Ramphocelus passerinii","","PASSERIFORMES","Thraupidae","CRhe"
"725","Crimson-backed Tanager","Ramphocelus dimidiatus","Rare/Accidental","PASSERIFORMES","Thraupidae","CRhe"
"726","Blue-and-gold Tanager","Bangsia arcaei","Near-threatened","PASSERIFORMES","Thraupidae","CRhe"
"727","Blue-gray Tanager","Thraupis episcopus","","PASSERIFORMES","Thraupidae","CRhe"
"728","Yellow-winged Tanager","Thraupis abbas","","PASSERIFORMES","Thraupidae","CRhe"
"729","Palm Tanager","Thraupis palmarum","","PASSERIFORMES","Thraupidae","CRhe"
"730","Speckled Tanager","Ixothraupis guttata","","PASSERIFORMES","Thraupidae","CRhe"
"731","Golden-hooded Tanager","Stilpnia larvata","","PASSERIFORMES","Thraupidae","CRhe"
"732","Spangle-cheeked Tanager","Tangara dowii","","PASSERIFORMES","Thraupidae","CRhe"
"733","Plain-colored Tanager","Tangara inornata","","PASSERIFORMES","Thraupidae","CRhe"
"734","Rufous-winged Tanager","Tangara lavinia","","PASSERIFORMES","Thraupidae","CRhe"
"735","Bay-headed Tanager","Tangara gyrola","","PASSERIFORMES","Thraupidae","CRhe"
"736","Emerald Tanager","Tangara florida","","PASSERIFORMES","Thraupidae","CRhe"
"737","Silver-throated Tanager","Tangara icterocephala","","PASSERIFORMES","Thraupidae","CRhe"
"738","Scarlet-thighed Dacnis","Dacnis venusta","","PASSERIFORMES","Thraupidae","CRhe"
"739","Blue Dacnis","Dacnis cayana","","PASSERIFORMES","Thraupidae","CRhe"
"740","Shining Honeycreeper","Cyanerpes lucidus","","PASSERIFORMES","Thraupidae","CRhe"
"741","Red-legged Honeycreeper","Cyanerpes cyaneus","","PASSERIFORMES","Thraupidae","CRhe"
"742","Green Honeycreeper","Chlorophanes spiza","","PASSERIFORMES","Thraupidae","CRhe"
"743","Black-and-yellow Tanager","Chrysothlypis chrysomelas","","PASSERIFORMES","Thraupidae","CRhe"
"744","Slaty Flowerpiercer","Diglossa plumbea","","PASSERIFORMES","Thraupidae","CRhe"
"745","Slaty Finch","Haplospiza rustica","","PASSERIFORMES","Thraupidae","CRhe"
"746","Peg-billed Finch","Acanthidops bairdi","","PASSERIFORMES","Thraupidae","CRhe"
"747","Blue-black Grassquit","Volatinia jacarina","","PASSERIFORMES","Thraupidae","CRhe"
"748","Ruddy-breasted Seedeater","Sporophila minuta","","PASSERIFORMES","Thraupidae","CRhe"
"749","Thick-billed Seed-Finch","Sporophila funerea","","PASSERIFORMES","Thraupidae","CRhe"
"750","Nicaraguan Seed-Finch","Sporophila nuttingi","","PASSERIFORMES","Thraupidae","CRhe"
"751","Variable Seedeater","Sporophila corvina","","PASSERIFORMES","Thraupidae","CRhe"
"752","Morelet's Seedeater","Sporophila morelleti","","PASSERIFORMES","Thraupidae","CRhe"
"753","Yellow-bellied Seedeater","Sporophila nigricollis","","PASSERIFORMES","Thraupidae","CRhe"
"754","Slate-colored Seedeater","Sporophila schistacea","","PASSERIFORMES","Thraupidae","CRhe"
"755","Bananaquit","Coereba flaveola","","PASSERIFORMES","Thraupidae","CRhe"
"756","Yellow-faced Grassquit","Tiaris olivaceus","","PASSERIFORMES","Thraupidae","CRhe"
"757","Buff-throated Saltator","Saltator maximus","","PASSERIFORMES","Thraupidae","CRhe"
"758","Black-headed Saltator","Saltator atriceps","","PASSERIFORMES","Thraupidae","CRhe"
"759","Cinnamon-bellied Saltator","Saltator grandis","","PASSERIFORMES","Thraupidae","CRhe"
"760","Streaked Saltator","Saltator striatipectus","","PASSERIFORMES","Thraupidae","CRhe"
"761","Slate-colored Grosbeak","Saltator grossus","","PASSERIFORMES","Thraupidae","CRhe"
