"","common_name","scientific_name","status","order","family","region"
"84","Vaux's Swift","Chaetura vauxi","","APODIFORMES","Apodidae","CRhe"
"85","Lesser Swallow-tailed Swift","Panyptila cayennensis","","APODIFORMES","Apodidae","CRhe"
"86","Great Swallow-tailed Swift","Panyptila sanctihieronymi","Rare/Accidental","APODIFORMES","Apodidae","CRhe"
"87","White-necked Jacobin","Florisuga mellivora","","APODIFORMES","Trochilidae","CRhe"
"88","White-tipped Sicklebill","Eutoxeres aquila","","APODIFORMES","Trochilidae","CRhe"
"89","Bronzy Hermit","Glaucis aeneus","","APODIFORMES","Trochilidae","CRhe"
"90","Band-tailed Barbthroat","Threnetes ruckeri","","APODIFORMES","Trochilidae","CRhe"
"91","Green Hermit","Phaethornis guy","","APODIFORMES","Trochilidae","CRhe"
"92","Long-billed Hermit","Phaethornis longirostris","","APODIFORMES","Trochilidae","CRhe"
"93","Stripe-throated Hermit","Phaethornis striigularis","","APODIFORMES","Trochilidae","CRhe"
"94","Green-fronted Lancebill","Doryfera ludovicae","","APODIFORMES","Trochilidae","CRhe"
"95","Brown Violetear","Colibri delphinae","","APODIFORMES","Trochilidae","CRhe"
"96","Mexican Violetear","Colibri thalassinus","","APODIFORMES","Trochilidae","CRhe"
"97","Lesser Violetear","Colibri cyanotus","","APODIFORMES","Trochilidae","CRhe"
"98","Purple-crowned Fairy","Heliothryx barroti","","APODIFORMES","Trochilidae","CRhe"
"99","Green-breasted Mango","Anthracothorax prevostii","","APODIFORMES","Trochilidae","CRhe"
"100","Green Thorntail","Discosura conversii","","APODIFORMES","Trochilidae","CRhe"
"101","Black-crested Coquette","Lophornis helenae","","APODIFORMES","Trochilidae","CRhe"
"102","White-crested Coquette","Lophornis adorabilis","","APODIFORMES","Trochilidae","CRhe"
"103","Green-crowned Brilliant","Heliodoxa jacula","","APODIFORMES","Trochilidae","CRhe"
"104","Rivoli's Hummingbird","Eugenes fulgens","","APODIFORMES","Trochilidae","CRhe"
"105","Talamanca Hummingbird","Eugenes spectabilis","","APODIFORMES","Trochilidae","CRhe"
"106","Long-billed Starthroat","Heliomaster longirostris","","APODIFORMES","Trochilidae","CRhe"
"107","Plain-capped Starthroat","Heliomaster constantii","","APODIFORMES","Trochilidae","CRhe"
"108","Fiery-throated Hummingbird","Panterpe insignis","","APODIFORMES","Trochilidae","CRhe"
"109","White-bellied Mountain-gem","Lampornis hemileucus","","APODIFORMES","Trochilidae","CRhe"
"110","Purple-throated Mountain-gem","Lampornis calolaemus","","APODIFORMES","Trochilidae","CRhe"
"111","Magenta-throated Woodstar","Philodice bryantae","","APODIFORMES","Trochilidae","CRhe"
"112","Ruby-throated Hummingbird","Archilochus colubris","","APODIFORMES","Trochilidae","CRhe"
"113","Volcano Hummingbird","Selasphorus flammula","","APODIFORMES","Trochilidae","CRhe"
"114","Scintillant Hummingbird","Selasphorus scintilla","","APODIFORMES","Trochilidae","CRhe"
"115","Canivet's Emerald","Cynanthus canivetii","","APODIFORMES","Trochilidae","CRhe"
"116","Garden Emerald","Chlorostilbon assimilis","","APODIFORMES","Trochilidae","CRhe"
"117","Violet-headed Hummingbird","Klais guimeti","","APODIFORMES","Trochilidae","CRhe"
"118","Violet Sabrewing","Campylopterus hemileucurus","","APODIFORMES","Trochilidae","CRhe"
"119","Bronze-tailed Plumeleteer","Chalybura urochrysia","","APODIFORMES","Trochilidae","CRhe"
"120","Crowned Woodnymph","Thalurania colombica","","APODIFORMES","Trochilidae","CRhe"
"121","Snowcap","Microchera albocoronata","","APODIFORMES","Trochilidae","CRhe"
"122","Coppery-headed Emerald","Microchera cupreiceps","Endemic (country/region)","APODIFORMES","Trochilidae","CRhe"
"123","White-tailed Emerald","Microchera chionura","","APODIFORMES","Trochilidae","CRhe"
"124","Stripe-tailed Hummingbird","Eupherusa eximia","","APODIFORMES","Trochilidae","CRhe"
"125","Black-bellied Hummingbird","Eupherusa nigriventris","","APODIFORMES","Trochilidae","CRhe"
"126","Scaly-breasted Hummingbird","Phaeochroa cuvierii","","APODIFORMES","Trochilidae","CRhe"
"127","Blue-vented Hummingbird","Saucerottia hoffmanni","","APODIFORMES","Trochilidae","CRhe"
"128","Blue-tailed Hummingbird","Saucerottia cyanura","Rare/Accidental","APODIFORMES","Trochilidae","CRhe"
"129","Cinnamon Hummingbird","Amazilia rutila","","APODIFORMES","Trochilidae","CRhe"
