common_name,scientific_name,status,order,family,region
Dollarbird,Eurystomus orientalis,,CORACIIFORMES,Coraciidae,PAC
Eurasian Kestrel,Falco tinnunculus,,FALCONIFORMES,Falconidae,PAC
American Kestrel,Falco sparverius,,FALCONIFORMES,Falconidae,PAC
Amur Falcon,Falco amurensis,,FALCONIFORMES,Falconidae,PAC
Merlin,Falco columbarius,Rare/Accidental,FALCONIFORMES,Falconidae,PAC
Aplomado Falcon,Falco femoralis,Rare/Accidental,FALCONIFORMES,Falconidae,PAC
Peregrine Falcon,Falco peregrinus,,FALCONIFORMES,Falconidae,PAC
Sulphur-crested Cockatoo,Cacatua galerita,,PSITTACIFORMES,Cacatuidae,PAC
Papuan Eclectus,Eclectus polychloros,Introduced species,PSITTACIFORMES,Psittaculidae,PAC
Oceanic Eclectus,Eclectus infectus,Extirpated Extinct,PSITTACIFORMES,Psittaculidae,PAC
Rose-ringed Parakeet,Psittacula krameri,Introduced species,PSITTACIFORMES,Psittaculidae,PAC
Crimson Shining-Parrot,Prosopeia splendens,Near-threatened,PSITTACIFORMES,Psittaculidae,PAC
Red Shining-Parrot,Prosopeia tabuensis,,PSITTACIFORMES,Psittaculidae,PAC
Masked Shining-Parrot,Prosopeia personata,Near-threatened,PSITTACIFORMES,Psittaculidae,PAC
Raiatea Parakeet,Cyanoramphus ulietanus,Extinct,PSITTACIFORMES,Psittaculidae,PAC
Black-fronted Parakeet,Cyanoramphus zealandicus,Extinct,PSITTACIFORMES,Psittaculidae,PAC
Red-throated Lorikeet,Vini amabilis,Critically endangered,PSITTACIFORMES,Psittaculidae,PAC
Collared Lory,Vini solitaria,,PSITTACIFORMES,Psittaculidae,PAC
Blue-crowned Lorikeet,Vini australis,,PSITTACIFORMES,Psittaculidae,PAC
Ultramarine Lorikeet,Vini ultramarina,Critically endangered,PSITTACIFORMES,Psittaculidae,PAC
Stephen's Lorikeet,Vini stepheni,Vulnerable,PSITTACIFORMES,Psittaculidae,PAC
Kuhl's Lorikeet,Vini kuhlii,Endangered,PSITTACIFORMES,Psittaculidae,PAC
Blue Lorikeet,Vini peruviana,Vulnerable,PSITTACIFORMES,Psittaculidae,PAC
Pohnpei Lorikeet,Trichoglossus rubiginosus,Near-threatened,PSITTACIFORMES,Psittaculidae,PAC
Gray Kingbird,Tyrannus dominicensis,,PASSERIFORMES,Tyrannidae,PAC
Micronesian Myzomela,Myzomela rubratra,,PASSERIFORMES,Meliphagidae,PAC
Samoan Myzomela,Myzomela nigriventris,,PASSERIFORMES,Meliphagidae,PAC
Rotuma Myzomela,Myzomela chermesina,Vulnerable,PASSERIFORMES,Meliphagidae,PAC
Sulphur-breasted Myzomela,Myzomela jugularis,,PASSERIFORMES,Meliphagidae,PAC
Kadavu Honeyeater,Meliphacator provocator,,PASSERIFORMES,Meliphagidae,PAC
Mao,Gymnomyza samoensis,Endangered,PASSERIFORMES,Meliphagidae,PAC
Eastern Wattled-Honeyeater,Foulehaio carunculatus,,PASSERIFORMES,Meliphagidae,PAC
Ashy Minivet,Pericrocotus divaricatus,Rare/Accidental,PASSERIFORMES,Campephagidae,PAC
White-bellied Cuckooshrike,Coracina papuensis,,PASSERIFORMES,Campephagidae,PAC
Polynesian Triller,Lalage maculosa,,PASSERIFORMES,Campephagidae,PAC
Samoan Triller,Lalage sharpei,Near-threatened,PASSERIFORMES,Campephagidae,PAC
Pohnpei Cicadabird,Edolisoma insperatum,Endangered,PASSERIFORMES,Campephagidae,PAC
Palau Cicadabird,Edolisoma monacha,,PASSERIFORMES,Campephagidae,PAC
Yap Cicadabird,Edolisoma nesiotis,Endangered,PASSERIFORMES,Campephagidae,PAC
White-eyed Vireo,Vireo griseus,Rare/Accidental,PASSERIFORMES,Vireonidae,PAC
Red-eyed Vireo,Vireo olivaceus,,PASSERIFORMES,Vireonidae,PAC
Black-whiskered Vireo,Vireo altiloquus,,PASSERIFORMES,Vireonidae,PAC
Samoan Whistler,Pachycephala flavifrons,,PASSERIFORMES,Pachycephalidae,PAC
Tongan Whistler,Pachycephala jacquinoti,Near-threatened,PASSERIFORMES,Pachycephalidae,PAC
Black-tailed Whistler,Pachycephala melanura,,PASSERIFORMES,Pachycephalidae,PAC
Morningbird,Pachycephala tenebrosa,,PASSERIFORMES,Pachycephalidae,PAC
Fiji Woodswallow,Artamus mentalis,,PASSERIFORMES,Artamidae,PAC
White-breasted Woodswallow,Artamus leucorynchus,,PASSERIFORMES,Artamidae,PAC
Australian Magpie,Gymnorhina tibicen,Introduced species,PASSERIFORMES,Artamidae,PAC
Palau Fantail,Rhipidura lepida,,PASSERIFORMES,Rhipiduridae,PAC
Micronesian Rufous Fantail,Rhipidura versicolor,,PASSERIFORMES,Rhipiduridae,PAC
Pohnpei Fantail,Rhipidura kubaryi,,PASSERIFORMES,Rhipiduridae,PAC
