common_name,scientific_name,status,order,family,region
Christmas Island Imperial-Pigeon,Ducula whartoni,,COLUMBIFORMES,Columbidae,AUS
Barking Imperial-Pigeon,Ducula latrans,Endemic,COLUMBIFORMES,Columbidae,AUS
Chestnut-bellied Imperial-Pigeon,Ducula brenchleyi,Near-threatened,COLUMBIFORMES,Columbidae,AUS
Baker's Imperial-Pigeon,Ducula bakeri,,COLUMBIFORMES,Columbidae,AUS
New Caledonian Imperial-Pigeon,Ducula goliath,Near-threatened,COLUMBIFORMES,Columbidae,AUS
Pinon's Imperial-Pigeon,Ducula pinon,,COLUMBIFORMES,Columbidae,AUS
Bismarck Imperial-Pigeon,Ducula melanochroa,,COLUMBIFORMES,Columbidae,AUS
Collared Imperial-Pigeon,Ducula mullerii,,COLUMBIFORMES,Columbidae,AUS
Zoe's Imperial-Pigeon,Ducula zoeae,,COLUMBIFORMES,Columbidae,AUS
Pied Imperial-Pigeon,Ducula bicolor,,COLUMBIFORMES,Columbidae,AUS
Yellowish Imperial-Pigeon,Ducula subflavescens,Near-threatened,COLUMBIFORMES,Columbidae,AUS
Torresian Imperial-Pigeon,Ducula spilorrhoa,,COLUMBIFORMES,Columbidae,AUS
Topknot Pigeon,Lopholaimus antarcticus,,COLUMBIFORMES,Columbidae,AUS
New Zealand Pigeon,Hemiphaga novaeseelandiae,,COLUMBIFORMES,Columbidae,AUS
Chatham Islands Pigeon,Hemiphaga chathamensis,Vulnerable,COLUMBIFORMES,Columbidae,AUS
Papuan Mountain-Pigeon,Gymnophaps albertisii,,COLUMBIFORMES,Columbidae,AUS
Pale Mountain-Pigeon,Gymnophaps solomonensis,,COLUMBIFORMES,Columbidae,AUS
Australian Bustard,Ardeotis australis,,OTIDIFORMES,Otididae,AUS
Buff-headed Coucal,Centropus milo,,CUCULIFORMES,Cuculidae,AUS
Pied Coucal,Centropus ateralbus,,CUCULIFORMES,Cuculidae,AUS
Biak Coucal,Centropus chalybeus,Near-threatened,CUCULIFORMES,Cuculidae,AUS
Greater Black Coucal,Centropus menbeki,,CUCULIFORMES,Cuculidae,AUS
Lesser Coucal,Centropus bengalensis,Rare/Accidental,CUCULIFORMES,Cuculidae,AUS
Violaceous Coucal,Centropus violaceus,,CUCULIFORMES,Cuculidae,AUS
Lesser Black Coucal,Centropus bernsteini,,CUCULIFORMES,Cuculidae,AUS
Pheasant Coucal,Centropus phasianinus,,CUCULIFORMES,Cuculidae,AUS
Chestnut-winged Cuckoo,Clamator coromandus,Rare/Accidental,CUCULIFORMES,Cuculidae,AUS
Dwarf Koel,Microdynamis parva,,CUCULIFORMES,Cuculidae,AUS
Asian Koel,Eudynamys scolopaceus,,CUCULIFORMES,Cuculidae,AUS
Pacific Koel,Eudynamys orientalis,,CUCULIFORMES,Cuculidae,AUS
Long-tailed Koel,Urodynamis taitensis,,CUCULIFORMES,Cuculidae,AUS
Channel-billed Cuckoo,Scythrops novaehollandiae,,CUCULIFORMES,Cuculidae,AUS
Long-billed Cuckoo,Chalcites megarhynchus,,CUCULIFORMES,Cuculidae,AUS
Horsfield's Bronze-Cuckoo,Chalcites basalis,,CUCULIFORMES,Cuculidae,AUS
Black-eared Cuckoo,Chalcites osculans,,CUCULIFORMES,Cuculidae,AUS
Rufous-throated Bronze-Cuckoo,Chalcites ruficollis,,CUCULIFORMES,Cuculidae,AUS
Shining Bronze-Cuckoo,Chalcites lucidus,,CUCULIFORMES,Cuculidae,AUS
White-eared Bronze-Cuckoo,Chalcites meyerii,,CUCULIFORMES,Cuculidae,AUS
Little Bronze-Cuckoo,Chalcites minutillus,,CUCULIFORMES,Cuculidae,AUS
Pallid Cuckoo,Heteroscenes pallidus,,CUCULIFORMES,Cuculidae,AUS
White-crowned Cuckoo,Caliechthrus leucolophus,,CUCULIFORMES,Cuculidae,AUS
Chestnut-breasted Cuckoo,Cacomantis castaneiventris,,CUCULIFORMES,Cuculidae,AUS
Fan-tailed Cuckoo,Cacomantis flabelliformis,,CUCULIFORMES,Cuculidae,AUS
Sahul Brush Cuckoo,Cacomantis variolosus,,CUCULIFORMES,Cuculidae,AUS
Solomons Brush Cuckoo,Cacomantis addendus,,CUCULIFORMES,Cuculidae,AUS
Manus Brush Cuckoo,Cacomantis blandus,,CUCULIFORMES,Cuculidae,AUS
Square-tailed Drongo-Cuckoo,Surniculus lugubris,Rare/Accidental,CUCULIFORMES,Cuculidae,AUS
Large Hawk-Cuckoo,Hierococcyx sparverioides,Rare/Accidental,CUCULIFORMES,Cuculidae,AUS
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,Rare/Accidental,CUCULIFORMES,Cuculidae,AUS
Indian Cuckoo,Cuculus micropterus,Rare/Accidental,CUCULIFORMES,Cuculidae,AUS
Himalayan Cuckoo,Cuculus saturatus,,CUCULIFORMES,Cuculidae,AUS
Common Cuckoo,Cuculus canorus,Rare/Accidental,CUCULIFORMES,Cuculidae,AUS
Oriental Cuckoo,Cuculus optatus,,CUCULIFORMES,Cuculidae,AUS
Spotted Nightjar,Eurostopodus argus,,CAPRIMULGIFORMES,Caprimulgidae,AUS
Solomons Nightjar,Eurostopodus nigripennis,Endemic (country/region) Vulnerable,CAPRIMULGIFORMES,Caprimulgidae,AUS
New Caledonian Nightjar,Eurostopodus exul,Endemic Critically endangered,CAPRIMULGIFORMES,Caprimulgidae,AUS
White-throated Nightjar,Eurostopodus mystacalis,,CAPRIMULGIFORMES,Caprimulgidae,AUS
Papuan Nightjar,Eurostopodus papuensis,,CAPRIMULGIFORMES,Caprimulgidae,AUS
Archbold's Nightjar,Eurostopodus archboldi,,CAPRIMULGIFORMES,Caprimulgidae,AUS
Jungle Nightjar,Caprimulgus indicus,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,AUS
Gray Nightjar,Caprimulgus jotaka,Rare/Accidental,CAPRIMULGIFORMES,Caprimulgidae,AUS
Large-tailed Nightjar,Caprimulgus macrurus,,CAPRIMULGIFORMES,Caprimulgidae,AUS
Savanna Nightjar,Caprimulgus affinis,,CAPRIMULGIFORMES,Caprimulgidae,AUS
