cavitynest_interactor,recorder,BBS_InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Seq,AOU
secondary,EP,4/3/2022,"Steeves, T. K., S. B. Kearney-McGee, M. A. Rubega, C. L. Cink, and C. T. Collins (2020). Chimney Swift (Chaetura pelagica), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.chiswi.01",Chaetura,pelagica,Chimney Swift,Martinet ramoneur,Chaetura pelagica,Apodiformes,Apodidae,202,4230
secondary,EP,4/3/2022,"Schwitters, L., D. Schwitters, E. L. Bull, and C. T. Collins (2021). Vaux's Swift (Chaetura vauxi), version 1.1. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.vauswi.01.1",Chaetura,vauxi,Vaux's Swift,Martinet de Vaux,Chaetura vauxi,Apodiformes,Apodidae,203,4240
,,,,Aeronautes,saxatalis,White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,Apodiformes,Apodidae,207,4250
tertiary,IH,9/29/2022,"Powers, D. R., R. Partida-Lara, and P. L. Enríquez (2020). Rivoli's Hummingbird (Eugenes fulgens), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.maghum1.01",Eugenes,fulgens,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,220,4260
tertiary,,,,Eugenes,fulgens,Magnificent Hummingbird,,Eugenes fulgens,,,,
secondary,PLZ,11/23/2021,"Williamson, S. L. (2020). Blue-throated Mountain-gem (Lampornis clemenciae), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.buthum.01",Lampornis,clemenciae,Blue-throated Mountain-gem,Colibri à gorge bleue,Lampornis clemenciae,Apodiformes,Trochilidae,225,4270
,,,,Calothorax,lucifer,Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,Apodiformes,Trochilidae,230,4370
secondary,"AH, IH",4/2/2022-9/19/2022,"Weidensaul, S., T. R. Robinson, R. R. Sargent, M. B. Sargent, and T. J. Zenzal (2020). Ruby-throated Hummingbird (Archilochus colubris), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rthhum.01",Archilochus,colubris,Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,Apodiformes,Trochilidae,232,4280
,,,,Archilochus,alexandri,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Apodiformes,Trochilidae,233,4290
,,,,Archilochus,colubris / alexandri,unid. Ruby-throated / Black-chinned Hummingbird,unid Colibri à gorge rubis / Colibri à gorge noire,Archilochus colubris / alexandri,Apodiformes,Trochilidae,234,4295
secondary,PLZ,11/17/2021,"Clark, C. J. and S. M. Russell (2020). Anna's Hummingbird (Calypte anna), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.annhum.01",Calypte,anna,Anna's Hummingbird,Colibri d'Anna,Calypte anna,Apodiformes,Trochilidae,236,4310
tertiary,IH,9/29/2022-10/4/2022,"Baltosser, W. H. and P. E. Scott (2020). Costa's Hummingbird (Calypte costae), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.coshum.01",Calypte,costae,Costa's Hummingbird,Colibri de Costa,Calypte costae,Apodiformes,Trochilidae,237,4300
secondary,PLZ,11/23/2021,"Camfield, A. F., W. A. Calder, and L. L. Calder (2020). Broad-tailed Hummingbird (Selasphorus platycercus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.brthum.01",Selasphorus,platycercus,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,Apodiformes,Trochilidae,240,4320
secondary,"MB, EP","4/2/2019, checked 6/20/2022","Healy, S. and W. A. Calder (2020). Rufous Hummingbird (Selasphorus rufus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rufhum.01",Selasphorus,rufus,Rufous Hummingbird,Colibri roux,Selasphorus rufus,Apodiformes,Trochilidae,241,4330
,,,,Selasphorus,sasin,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,242,4340
,,,,Selasphorus,rufus / sasin,unid. Rufous Hummingbird / Allen's Hummingbird,unid Colibri roux / Colibri d'Allen,Selasphorus rufus / sasin,Apodiformes,Trochilidae,243,4335
,,,,Trochilid,sp.,unid. hummingbird,unid Colibri sp.,Trochilid sp.,Apodiformes,Trochilidae,244,4402
secondary,EP,4/4/2022,"Calder, W. A. and L. L. Calder (2020). Calliope Hummingbird (Selasphorus calliope), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.calhum.01",Selasphorus,calliope,Calliope Hummingbird,Colibri calliope,Selasphorus calliope,Apodiformes,Trochilidae,245,4360
,,,,Cynanthus,latirostris,Broad-billed Hummingbird,Colibri circé,Cynanthus latirostris,Apodiformes,Trochilidae,250,4410
,,,,Amazilia,yucatanensis,Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia yucatanensis,Apodiformes,Trochilidae,266,4390
,,,,Amazilia,violiceps,Violet-crowned Hummingbird,Ariane à couronne violette,Amazilia violiceps,Apodiformes,Trochilidae,268,4391
,,,,Coturnicops,noveboracensis,Yellow Rail,Râle jaune,Coturnicops noveboracensis,Gruiformes,Rallidae,273,2150
,,,,Laterallus,jamaicensis,Black Rail,Râle noir,Laterallus jamaicensis,Gruiformes,Rallidae,276,2160
,,,,Rallus,obsoletus,Ridgway's Rail,Râle de Californie,Rallus obsoletus,Gruiformes,Rallidae,278,2111
,,,,Rallus,crepitans,Clapper Rail,Râle tapageur,Rallus crepitans,Gruiformes,Rallidae,279,2110
,,,,Rallus,elegans,King Rail,Râle élégant,Rallus elegans,Gruiformes,Rallidae,281,2080
,,,,Rallus,crepitans / elegans,unid. Clapper / King Rail,unid Râle élégant / Râle Gris,Rallus crepitans / elegans,Gruiformes,Rallidae,282,2090
,,,,Rallus,limicola,Virginia Rail,Râle de Virginie,Rallus limicola,Gruiformes,Rallidae,283,2120
,,,,Porzana,carolina,Sora,Marouette de Caroline,Porzana carolina,Gruiformes,Rallidae,287,2140
,,,,Porphyrio,martinicus,Purple Gallinule,Talève violacée,Porphyrio martinicus,Gruiformes,Rallidae,291,2180
,,,,Porphyrio,porphyrio,Purple Swamphen,Talève sultane,Porphyrio porphyrio,Gruiformes,Rallidae,292,21930
,,,,Gallinula,galeata,Common Gallinule,Gallinule d'Amérique,Gallinula galeata,Gruiformes,Rallidae,293,2190
,,,,Fulica,americana,American Coot,Foulque d'Amérique,Fulica americana,Gruiformes,Rallidae,296,2210
,,,,Aramus,guarauna,Limpkin,Courlan brun,Aramus guarauna,Gruiformes,Aramidae,298,2070
,,,,Antigone,canadensis,Sandhill Crane,Grue du Canada,Antigone canadensis,Gruiformes,Gruidae,299,2060
