"common_name","scientific_name","status","order","family","region"
"Northern Gannet","Morus bassanus","","SULIFORMES","Sulidae","AK; CA; US48"
"White Wagtail","Motacilla alba","Rare/Accidental","PASSERIFORMES","Motacillidae","AK; CA; US48"
"Gray Wagtail","Motacilla cinerea","Rare/Accidental","PASSERIFORMES","Motacillidae","AK; CA; US48"
"Citrine Wagtail","Motacilla citreola","Rare/Accidental","PASSERIFORMES","Motacillidae","AK; CA; US48"
"Eastern Yellow Wagtail","Motacilla tschutschensis","Rare/Accidental","PASSERIFORMES","Motacillidae","AK; CA; US48"
"Asian Brown Flycatcher","Muscicapa dauurica","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK"
"Gray-streaked Flycatcher","Muscicapa griseisticta","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK"
"Dark-sided Flycatcher","Muscicapa sibirica","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK"
"Spotted Flycatcher","Muscicapa striata","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK"
"Paint-billed Crake","Mustelirallus erythrops","Rare/Accidental","GRUIFORMES","Rallidae","US48"
"Brown-backed Solitaire","Myadestes occidentalis","Rare/Accidental","PASSERIFORMES","Turdidae","US48"
"Townsend's Solitaire","Myadestes townsendi","","PASSERIFORMES","Turdidae","AK; CA; US48"
"Wood Stork","Mycteria americana","","CICONIIFORMES","Ciconiidae","CA; US48"
"Ash-throated Flycatcher","Myiarchus cinerascens","","PASSERIFORMES","Tyrannidae","AK; CA; US48"
"Great Crested Flycatcher","Myiarchus crinitus","","PASSERIFORMES","Tyrannidae","AK; CA; US48"
"Nutting's Flycatcher","Myiarchus nuttingi","Rare/Accidental","PASSERIFORMES","Tyrannidae","US48"
"La Sagra's Flycatcher","Myiarchus sagrae","Rare/Accidental","PASSERIFORMES","Tyrannidae","US48"
"Dusky-capped Flycatcher","Myiarchus tuberculifer","","PASSERIFORMES","Tyrannidae","US48"
"Brown-crested Flycatcher","Myiarchus tyrannulus","","PASSERIFORMES","Tyrannidae","US48"
"Slate-throated Redstart","Myioborus miniatus","Rare/Accidental","PASSERIFORMES","Parulidae","US48"
"Painted Redstart","Myioborus pictus","","PASSERIFORMES","Parulidae","CA; US48"
"Sulphur-bellied Flycatcher","Myiodynastes luteiventris","","PASSERIFORMES","Tyrannidae","CA; US48"
"Greenish Elaenia","Myiopagis viridicata","Rare/Accidental","PASSERIFORMES","Tyrannidae","US48"
"Monk Parakeet","Myiopsitta monachus","Introduced species","PSITTACIFORMES","Psittacidae","US48"
"Social Flycatcher","Myiozetetes similis","Rare/Accidental","PASSERIFORMES","Tyrannidae","US48"
"Double-crested Cormorant","Nannopterum auritum","","SULIFORMES","Phalacrocoracidae","AK; CA; US48"
"Neotropic Cormorant","Nannopterum brasilianum","","SULIFORMES","Phalacrocoracidae","CA; US48"
"Bahama Woodstar","Nesophlox evelynae","Rare/Accidental","APODIFORMES","Trochilidae","US48"
"Northern Boobook","Ninox japonica","Rare/Accidental","STRIGIFORMES","Strigidae","AK"
"Masked Duck","Nomonyx dominicus","","ANSERIFORMES","Anatidae","US48"
"Clark's Nutcracker","Nucifraga columbiana","","PASSERIFORMES","Corvidae","AK; CA; US48"
"Long-billed Curlew","Numenius americanus","","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Eurasian Curlew","Numenius arquata","Rare/Accidental Near-threatened","CHARADRIIFORMES","Scolopacidae","CA; US48"
"Eskimo Curlew","Numenius borealis","Critically endangered (possibly extinct)","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Far Eastern Curlew","Numenius madagascariensis","Rare/Accidental Endangered","CHARADRIIFORMES","Scolopacidae","AK; CA"
"Little Curlew","Numenius minutus","Rare/Accidental","CHARADRIIFORMES","Scolopacidae","AK; US48"
"Whimbrel","Numenius phaeopus","","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Bristle-thighed Curlew","Numenius tahitiensis","Rare/Accidental Near-threatened","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Slender-billed Curlew","Numenius tenuirostris","Rare/Accidental Critically endangered","CHARADRIIFORMES","Scolopacidae","CA"
"Yellow-crowned Night Heron","Nyctanassa violacea","","PELECANIFORMES","Ardeidae","CA; US48"
"Black-crowned Night Heron","Nycticorax nycticorax","","PELECANIFORMES","Ardeidae","AK; CA; US48"
"Common Pauraque","Nyctidromus albicollis","","CAPRIMULGIFORMES","Caprimulgidae","US48"
"Wilson's Storm-Petrel","Oceanites oceanicus","","PROCELLARIIFORMES","Oceanitidae","CA; US48"
"Northern Wheatear","Oenanthe oenanthe","","PASSERIFORMES","Muscicapidae","AK; CA; US48"
"Pied Wheatear","Oenanthe pleschanka","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK"
"Aleutian Tern","Onychoprion aleuticus","Rare/Accidental Vulnerable","CHARADRIIFORMES","Laridae","AK; CA"
"Bridled Tern","Onychoprion anaethetus","","CHARADRIIFORMES","Laridae","CA; US48"
"Sooty Tern","Onychoprion fuscatus","","CHARADRIIFORMES","Laridae","AK; CA; US48"
