common_name,scientific_name,status,order,family,region
Black Skimmer,Rynchops niger,,CHARADRIIFORMES,Laridae,TT
White Tern,Gygis alba,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Brown Noddy,Anous stolidus,,CHARADRIIFORMES,Laridae,TT
Sooty Tern,Onychoprion fuscatus,,CHARADRIIFORMES,Laridae,TT
Bridled Tern,Onychoprion anaethetus,,CHARADRIIFORMES,Laridae,TT
Least Tern,Sternula antillarum,,CHARADRIIFORMES,Laridae,TT
Yellow-billed Tern,Sternula superciliaris,,CHARADRIIFORMES,Laridae,TT
Large-billed Tern,Phaetusa simplex,,CHARADRIIFORMES,Laridae,TT
Gull-billed Tern,Gelochelidon nilotica,,CHARADRIIFORMES,Laridae,TT
Caspian Tern,Hydroprogne caspia,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Black Tern,Chlidonias niger,,CHARADRIIFORMES,Laridae,TT
Arctic Tern,Sterna paradisaea,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Common Tern,Sterna hirundo,,CHARADRIIFORMES,Laridae,TT
Roseate Tern,Sterna dougallii,,CHARADRIIFORMES,Laridae,TT
Sandwich Tern,Thalasseus sandvicensis,,CHARADRIIFORMES,Laridae,TT
Elegant Tern,Thalasseus elegans,Rare/Accidental Near-threatened,CHARADRIIFORMES,Laridae,TT
Royal Tern,Thalasseus maximus,,CHARADRIIFORMES,Laridae,TT
American Flamingo,Phoenicopterus ruber,,PHOENICOPTERIFORMES,Phoenicopteridae,TT
Least Grebe,Tachybaptus dominicus,,PODICIPEDIFORMES,Podicipedidae,TT
Pied-billed Grebe,Podilymbus podiceps,,PODICIPEDIFORMES,Podicipedidae,TT
White-tailed Tropicbird,Phaethon lepturus,,PHAETHONTIFORMES,Phaethontidae,TT
Red-billed Tropicbird,Phaethon aethereus,,PHAETHONTIFORMES,Phaethontidae,TT
Wilson's Storm-Petrel,Oceanites oceanicus,Rare/Accidental,PROCELLARIIFORMES,Oceanitidae,TT
Leach's Storm-Petrel,Hydrobates leucorhous,Vulnerable,PROCELLARIIFORMES,Hydrobatidae,TT
Bulwer's Petrel,Bulweria bulwerii,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,TT
Cory's Shearwater,Calonectris borealis,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,TT
Cape Verde Shearwater,Calonectris edwardsii,Rare/Accidental Near-threatened,PROCELLARIIFORMES,Procellariidae,TT
Great Shearwater,Ardenna gravis,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,TT
Sooty Shearwater,Ardenna grisea,Rare/Accidental Near-threatened,PROCELLARIIFORMES,Procellariidae,TT
Manx Shearwater,Puffinus puffinus,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,TT
Sargasso Shearwater,Puffinus lherminieri,,PROCELLARIIFORMES,Procellariidae,TT
Maguari Stork,Ciconia maguari,Rare/Accidental,CICONIIFORMES,Ciconiidae,TT
Jabiru,Jabiru mycteria,Rare/Accidental,CICONIIFORMES,Ciconiidae,TT
Wood Stork,Mycteria americana,Rare/Accidental,CICONIIFORMES,Ciconiidae,TT
Magnificent Frigatebird,Fregata magnificens,,SULIFORMES,Fregatidae,TT
Northern Gannet,Morus bassanus,Rare/Accidental,SULIFORMES,Sulidae,TT
Red-footed Booby,Sula sula,,SULIFORMES,Sulidae,TT
Brown Booby,Sula leucogaster,,SULIFORMES,Sulidae,TT
Masked Booby,Sula dactylatra,,SULIFORMES,Sulidae,TT
Anhinga,Anhinga anhinga,,SULIFORMES,Anhingidae,TT
Neotropic Cormorant,Nannopterum brasilianum,,SULIFORMES,Phalacrocoracidae,TT
White Ibis,Eudocimus albus,Rare/Accidental,PELECANIFORMES,Threskiornithidae,TT
Scarlet Ibis,Eudocimus ruber,,PELECANIFORMES,Threskiornithidae,TT
Glossy Ibis,Plegadis falcinellus,,PELECANIFORMES,Threskiornithidae,TT
Buff-necked Ibis,Theristicus caudatus,Rare/Accidental,PELECANIFORMES,Threskiornithidae,TT
Eurasian Spoonbill,Platalea leucorodia,Rare/Accidental,PELECANIFORMES,Threskiornithidae,TT
Roseate Spoonbill,Platalea ajaja,Rare/Accidental,PELECANIFORMES,Threskiornithidae,TT
Brown Pelican,Pelecanus occidentalis,,PELECANIFORMES,Pelecanidae,TT
Rufescent Tiger-Heron,Tigrisoma lineatum,,PELECANIFORMES,Ardeidae,TT
Fasciated Tiger-Heron,Tigrisoma fasciatum,Rare/Accidental,PELECANIFORMES,Ardeidae,TT
Boat-billed Heron,Cochlearius cochlearius,,PELECANIFORMES,Ardeidae,TT
Agami Heron,Agamia agami,Rare/Accidental Near-threatened,PELECANIFORMES,Ardeidae,TT
Pinnated Bittern,Botaurus pinnatus,,PELECANIFORMES,Ardeidae,TT
Stripe-backed Bittern,Botaurus involucris,,PELECANIFORMES,Ardeidae,TT
Least Bittern,Botaurus exilis,,PELECANIFORMES,Ardeidae,TT
Yellow-crowned Night Heron,Nyctanassa violacea,,PELECANIFORMES,Ardeidae,TT
