scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Lonchura atricapilla,Chestnut Munia,Lonchura atricapilla,Chestnut Munia,PASSERIFORMES,Estrildidae,Introduced species,NA,Introduced species,NA,ASI; AUS; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Chestnut Munia,Lonchura atricapilla,NA,Estrildidae (Waxbills and Allies),Passeriformes,yes,Introduced species,yes
Lonchura malacca,Tricolored Munia,Lonchura malacca,Tricolored Munia,PASSERIFORMES,Estrildidae,NA,NA,Rare/Accidental,NA,ASI; CAM; CAR; EUR; hol; MID; NAM; nea; pal; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Tricolored Munia,Lonchura malacca,NA,Estrildidae (Waxbills and Allies),Passeriformes,yes,Rare/Accidental,yes
Lophura nycthemera,Silver Pheasant,Lophura nycthemera,Silver Pheasant,GALLIFORMES,Phasianidae,Introduced species,Introduced species,NA,NA,ASI; CA; hol; NAM; nea; SAM,yes,NA,NA,NA,NA,NA,no,Silver Pheasant,Lophura nycthemera,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Introduced species,yes
Loxia sinesciuris,Cassia Crossbill,Loxia sinesciuris,Cassia Crossbill,PASSERIFORMES,Fringillidae,Endemic,NA,Endemic,NA,hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Cassia Crossbill,Loxia sinesciuris,South Hills and Albion Mountains of south-central Idaho (northwestern USA),"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Endemic,yes
Machetornis rixosa,Cattle Tyrant,Machetornis rixosa,Cattle Tyrant,PASSERIFORMES,Tyrannidae,NA,NA,Uncertain origin,NA,CAM; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Cattle Tyrant,Machetornis rixosa,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Uncertain origin,yes
Macronectes halli,Northern Giant-Petrel,Macronectes halli,Northern Giant-Petrel,PROCELLARIIFORMES,Procellariidae,Rare/Accidental,NA,Rare/Accidental,NA,AFR; AUS; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Northern Giant-Petrel,Macronectes halli,"Southern oceans, generally north of Antarctic convergence",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Margarops fuscatus,Pearly-eyed Thrasher,Margarops fuscatus,Pearly-eyed Thrasher,PASSERIFORMES,Mimidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Pearly-eyed Thrasher,Margarops fuscatus,NA,Mimidae (Mockingbirds and Thrashers),Passeriformes,yes,Rare/Accidental,yes
Melanitta nigra,Common Scoter,Melanitta nigra,Common Scoter,ANSERIFORMES,Anatidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; oat; pal; US48,yes,NA,NA,NA,NA,NA,no,Common Scoter,Melanitta nigra,"breeds southeastern Greenland, Iceland, Scotland, and northern and western Scandinavia to Olenyok River (north-central Siberia); winters to Baltic and North sea coasts, and eastern Atlantic coast to northwestern Africa","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental; Rare/Accidental,yes
Melanitta stejnegeri,Stejneger's Scoter,Melanitta stejnegeri,Stejneger's Scoter,ANSERIFORMES,Anatidae,Rare/Accidental,NA,Rare/Accidental,Rare/Accidental,ASI; EUR; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Stejneger's Scoter,Melanitta stejnegeri,"breeds Yenisey Basin to Kamchatka (central and eastern Siberia), northeastern Kazakhstan, and northern and western Mongolia; winters to Kuril and Commander islands (southeastern Russia), coasts of Japan, and eastern Korean Peninsula (northeastern Pacific)","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental; Rare/Accidental,yes
Melanoptila glabrirostris,Black Catbird,Melanoptila glabrirostris,Black Catbird,PASSERIFORMES,Mimidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black Catbird,Melanoptila glabrirostris,coastal eastern Mexico (Yucatán Peninsula and adjacent islands) to northern Honduras,Mimidae (Mockingbirds and Thrashers),Passeriformes,yes,Rare/Accidental,yes
