scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Thinornis dubius,Little Ringed Plover,Thinornis dubius,Little Ringed Plover,CHARADRIIFORMES,Charadriidae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Little Ringed Plover,Thinornis dubius,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental,yes
Threskiornis aethiopicus,African Sacred Ibis,Threskiornis aethiopicus,African Sacred Ibis,PELECANIFORMES,Threskiornithidae,Introduced species,NA,Introduced species,NA,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; US48,yes,NA,NA,NA,NA,NA,no,African Sacred Ibis,Threskiornis aethiopicus,sub-Saharan Africa and southeastern Iraq; formerly Egypt,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,yes,Introduced species,yes
Tiaris olivaceus,Yellow-faced Grassquit,Tiaris olivaceus,Yellow-faced Grassquit,PASSERIFORMES,Thraupidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nea; OCE; PAC; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-faced Grassquit,Tiaris olivaceus,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Rare/Accidental,yes
Tigrisoma mexicanum,Bare-throated Tiger-Heron,Tigrisoma mexicanum,Bare-throated Tiger-Heron,PELECANIFORMES,Ardeidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Bare-throated Tiger-Heron,Tigrisoma mexicanum,"wet lowlands of coastal western and eastern Mexico (from southern Sonora and southern Tamaulipas) southward through Central America to far northwestern Colombia (lower Atrato Valley), with an extremely disjunct population in northwestern Peru","Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Rare/Accidental,yes
Tityra semifasciata,Masked Tityra,Tityra semifasciata,Masked Tityra,PASSERIFORMES,Tityridae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Masked Tityra,Tityra semifasciata,NA,Tityridae (Tityras and Allies),Passeriformes,yes,Rare/Accidental,yes
Toxostoma cinereum,Gray Thrasher,Toxostoma cinereum,Gray Thrasher,PASSERIFORMES,Mimidae,NA,NA,Uncertain origin,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Gray Thrasher,Toxostoma cinereum,NA,Mimidae (Mockingbirds and Thrashers),Passeriformes,yes,Uncertain origin,yes
Tringa brevipes,Gray-tailed Tattler,Tringa brevipes,Gray-tailed Tattler,CHARADRIIFORMES,Scolopacidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Gray-tailed Tattler,Tringa brevipes,mountains of Siberia; winters to southeastern Asia and Australasia,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Tringa glareola,Wood Sandpiper,Tringa glareola,Wood Sandpiper,CHARADRIIFORMES,Scolopacidae,NA,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Wood Sandpiper,Tringa glareola,"breeds northern Eurasia; winters to southern Africa, southern Asia, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Tringa ochropus,Green Sandpiper,Tringa ochropus,Green Sandpiper,CHARADRIIFORMES,Scolopacidae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak,yes,NA,NA,NA,NA,NA,no,Green Sandpiper,Tringa ochropus,"northern Eurasia; winters to southern Africa, southern Asia, Philippines, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental,yes
Tringa totanus,Common Redshank,Tringa totanus,Common Redshank,CHARADRIIFORMES,Scolopacidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,Common Redshank,Tringa totanus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Turdus assimilis,White-throated Thrush,Turdus assimilis,White-throated Thrush,PASSERIFORMES,Turdidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,White-throated Thrush,Turdus assimilis,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Turdus merula,Eurasian Blackbird,Turdus merula,Eurasian Blackbird,PASSERIFORMES,Turdidae,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal,yes,NA,NA,NA,NA,NA,no,Eurasian Blackbird,Turdus merula,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Turdus naumanni,Naumann's Thrush,Turdus naumanni,Naumann's Thrush,PASSERIFORMES,Turdidae,Rare/Accidental,NA,NA,Rare/Accidental,ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Naumann's Thrush,Turdus naumanni,"central Siberia to northern Manchuria, Amurland, and Sakhalin; winters to Korea",Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Turdus obscurus,Eyebrowed Thrush,Turdus obscurus,Eyebrowed Thrush,PASSERIFORMES,Turdidae,NA,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Eyebrowed Thrush,Turdus obscurus,"Siberia, Mongolia, and Japan; winters to Indonesia and Philippines",Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Turdus plumbeus,Red-legged Thrush,Turdus plumbeus,Red-legged Thrush,PASSERIFORMES,Turdidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Red-legged Thrush,Turdus plumbeus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Turdus rufopalliatus,Rufous-backed Robin,Turdus rufopalliatus,Rufous-backed Robin,PASSERIFORMES,Turdidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Rufous-backed Robin,Turdus rufopalliatus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Turdus viscivorus,Mistle Thrush,Turdus viscivorus,Mistle Thrush,PASSERIFORMES,Turdidae,Rare/Accidental,Rare/Accidental,NA,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Mistle Thrush,Turdus viscivorus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Tyrannus caudifasciatus,Loggerhead Kingbird,Tyrannus caudifasciatus,Loggerhead Kingbird,PASSERIFORMES,Tyrannidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Loggerhead Kingbird,Tyrannus caudifasciatus,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Upupa epops,Eurasian Hoopoe,Upupa epops,Eurasian Hoopoe,BUCEROTIFORMES,Upupidae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Eurasian Hoopoe,Upupa epops,NA,Upupidae (Hoopoes),Bucerotiformes,yes,Rare/Accidental,yes
Urile urile,Red-faced Cormorant,Urile urile,Red-faced Cormorant,SULIFORMES,Phalacrocoracidae,NA,Rare/Accidental,Rare/Accidental,NA,ASI; CA; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Red-faced Cormorant,Urile urile,"central coastal subarctic North Pacific from Kamchatka, northern and central Kuril and Commander islands (southeastern Russia) to southern Kuril Islands and eastern Hokkaido (northern Japan); Aleutian and Pribilof islands (Bering Sea) and southern Alaskan islands",Phalacrocoracidae (Cormorants and Shags),Suliformes,yes,Rare/Accidental; Rare/Accidental,yes
Vanellus chilensis,Southern Lapwing,Vanellus chilensis,Southern Lapwing,CHARADRIIFORMES,Charadriidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48; XX,yes,NA,NA,NA,NA,NA,no,Southern Lapwing,Vanellus chilensis,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental,yes
Vermivora bachmanii,Bachman's Warbler,Vermivora bachmanii,Bachman's Warbler,PASSERIFORMES,Parulidae,Rare/Accidental Critically endangered (possibly extinct),NA,Breeding endemic Critically endangered (possibly extinct),NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Bachman's Warbler,Vermivora bachmanii,formerly southeastern USA; wintered to Cuba and Bahamas (probably extinct),Parulidae (New World Warblers),Passeriformes,yes,Breeding endemic Critically endangered (possibly extinct),yes
Vireo crassirostris,Thick-billed Vireo,Vireo crassirostris,Thick-billed Vireo,PASSERIFORMES,Vireonidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Thick-billed Vireo,Vireo crassirostris,NA,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Passeriformes,yes,Rare/Accidental,yes
Vireo flavoviridis,Yellow-green Vireo,Vireo flavoviridis,Yellow-green Vireo,PASSERIFORMES,Vireonidae,NA,Rare/Accidental,NA,NA,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Yellow-green Vireo,Vireo flavoviridis,NA,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Passeriformes,yes,Rare/Accidental,yes
Vireo gundlachii,Cuban Vireo,Vireo gundlachii,Cuban Vireo,PASSERIFORMES,Vireonidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Cuban Vireo,Vireo gundlachii,woodland of Cuba including Isla de la Juventud (Isle of Pines; south of western Cuba) and adjacent islands,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Passeriformes,yes,Rare/Accidental,yes
Vireo magister,Yucatan Vireo,Vireo magister,Yucatan Vireo,PASSERIFORMES,Vireonidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Yucatan Vireo,Vireo magister,NA,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Passeriformes,yes,Rare/Accidental,yes
Volatinia jacarina,Blue-black Grassquit,Volatinia jacarina,Blue-black Grassquit,PASSERIFORMES,Thraupidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Blue-black Grassquit,Volatinia jacarina,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Rare/Accidental,yes
Zonotrichia capensis,Rufous-collared Sparrow,Zonotrichia capensis,Rufous-collared Sparrow,PASSERIFORMES,Passerellidae,NA,NA,Uncertain origin,NA,CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Rufous-collared Sparrow,Zonotrichia capensis,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Uncertain origin,yes
Zosterops japonicus,Warbling White-eye,Zosterops japonicus,Warbling White-eye,PASSERIFORMES,Zosteropidae,Introduced species,NA,Introduced species,NA,ASI; hol; NAM; nea; US48; UShi,yes,NA,NA,NA,NA,NA,no,Warbling White-eye,Zosterops japonicus,NA,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Passeriformes,yes,Introduced species,yes
