cavitynest_interactor,Region,recorder,InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,BBS_Seq,BBS_AOU2023,new_in_2023BBS_specieslist,SpeciesList,notes
tertiary,CONUS & Canada,EP,3/7/2023,"Nolan Jr., V., E. D. Ketterson, D. A. Cristol, C. M. Rogers, E. D. Clotfelter, R. C. Titus, S. J. Schoech, and E. Snajdr (2020). Dark-eyed Junco (Junco hyemalis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.daejun.01",Junco,hyemalis mearnsi,(Pink-sided Junco) Dark-eyed Junco,Junco ardoisé (groupe mearnsi),Junco hyemalis mearnsi,Passeriformes,Passerellidae,1298,5680,,BBS2022,
tertiary,CONUS & Canada,EP,3/7/2023,"Nolan Jr., V., E. D. Ketterson, D. A. Cristol, C. M. Rogers, E. D. Clotfelter, R. C. Titus, S. J. Schoech, and E. Snajdr (2020). Dark-eyed Junco (Junco hyemalis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.daejun.01",Junco,hyemalis aikeni,(White-winged Junco) Dark-eyed Junco,Junco ardoisé (à ailes blanches),Junco hyemalis aikeni,Passeriformes,Passerellidae,1299,5660,,BBS2022,
tertiary,CONUS & Canada,EP,3/7/2023,"Nolan Jr., V., E. D. Ketterson, D. A. Cristol, C. M. Rogers, E. D. Clotfelter, R. C. Titus, S. J. Schoech, and E. Snajdr (2020). Dark-eyed Junco (Junco hyemalis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.daejun.01",Junco,hyemalis caniceps,(Gray-headed Junco) Dark-eyed Junco,Junco ardoisé (à tête grise),Junco hyemalis caniceps,Passeriformes,Passerellidae,1300,5690,,BBS2022,
tertiary,CONUS & Canada,EP,3/7/2023,"Nolan Jr., V., E. D. Ketterson, D. A. Cristol, C. M. Rogers, E. D. Clotfelter, R. C. Titus, S. J. Schoech, and E. Snajdr (2020). Dark-eyed Junco (Junco hyemalis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.daejun.01",Junco,hyemalis,(unid. race) Dark-eyed Junco,Junco ardoisé (groupe non identifié),Junco hyemalis,Passeriformes,Passerellidae,1301,5677,,BBS2022,
tertiary,CONUS & Canada,EP,3/7/2023,"Sullivan, K. A. (2020). Yellow-eyed Junco (Junco phaeonotus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.yeejun.01",Junco,phaeonotus,Yellow-eyed Junco,Junco aux yeux jaunes,Junco phaeonotus,Passeriformes,Passerellidae,1302,5700,,BBS2022,
secondary,CONUS & Canada,EP,4/9/2019; checked 8/30/2022 - 8/31/2022,"Chilton, G., M. C. Baker, C. D. Barrentine, and M. A. Cunningham (2020). White-crowned Sparrow (Zonotrichia leucophrys), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.whcspa.01",Zonotrichia,leucophrys,White-crowned Sparrow,Bruant à couronne blanche,Zonotrichia leucophrys,Passeriformes,Passerellidae,1305,5540,,BBS2022,
tertiary,CONUS & Canada,EP,3/7/2023,"Norment, C. J., P. Hendricks, and R. Santonocito (2020). Golden-crowned Sparrow (Zonotrichia atricapilla), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gocspa.01",Zonotrichia,atricapilla,Golden-crowned Sparrow,Bruant à couronne dorée,Zonotrichia atricapilla,Passeriformes,Passerellidae,1306,5570,,BBS2022,
tertiary,CONUS & Canada,EP,3/7/2023,"Norment, C. J., S. A. MacDougall-Shackleton, D. J. Watt, P. Pyle, and M. A. Patten (2020). Harris's Sparrow (Zonotrichia querula), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.harspa.01",Zonotrichia,querula,Harris's Sparrow,Bruant à face noire,Zonotrichia querula,Passeriformes,Passerellidae,1307,5530,,BBS2022,
tertiary,CONUS & Canada,EP,3/7/2023,"Falls, J. B. and J. G. Kopachena (2020). White-throated Sparrow (Zonotrichia albicollis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.whtspa.01",Zonotrichia,albicollis,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,Passeriformes,Passerellidae,1308,5580,,BBS2022,
tertiary,CONUS & Canada,CR,11/6/2023,"Martin, J. W. and B. A. Carlson (2020). Sagebrush Sparrow (Artemisiospiza nevadensis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.sagspa1.01",Artemisiospiza,nevadensis,Sagebrush Sparrow,Bruant des armoises,Artemisiospiza nevadensis,Passeriformes,Passerellidae,1309,5738,,BBS2022,
tertiary,CONUS & Canada,CR,11/7/2023,"Martin, J. W. and B. A. Carlson (2020). Bell's Sparrow (Artemisiospiza belli), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.belspa2.01",Artemisiospiza,belli,Bell's Sparrow,Bruant de Bell,Artemisiospiza belli,Passeriformes,Passerellidae,1310,5739,,BBS2022,
,CONUS & Canada,,N/A; unidentified species,,Artemisiospiza,nevadensis / belli,unid. Sagebrush Sparrow / Bell's Sparrow,unid Bruant des armoises / Burant de Bell,Artemisiospiza nevadensis / belli,Passeriformes,Passerellidae,1311,5740,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Jones, S. L. and J. E. Cornely (2020). Vesper Sparrow (Pooecetes gramineus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.vesspa.01",Pooecetes,gramineus,Vesper Sparrow,Bruant vespéral,Pooecetes gramineus,Passeriformes,Passerellidae,1313,5400,,BBS2022,
tertiary,CONUS & Canada,EH,11/6/2023,"Lowther, P. E. (2020). LeConte's Sparrow (Ammospiza leconteii), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.lecspa.01",Ammospiza,leconteii,LeConte's Sparrow,Bruant de LeConte,Ammospiza leconteii,Passeriformes,Passerellidae,1314,5480,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Greenlaw, J. S., W. G. Shriver, and W. Post (2022). Seaside Sparrow (Ammospiza maritima), version 2.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.seaspa.02",Ammospiza,maritima,Seaside Sparrow,Bruant maritime,Ammospiza maritima,Passeriformes,Passerellidae,1315,5500,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Shriver, W. G., T. P. Hodgman, and A. R. Hanson (2020). Nelson's Sparrow (Ammospiza nelsoni), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.nstspa.01",Ammospiza,nelsoni,Nelson's Sparrow,Bruant de Nelson,Ammospiza nelsoni,Passeriformes,Passerellidae,1316,5491,,BBS2022,
tertiary,CONUS & Canada,EP,3/24/2023 - 3/27/2023,"Greenlaw, J. S., C. S. Elphick, W. Post, and J. D. Rising (2020). Saltmarsh Sparrow (Ammospiza caudacuta), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.sstspa.01",Ammospiza,caudacuta,Saltmarsh Sparrow,Bruant à queue aiguë,Ammospiza caudacuta,Passeriformes,Passerellidae,1317,5490,,BBS2022,
tertiary,CONUS & Canada,CR,9/22/2023,"Green, M. T., P. E. Lowther, S. L. Jones, S. K. Davis, and B. C. Dale (2020). Baird's Sparrow (Centronyx bairdii), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.baispa.01",Centronyx,bairdii,Baird's Sparrow,Bruant de Baird,Centronyx bairdii,Passeriformes,Passerellidae,1318,5450,,BBS2022,
tertiary,CONUS & Canada,EH,11/6/2022,"Herkert, J. R., P. D. Vickery, and D. E. Kroodsma (2020). Henslow's Sparrow (Centronyx henslowii), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.henspa.01",Centronyx,henslowii,Henslow's Sparrow,Bruant de Henslow,Centronyx henslowii,Passeriformes,Passerellidae,1319,5470,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Wheelwright, N. T. and J. D. Rising (2020). Savannah Sparrow (Passerculus sandwichensis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.savspa.01",Passerculus,sandwichensis,Savannah Sparrow,Bruant des prés,Passerculus sandwichensis,Passeriformes,Passerellidae,1320,5420,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Arcese, P., M. K. Sogge, A. B. Marr, and M. A. Patten (2020). Song Sparrow (Melospiza melodia), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.sonspa.01",Melospiza,melodia,Song Sparrow,Bruant chanteur,Melospiza melodia,Passeriformes,Passerellidae,1322,5810,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Ammon, E. M. (2020). Lincoln's Sparrow (Melospiza lincolnii), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.linspa.01",Melospiza,lincolnii,Lincoln's Sparrow,Bruant de Lincoln,Melospiza lincolnii,Passeriformes,Passerellidae,1323,5830,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Herbert, J. A. and T. B. Mowbray (2020). Swamp Sparrow (Melospiza georgiana), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.swaspa.01",Melospiza,georgiana,Swamp Sparrow,Bruant des marais,Melospiza georgiana,Passeriformes,Passerellidae,1324,5840,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Johnson, R. R. and L. T. Haight (2020). Canyon Towhee (Melozone fusca), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.cantow.01",Melozone,fusca,Canyon Towhee,Tohi des canyons,Melozone fusca,Passeriformes,Passerellidae,1326,5910,,BBS2022,
tertiary,CONUS & Canada,EP,3/10/2023,"Tweit, R. C. and D. M. Finch (2020). Abert's Towhee (Melozone aberti), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.abetow.01",Melozone,aberti,Abert's Towhee,Tohi d'Abert,Melozone aberti,Passeriformes,Passerellidae,1328,5920,,BBS2022,
secondary,CONUS & Canada,EP,3/13/2023,"Benedict, L., M. R. Kunzmann, K. Ellison, L. Purcell, R. R. Johnson, and L. T. Haight (2020). California Towhee (Melozone crissalis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.caltow.01",Melozone,crissalis,California Towhee,Tohi de Californie,Melozone crissalis,Passeriformes,Passerellidae,1329,5911,,BBS2022,
tertiary,CONUS & Canada,EP,3/13/2023,"Collins, P. W. (2020). Rufous-crowned Sparrow (Aimophila ruficeps), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rucspa.01",Aimophila,ruficeps,Rufous-crowned Sparrow,Tohi à calotte fauve,Aimophila ruficeps,Passeriformes,Passerellidae,1333,5800,,BBS2022,
secondary (co-occur),CONUS & Canada,EP,3/13/2023,"Dobbs, R. C., P. R. Martin, and T. E. Martin (2020). Green-tailed Towhee (Pipilo chlorurus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gnttow.01",Pipilo,chlorurus,Green-tailed Towhee,Tohi à queue verte,Pipilo chlorurus,Passeriformes,Passerellidae,1335,5900,,BBS2022,
tertiary,CONUS & Canada,EP,3/13/2023,"Bartos Smith, S. and J. S. Greenlaw (2020). Spotted Towhee (Pipilo maculatus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.spotow.01",Pipilo,maculatus,Spotted Towhee,Tohi tacheté,Pipilo maculatus,Passeriformes,Passerellidae,1336,5880,,BBS2022,
tertiary,CONUS & Canada,EP,3/13/2023,"Greenlaw, J. S. (2020). Eastern Towhee (Pipilo erythrophthalmus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.eastow.01",Pipilo,erythrophthalmus,Eastern Towhee,Tohi à flancs roux,Pipilo erythrophthalmus,Passeriformes,Passerellidae,1337,5870,,BBS2022,
,CONUS & Canada,,N/A; unidentified species,,Pipilo,maculatus / erythrophthalmus,unid. Spotted Towhee / Eastern Towhee,unid Tohi tacheté / Tohi à flancs roux,Pipilo maculatus / erythrophthalmus,Passeriformes,Passerellidae,1338,5871,,BBS2022,
tertiary,CONUS & Canada,EP,3/13/2023,"Thompson, C. F. and K. P. Eckerle (2022). Yellow-breasted Chat (Icteria virens), version 2.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.yebcha.02",Icteria,virens,Yellow-breasted Chat,Ictérie polyglotte,Icteria virens,Passeriformes,Icteriidae,1343,6830,,BBS2022,
tertiary,CONUS & Canada,EP,3/13/2023,"Twedt, D. J. and R. D. Crawford (2020). Yellow-headed Blackbird (Xanthocephalus xanthocephalus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.yehbla.01",Xanthocephalus,xanthocephalus,Yellow-headed Blackbird,Carouge à tête jaune,Xanthocephalus xanthocephalus,Passeriformes,Icteridae,1344,4970,,BBS2022,
tertiary,CONUS & Canada,EP,3/13/2023,"Renfrew, R., A. M. Strong, N. G. Perlut, S. G. Martin, and T. A. Gavin (2020). Bobolink (Dolichonyx oryzivorus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.boboli.01",Dolichonyx,oryzivorus,Bobolink,Goglu des prés,Dolichonyx oryzivorus,Passeriformes,Icteridae,1345,4940,,BBS2022,
secondary,CONUS & Canada,EP,8/31/2022,"Jaster, L. A., W. E. Jensen, and W. E. Lanyon (2020). Eastern Meadowlark (Sturnella magna), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.easmea.01",Sturnella,magna,Eastern Meadowlark,Sturnelle des prés,Sturnella magna,Passeriformes,Icteridae,1346,5010,,BBS2022,
secondary,CONUS & Canada,EP,8/31/2022,"Davis, S. K. and W. E. Lanyon (2020). Western Meadowlark (Sturnella neglecta), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.wesmea.01",Sturnella,neglecta,Western Meadowlark,Sturnelle de l'Ouest,Sturnella neglecta,Passeriformes,Icteridae,1347,5011,,BBS2022,
tertiary,CONUS & Canada,,N/A; unidentified species,,Sturnella,magna / neglecta,unid. Eastern Meadowlark / Western Meadowlark,unid Sturnelle des prés / Sturnelle de l'Ouest,Sturnella magna / neglecta,Passeriformes,Icteridae,1348,5012,,BBS2022,
,CONUS & Canada,,,,Sturnella,sp.,unid. Meadowlark,unid Sturnelle,Sturnella sp.,Passeriformes,Icteridae,1372,5012,yes,BBS2022,
tertiary,CONUS & Canada,EP,3/14/2023,"Scharf, W. C. and J. Kren (2022). Orchard Oriole (Icterus spurius), version 2.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.orcori.02",Icterus,spurius,Orchard Oriole,Oriole des vergers,Icterus spurius,Passeriformes,Icteridae,1356,5060,,BBS2022,
secondary,CONUS & Canada,EP,3/14/2023,"Pleasants, B. Y. and D. J. Albano (2020). Hooded Oriole (Icterus cucullatus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.hooori.01",Icterus,cucullatus,Hooded Oriole,Oriole masqué,Icterus cucullatus,Passeriformes,Icteridae,1357,5050,,BBS2022,
tertiary,CONUS & Canada,EP,3/14/2023,"Flood, N. J., C. L. Schlueter, M. W. Reudink, P. Pyle, M. A. Patten, J. D. Rising, and P. L. Williams (2020). Bullock's Oriole (Icterus bullockii), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.bulori.01",Icterus,bullockii,Bullock's Oriole,Oriole de Bullock,Icterus bullockii,Passeriformes,Icteridae,1361,5080,,BBS2022,
tertiary,CONUS & Canada,EH,10/31/2023,"Fraga, R. (2020). Spot-breasted Oriole (Icterus pectoralis), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.spbori.01",Icterus,pectoralis,Spot-breasted Oriole,Oriole maculé,Icterus pectoralis,Passeriformes,Icteridae,1363,5032,,BBS2022,
secondary,CONUS & Canada,EP,3/6/2023,"Brush, T. and B. Y. Pleasants (2020). Altamira Oriole (Icterus gularis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.altori.01",Icterus,gularis,Altamira Oriole,Oriole à gros bec,Icterus gularis,Passeriformes,Icteridae,1364,5031,,BBS2022,
tertiary,CONUS & Canada,EP,3/14/2023,"Flood, N. J., J. D. Rising, and T. Brush (2020). Audubon's Oriole (Icterus graduacauda), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.audori.01",Icterus,graduacauda,Audubon's Oriole,Oriole d'Audubon,Icterus graduacauda,Passeriformes,Icteridae,1365,5030,,BBS2022,
secondary,CONUS & Canada,EP,3/19/2019; checked 8/31/2022,"Rising, J. D. and N. J. Flood (2020). Baltimore Oriole (Icterus galbula), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.balori.01",Icterus,galbula,Baltimore Oriole,Oriole de Baltimore,Icterus galbula,Passeriformes,Icteridae,1366,5070,,BBS2022,
tertiary (hybrid),CONUS & Canada,,N/A; hybrid species,,Icterus,bullockii x galbula,hybrid Bullock's Oriole x Baltimore Oriole,hybride Oriole de Baltimore x Oriole de Bullock's,Icterus bullockii x galbula,Passeriformes,Icteridae,1367,5078,,BBS2022,
,CONUS & Canada,,N/A; unidentified species,,Icterus,bullockii / galbula,unid. Bullock's Oriole / Baltimore Oriole,unid Oriole de Baltimore / Oriole de Bullock's,Icterus bullockii / galbula,Passeriformes,Icteridae,1368,5077,,BBS2022,
secondary,CONUS & Canada,EP,3/14/2023,"Flood, N. J. (2020). Scott's Oriole (Icterus parisorum), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.scoori.01",Icterus,parisorum,Scott's Oriole,Oriole jaune-verdâtre,Icterus parisorum,Passeriformes,Icteridae,1370,5040,,BBS2022,
tertiary,CONUS & Canada,EP,11/11/2022,"Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rewbla.01",Agelaius,phoeniceus,Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,Passeriformes,Icteridae,1371,4980,,BBS2022,
tertiary,CONUS & Canada,EP,3/14/2023,"Beedy, E. C., W. J. Hamilton, III, R. J. Meese, D. A. Airola, and P. Pyle (2020). Tricolored Blackbird (Agelaius tricolor), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.tribla.01",Agelaius,tricolor,Tricolored Blackbird,Carouge de Californie,Agelaius tricolor,Passeriformes,Icteridae,1372,5000,,BBS2022,
secondary (species not in BBS),CONUS & Canada,EP,3/14/2023; 4/3/2023 - 4/4/2023,"Lowther, P. E. and W. Post (2020). Shiny Cowbird (Molothrus bonariensis), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.shicow.01",Molothrus,bonariensis,Shiny Cowbird,Vacher luisant,Molothrus bonariensis,Passeriformes,Icteridae,1374,4961,,BBS2022,
secondary,CONUS & Canada,EP,8/31/2022; 4/4/2023,"Ellison, K. and P. E. Lowther (2020). Bronzed Cowbird (Molothrus aeneus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.brocow.01",Molothrus,aeneus,Bronzed Cowbird,Vacher bronzé,Molothrus aeneus,Passeriformes,Icteridae,1375,4960,,BBS2022,
secondary,CONUS & Canada,EP,3/26/2019; checked 8/31/2022; 4/7/2023,"Lowther, P. E. (2020). Brown-headed Cowbird (Molothrus ater), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.bnhcow.01",Molothrus,ater,Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,Passeriformes,Icteridae,1376,4950,,BBS2022,
,CONUS & Canada,,N/A; unidentified species,,Molothrus,aeneus / ater,unid. Bronzed Cowbird / Brown-headed Cowbird,unid Vacher bronzé / à tête brune,Molothrus aeneus / ater,Passeriformes,Icteridae,1377,4955,,BBS2022,
tertiary,CONUS & Canada,EP,11/10/2022,"Avery, M. L. (2020). Rusty Blackbird (Euphagus carolinus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rusbla.01",Euphagus,carolinus,Rusty Blackbird,Quiscale rouilleux,Euphagus carolinus,Passeriformes,Icteridae,1380,5090,,BBS2022,
tertiary,CONUS & Canada,IH,3/14/2023,"Martin, S. G. (2020). Brewer's Blackbird (Euphagus cyanocephalus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.brebla.01",Euphagus,cyanocephalus,Brewer's Blackbird,Quiscale de Brewer,Euphagus cyanocephalus,Passeriformes,Icteridae,1381,5100,,BBS2022,
secondary ,CONUS & Canada,JZ,3/14/2023,"Peer, B. D. and E. K. Bollinger (2020). Common Grackle (Quiscalus quiscula), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.comgra.01",Quiscalus,quiscula,Common Grackle,Quiscale bronzé,Quiscalus quiscula,Passeriformes,Icteridae,1382,5110,,BBS2022,
tertiary,CONUS & Canada,IH ,3/14/2023-3/21/2023,"Post, W., J. P. Poston, and G. T. Bancroft (2020). Boat-tailed Grackle (Quiscalus major), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.botgra.01",Quiscalus,major,Boat-tailed Grackle,Quiscale des marais,Quiscalus major,Passeriformes,Icteridae,1383,5130,,BBS2022,
tertiary,CONUS & Canada,IH ,3/16/2023-3/28/2023,"Johnson, K. and B. D. Peer (2022). Great-tailed Grackle (Quiscalus mexicanus), version 2.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.grtgra.02",Quiscalus,mexicanus,Great-tailed Grackle,Quiscale à longue queue,Quiscalus mexicanus,Passeriformes,Icteridae,1384,5120,,BBS2022,
,CONUS & Canada,,N/A; unidentified species,,Quiscalus,major / mexicanus,unid. Boat-tailed Grackle / Great-tailed Grackle,unid Quiscale des marais / Quiscale à longue queue,Quiscalus major / mexicanus,Passeriformes,Icteridae,1385,5135,,BBS2022,
tertiary,CONUS & Canada,JZ,3/16/2023,"Porneluzi, P., M. A. Van Horn, and T. M. Donovan (2020). Ovenbird (Seiurus aurocapilla), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.ovenbi1.01",Seiurus,aurocapilla,Ovenbird,Paruline couronnée,Seiurus aurocapilla,Passeriformes,Parulidae,1386,6740,,BBS2022,
