scientific_name.raw,common_name.raw,scientific_name.edit,edit_notes,comments
Parkesia noveboracensis limnaeus,Northern Waterthrush,Parkesia noveboracensis,"CLOSEST MATCH because BOW states 'No subspecies, following Eaton (1957a) and Molina et al. (2000).'. Common name in int.raw is Northern Waterthrush. ","REVIEW these subspecies were all changed to species based on common name match, and subspecies are not on the checklist.   If acceptiable then delete these.  If you want to keep this reasoning, leave these rows"
Parkesia noveboracensis notabilis,Northern Waterthrush,Parkesia noveboracensis,"ACCEPT CHANGE TO CLOSEST MATCH because BOW states 'No subspecies, following Eaton (1957a) and Molina et al. (2000).'. Common name in int.raw is Northern Waterthrush. ","REVIEW these subspecies were all changed to species based on common name match, and subspecies are not on the checklist.   If acceptiable then delete these.  If you want to keep this reasoning, leave these rows"
Parkesia noveboracensis notabilis,Northern Waterthrush,Parkesia noveboracensis,"ACCEPT CHANGE TO CLOSEST MATCH because BOW states 'No subspecies, following Eaton (1957a) and Molina et al. (2000).'. Common name in int.raw is Northern Waterthrush. ","REVIEW these subspecies were all changed to species based on common name match, and subspecies are not on the checklist.   If acceptiable then delete these.  If you want to keep this reasoning, leave these rows"
Passerella iliaca [iliaca group],Red Fox Sparrow,,, common name match:  Fox Sparrow 0.85 Passerella iliaca ; scientific name match:  Passerella iliaca iliaca 0.92 ;
Psilorhinus morio,Smoky Jay,,, common name match:  Smoky Warbler 0.77 Phylloscopus fuligiventer ; scientific name match:  Pomatorhinus horsfieldii 0.81 ;
Pterocnemia pennata,Rhea,Rhea pennata,GBIF:2495160,"REVIEW GBIF sugggestions, these have been made already by the workflow.  If correct, then this row can be deleted from this table"
Pterocnemia pennata,Rhea,,, common name match:  Redhead 0.77 Aythya americana ; scientific name match:  Pterodroma inexpectata 0.78 ;
Roseate spoonbill,Great Blue Heron,Platalea ajaja,"common name is incorrect, manual match to checklist (Clements 2024)",OVERRIDE automatic common name match since common name is incorrect
Saltator straitipectus / albicollis,Unid. Streaked Saltator / Lesser Antillean Saltator,,, common name match:  Mediterranean/Turkestan Short-toed Lark 0.7 character(0) ; scientific name match:  Saltator striatipectus flavidicollis 0.89 ;
Setophaga striata / tigrina,Unid. Blackpoll Warbler / Cape May Warbler,Setophaga tigrina,"ACCEPT CHANGE TO CLOSEST MATCH: BOW states no subspecies: No subspecies, following Parkes (1954), who could not diagnose a difference between northeastern breeders and those farther west, which were named S. s. lurida (Burleigh and Peters, 1948).",REVIEW common name match:  Blackpoll Warbler 0.71 Setophaga striata ; scientific name match:  Setophaga striata 0.88 ;
Spizella arborea,American Tree Swallow,Spizelloides arborea,GBIF:7357320,"REVIEW GBIF sugggestions, these have been made already by the workflow.  If correct, then this row can be deleted from this table"
Spizella arborea,American Tree Swallow,,, common name match:  American Tree Sparrow 0.88 Spizelloides arborea ; scientific name match:  Spizella atrogularis 0.83 ;
Sturnella magna / neglecta,Meadowlark,,, common name match:  Masked Lark 0.8 Spizocorys personata ; scientific name match:  Sturnella neglecta/magna 0.89 ;
Terpsiphone affinis floris,Lesser Sundas Blyth's Paradise Flycatcher,,, common name match:  Amur/Blyth's/Indian Paradise-Flycatcher 0.75 character(0) ; scientific name match:  Terpsiphone affinis affinis 0.91 ;
Tyto alba furcata,Barn Owl (White-Winged),Tyto furcata,GBIF:9568884,"REVIEW GBIF sugggestions, these have been made already by the workflow.  If correct, then this row can be deleted from this table"
Tyto alba furcata,Barn Owl (White-Winged),,, common name match:  Barn Swallow (White-bellied) 0.78 character(0) ; scientific name match:  Tyto alba guttata 0.86 ;
unid. Accipiter hawl,Accipiter Sp., Aerospiza/Tachyspiza/Accipiter/Astur sp.,manually assign slash genera since this genus was split,"REVIEW and remove this comment if ok, fuzzy match was way off  common name match:  Pacific Wren 0.7 Troglodytes pacificus ; scientific name match:  Yuhina occipitalis 0.74 ;"
Zosterops lateralis gouldi,Western Silvereye, Zosterops lateralis,"CHANGE TO CLOSEST MATCH bc unresolved: BOW says: In Australia, birds previously known as race gouldi, but chloronotus has priority and not preoccupied by 'chloronothos'.",REVIEW/OVERRIDE. The default matched the common name to  Zosterops lateralis without a subspecies
Zosterops lateralis gouldi,Western Silvereye,,, common name match:  Western Fire-eye 0.88 Pyriglena maura ; scientific name match:  Zosterops lateralis 0.91 ;
