scientific_name_clements2024.combo,common_name_clements2024.combo,AOU_bbs2024.combo,scientific_name_clements2024,common_name_clements2024,scientific_name_bbs2024,AOU_bbs2024,in_bbs2024
Contopus cooperi,Olive-sided Flycatcher,4590,Contopus cooperi,Olive-sided Flycatcher,Contopus cooperi,4590,yes
Contopus pertinax,Greater Pewee,4600,Contopus pertinax,Greater Pewee,Contopus pertinax,4600,yes
Contopus sordidulus,Western Wood-Pewee,4620,Contopus sordidulus,Western Wood-Pewee,Contopus sordidulus,4620,yes
Contopus virens,Eastern Wood-Pewee,4610,Contopus virens,Eastern Wood-Pewee,Contopus virens,4610,yes
Coragyps atratus,Black Vulture,3260,Coragyps atratus,Black Vulture,Coragyps atratus,3260,yes
Corthylio calendula,Ruby-crowned Kinglet,7490,Corthylio calendula,Ruby-crowned Kinglet,Corthylio calendula,7490,yes
Corvus brachyrhynchos,American Crow,34880,Corvus brachyrhynchos,American Crow,Corvus brachyrhynchos,4880,yes
Corvus brachyrhynchos,American Crow,34880,Corvus brachyrhynchos,American Crow,Corvus brachyrhynchos / caurinus,4882,yes
Corvus brachyrhynchos/ossifragus,American/Fish Crow,4881,Corvus brachyrhynchos/ossifragus,American/Fish Crow,Corvus brachyrhynchos / ossifragus,4881,yes
Corvus brachyrhynchos,American Crow,34880,Corvus brachyrhynchos caurinus,American Crow,Corvus caurinus,4890,yes
Corvus corax,Common Raven,4860,Corvus corax,Common Raven,Corvus corax,4860,yes
Corvus cryptoleucus,Chihuahuan Raven,4870,Corvus cryptoleucus,Chihuahuan Raven,Corvus cryptoleucus,4870,yes
NA,NA,4865,NA,NA,Corvus cryptoleucus / corax,4865,yes
Corvus imparatus,Tamaulipas Crow,NA,Corvus imparatus,Tamaulipas Crow,NA,NA,no
Corvus ossifragus,Fish Crow,4900,Corvus ossifragus,Fish Crow,Corvus ossifragus,4900,yes
Coturnicops noveboracensis,Yellow Rail,2150,Coturnicops noveboracensis,Yellow Rail,Coturnicops noveboracensis,2150,yes
Crotophaga ani,Smooth-billed Ani,3830,Crotophaga ani,Smooth-billed Ani,Crotophaga ani,3830,yes
Crotophaga sulcirostris,Groove-billed Ani,3840,Crotophaga sulcirostris,Groove-billed Ani,Crotophaga sulcirostris,3840,yes
Cyanocitta cristata,Blue Jay,4770,Cyanocitta cristata,Blue Jay,Cyanocitta cristata,4770,yes
Cyanocitta stelleri,Steller's Jay,4780,Cyanocitta stelleri,Steller's Jay,Cyanocitta stelleri,4780,yes
Cyanocorax yncas,Green Jay,4830,Cyanocorax yncas,Green Jay,Cyanocorax yncas,4830,yes
Cygnus buccinator,Trumpeter Swan,1810,Cygnus buccinator,Trumpeter Swan,Cygnus buccinator,1810,yes
Cygnus columbianus,Tundra Swan,1800,Cygnus columbianus,Tundra Swan,Cygnus columbianus,1800,yes
Cygnus olor,Mute Swan,1782,Cygnus olor,Mute Swan,Cygnus olor,1782,yes
Cynanthus latirostris,Broad-billed Hummingbird,4410,Cynanthus latirostris,Broad-billed Hummingbird,Cynanthus latirostris,4410,yes
Cypseloides niger,Black Swift,4220,Cypseloides niger,Black Swift,Cypseloides niger,4220,yes
Cyrtonyx montezumae,Montezuma Quail,2960,Cyrtonyx montezumae,Montezuma Quail,Cyrtonyx montezumae,2960,yes
Dendragapus fuliginosus,Sooty Grouse,2971,Dendragapus fuliginosus,Sooty Grouse,Dendragapus fuliginosus,2971,yes
Dendragapus obscurus,Dusky Grouse,2970,Dendragapus obscurus,Dusky Grouse,Dendragapus obscurus,2970,yes
Dendragapus obscurus/fuliginosus,Dusky/Sooty Grouse,2973,Dendragapus obscurus/fuliginosus,Dusky/Sooty Grouse,Dendragapus obscurus / fuliginosus,2973,yes
Dendrocygna autumnalis,Black-bellied Whistling-Duck,1770,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Dendrocygna autumnalis,1770,yes
Dendrocygna bicolor,Fulvous Whistling-Duck,1780,Dendrocygna bicolor,Fulvous Whistling-Duck,Dendrocygna bicolor,1780,yes
Dolichonyx oryzivorus,Bobolink,4940,Dolichonyx oryzivorus,Bobolink,Dolichonyx oryzivorus,4940,yes
Dryobates albolarvatus,White-headed Woodpecker,3990,Dryobates albolarvatus,White-headed Woodpecker,Dryobates albolarvatus,3990,yes
Dryobates arizonae,Arizona Woodpecker,3975,Dryobates arizonae,Arizona Woodpecker,Dryobates arizonae,3975,yes
Dryobates borealis,Red-cockaded Woodpecker,3950,Dryobates borealis,Red-cockaded Woodpecker,Dryobates borealis,3950,yes
Dryobates nuttallii,Nuttall's Woodpecker,3970,Dryobates nuttallii,Nuttall's Woodpecker,Dryobates nuttallii,3970,yes
Dryobates pubescens,Downy Woodpecker,3940,Dryobates pubescens,Downy Woodpecker,Dryobates pubescens,3940,yes
Dryobates scalaris,Ladder-backed Woodpecker,3960,Dryobates scalaris,Ladder-backed Woodpecker,Dryobates scalaris,3960,yes
Dryobates villosus,Hairy Woodpecker,3930,Dryobates villosus,Hairy Woodpecker,Dryobates villosus,3930,yes
Dryocopus pileatus,Pileated Woodpecker,4050,Dryocopus pileatus,Pileated Woodpecker,Dryocopus pileatus,4050,yes
Dumetella carolinensis,Gray Catbird,7040,Dumetella carolinensis,Gray Catbird,Dumetella carolinensis,7040,yes
Egretta caerulea,Little Blue Heron,2000,Egretta caerulea,Little Blue Heron,Egretta caerulea,2000,yes
Egretta garzetta,Little Egret,1961,Egretta garzetta,Little Egret,Egretta garzetta,1961,yes
Egretta rufescens,Reddish Egret,1980,Egretta rufescens,Reddish Egret,Egretta rufescens,1980,yes
Egretta thula,Snowy Egret,1970,Egretta thula,Snowy Egret,Egretta thula,1970,yes
Egretta tricolor,Tricolored Heron,1990,Egretta tricolor,Tricolored Heron,Egretta tricolor,1990,yes
Elanoides forficatus,Swallow-tailed Kite,3270,Elanoides forficatus,Swallow-tailed Kite,Elanoides forficatus,3270,yes
Elanus leucurus,White-tailed Kite,3280,Elanus leucurus,White-tailed Kite,Elanus leucurus,3280,yes
Empidonax alnorum,Alder Flycatcher,4661,Empidonax alnorum,Alder Flycatcher,Empidonax alnorum,4661,yes
Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),4665,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum / traillii,4665,yes
Empidonax difficilis,Western Flycatcher,34641,Empidonax difficilis,Western Flycatcher,Empidonax difficilis,4642,yes
Empidonax difficilis,Western Flycatcher,34641,Empidonax difficilis difficilis,NA,Empidonax difficilis difficilis,4641,yes
Empidonax difficilis,Western Flycatcher,34641,Empidonax difficilis occidentalis,NA,Empidonax difficilis occidentalis,4640,yes
Empidonax flaviventris,Yellow-bellied Flycatcher,4630,Empidonax flaviventris,Yellow-bellied Flycatcher,Empidonax flaviventris,4630,yes
Empidonax fulvifrons,Buff-breasted Flycatcher,4700,Empidonax fulvifrons,Buff-breasted Flycatcher,Empidonax fulvifrons,4700,yes
Empidonax hammondii,Hammond's Flycatcher,4680,Empidonax hammondii,Hammond's Flycatcher,Empidonax hammondii,4680,yes
Empidonax hammondii/oberholseri,Hammond's/Dusky Flycatcher,4689,Empidonax hammondii/oberholseri,Hammond's/Dusky Flycatcher,Empidonax hammondii / oberholseri,4689,yes
Empidonax minimus,Least Flycatcher,4670,Empidonax minimus,Least Flycatcher,Empidonax minimus,4670,yes
Empidonax oberholseri,Dusky Flycatcher,4690,Empidonax oberholseri,Dusky Flycatcher,Empidonax oberholseri,4690,yes
Empidonax sp.,Empidonax sp.,4679,Empidonax sp.,Empidonax sp.,Empidonax sp.,4679,yes
Empidonax traillii,Willow Flycatcher,4660,Empidonax traillii,Willow Flycatcher,Empidonax traillii,4660,yes
Empidonax virescens,Acadian Flycatcher,4650,Empidonax virescens,Acadian Flycatcher,Empidonax virescens,4650,yes
Empidonax wrightii,Gray Flycatcher,4691,Empidonax wrightii,Gray Flycatcher,Empidonax wrightii,4691,yes
Eremophila alpestris,Horned Lark,4740,Eremophila alpestris,Horned Lark,Eremophila alpestris,4740,yes
Eudocimus albus,White Ibis,1840,Eudocimus albus,White Ibis,Eudocimus albus,1840,yes
Eugenes fulgens,Rivoli's Hummingbird,4260,Eugenes fulgens,Rivoli's Hummingbird,Eugenes fulgens,4260,yes
Euphagus carolinus,Rusty Blackbird,5090,Euphagus carolinus,Rusty Blackbird,Euphagus carolinus,5090,yes
Euphagus cyanocephalus,Brewer's Blackbird,5100,Euphagus cyanocephalus,Brewer's Blackbird,Euphagus cyanocephalus,5100,yes
Euplectes franciscanus,Northern Red Bishop,19500,Euplectes franciscanus,Northern Red Bishop,Euplectes franciscanus,19500,yes
Falco columbarius,Merlin,3570,Falco columbarius,Merlin,Falco columbarius,3570,yes
Falco femoralis,Aplomado Falcon,3590,Falco femoralis,Aplomado Falcon,Falco femoralis,3590,yes
Falco mexicanus,Prairie Falcon,3550,Falco mexicanus,Prairie Falcon,Falco mexicanus,3550,yes
Falco peregrinus,Peregrine Falcon,3560,Falco peregrinus,Peregrine Falcon,Falco peregrinus,3560,yes
Falco rusticolus,Gyrfalcon,3540,Falco rusticolus,Gyrfalcon,Falco rusticolus,3540,yes
Falco sparverius,American Kestrel,3600,Falco sparverius,American Kestrel,Falco sparverius,3600,yes
Fratercula arctica,Atlantic Puffin,NA,Fratercula arctica,Atlantic Puffin,NA,NA,no
Fratercula cirrhata,Tufted Puffin,120,Fratercula cirrhata,Tufted Puffin,Fratercula cirrhata,120,yes
Fratercula corniculata,Horned Puffin,140,Fratercula corniculata,Horned Puffin,Fratercula corniculata,140,yes
Fregata magnificens,Magnificent Frigatebird,1280,Fregata magnificens,Magnificent Frigatebird,Fregata magnificens,1280,yes
Fulica americana,American Coot,2210,Fulica americana,American Coot,Fulica americana,2210,yes
Fulmarus glacialis,Northern Fulmar,860,Fulmarus glacialis,Northern Fulmar,Fulmarus glacialis,860,yes
Gallinago delicata,Wilson's Snipe,2300,Gallinago delicata,Wilson's Snipe,Gallinago delicata,2300,yes
Gallinula galeata,Common Gallinule,2190,Gallinula galeata,Common Gallinule,Gallinula galeata,2190,yes
Gavia adamsii,Yellow-billed Loon,80,Gavia adamsii,Yellow-billed Loon,Gavia adamsii,80,yes
Gavia arctica,Arctic Loon,90,Gavia arctica,Arctic Loon,Gavia arctica,90,yes
Gavia immer,Common Loon,70,Gavia immer,Common Loon,Gavia immer,70,yes
Gavia pacifica,Pacific Loon,100,Gavia pacifica,Pacific Loon,Gavia pacifica,100,yes
Gavia sp.,loon sp.,77,Gavia sp.,loon sp.,Gavia sp.,77,yes
Gavia stellata,Red-throated Loon,110,Gavia stellata,Red-throated Loon,Gavia stellata,110,yes
Gelochelidon nilotica,Gull-billed Tern,630,Gelochelidon nilotica,Gull-billed Tern,Gelochelidon nilotica,630,yes
Geococcyx californianus,Greater Roadrunner,3850,Geococcyx californianus,Greater Roadrunner,Geococcyx californianus,3850,yes
Geothlypis formosa,Kentucky Warbler,6770,Geothlypis formosa,Kentucky Warbler,Geothlypis formosa,6770,yes
Geothlypis philadelphia,Mourning Warbler,6790,Geothlypis philadelphia,Mourning Warbler,Geothlypis philadelphia,6790,yes
Geothlypis tolmiei,MacGillivray's Warbler,6800,Geothlypis tolmiei,MacGillivray's Warbler,Geothlypis tolmiei,6800,yes
Geothlypis trichas,Common Yellowthroat,6810,Geothlypis trichas,Common Yellowthroat,Geothlypis trichas,6810,yes
Geranoaetus albicaudatus,White-tailed Hawk,3410,Geranoaetus albicaudatus,White-tailed Hawk,Geranoaetus albicaudatus,3410,yes
Glaucidium brasilianum,Ferruginous Pygmy-Owl,3800,Glaucidium brasilianum,Ferruginous Pygmy-Owl,Glaucidium brasilianum,3800,yes
Glaucidium gnoma,Northern Pygmy-Owl,3790,Glaucidium gnoma,Northern Pygmy-Owl,Glaucidium gnoma,3790,yes
Grus americana,Whooping Crane,2040,Grus americana,Whooping Crane,Grus americana,2040,yes
Gymnogyps californianus,California Condor,3240,Gymnogyps californianus,California Condor,Gymnogyps californianus,3240,yes
Gymnorhinus cyanocephalus,Pinyon Jay,4920,Gymnorhinus cyanocephalus,Pinyon Jay,Gymnorhinus cyanocephalus,4920,yes
Haematopus bachmani,Black Oystercatcher,2870,Haematopus bachmani,Black Oystercatcher,Haematopus bachmani,2870,yes
Haematopus palliatus,American Oystercatcher,2860,Haematopus palliatus,American Oystercatcher,Haematopus palliatus,2860,yes
Haemorhous cassinii,Cassin's Finch,5180,Haemorhous cassinii,Cassin's Finch,Haemorhous cassinii,5180,yes
Haemorhous mexicanus,House Finch,5190,Haemorhous mexicanus,House Finch,Haemorhous mexicanus,5190,yes
Haemorhous purpureus,Purple Finch,5170,Haemorhous purpureus,Purple Finch,Haemorhous purpureus,5170,yes
Haemorhous sp.,Haemorhous sp.,5195,Haemorhous sp.,Haemorhous sp.,Carpodacus purpureus / cassinii / mexicanus,5195,yes
Haliaeetus leucocephalus,Bald Eagle,3520,Haliaeetus leucocephalus,Bald Eagle,Haliaeetus leucocephalus,3520,yes
Helmitheros vermivorum,Worm-eating Warbler,6390,Helmitheros vermivorum,Worm-eating Warbler,Helmitheros vermivorum,6390,yes
Himantopus mexicanus,Black-necked Stilt,2260,Himantopus mexicanus,Black-necked Stilt,Himantopus mexicanus,2260,yes
Hirundo rustica,Barn Swallow,6130,Hirundo rustica,Barn Swallow,Hirundo rustica,6130,yes
Histrionicus histrionicus,Harlequin Duck,1550,Histrionicus histrionicus,Harlequin Duck,Histrionicus histrionicus,1550,yes
Hydrobates leucorhous,Leach's Storm-Petrel,1060,Hydrobates leucorhous,Leach's Storm-Petrel,Hydrobates leucorhous,1060,yes
Hydrocoloeus minutus,Little Gull,601,Hydrocoloeus minutus,Little Gull,Hydrocoloeus minutus,601,yes
Hydroprogne caspia,Caspian Tern,640,Hydroprogne caspia,Caspian Tern,Hydroprogne caspia,640,yes
Hylocichla mustelina,Wood Thrush,7550,Hylocichla mustelina,Wood Thrush,Hylocichla mustelina,7550,yes
Icteria virens,Yellow-breasted Chat,6830,Icteria virens,Yellow-breasted Chat,Icteria virens,6830,yes
Icterus bullockii,Bullock's Oriole,5080,Icterus bullockii,Bullock's Oriole,Icterus bullockii,5080,yes
Icterus bullockii x galbula,Bullock's x Baltimore Oriole (hybrid),5078,Icterus bullockii x galbula,Bullock's x Baltimore Oriole (hybrid),Icterus bullockii x galbula,5078,yes
Icterus bullockii/galbula,Bullock's/Baltimore Oriole,5077,Icterus bullockii/galbula,Bullock's/Baltimore Oriole,Icterus bullockii / galbula,5077,yes
Icterus cucullatus,Hooded Oriole,5050,Icterus cucullatus,Hooded Oriole,Icterus cucullatus,5050,yes
Icterus galbula,Baltimore Oriole,5070,Icterus galbula,Baltimore Oriole,Icterus galbula,5070,yes
Icterus graduacauda,Audubon's Oriole,5030,Icterus graduacauda,Audubon's Oriole,Icterus graduacauda,5030,yes
Icterus gularis,Altamira Oriole,5031,Icterus gularis,Altamira Oriole,Icterus gularis,5031,yes
Icterus parisorum,Scott's Oriole,5040,Icterus parisorum,Scott's Oriole,Icterus parisorum,5040,yes
Icterus pectoralis,Spot-breasted Oriole,5032,Icterus pectoralis,Spot-breasted Oriole,Icterus pectoralis,5032,yes
Icterus spurius,Orchard Oriole,5060,Icterus spurius,Orchard Oriole,Icterus spurius,5060,yes
Ictinia mississippiensis,Mississippi Kite,3290,Ictinia mississippiensis,Mississippi Kite,Ictinia mississippiensis,3290,yes
Ixoreus naevius,Varied Thrush,7630,Ixoreus naevius,Varied Thrush,Ixoreus naevius,7630,yes
Junco hyemalis,Dark-eyed Junco,35670,Junco hyemalis,Dark-eyed Junco,Junco hyemalis,5677,yes
Junco hyemalis,Dark-eyed Junco,35670,Junco hyemalis aikeni,Dark-eyed Junco (White-winged),Junco hyemalis aikeni,5660,yes
Junco hyemalis,Dark-eyed Junco,35670,Junco hyemalis caniceps,Dark-eyed Junco (Gray-headed),Junco hyemalis caniceps,5690,yes
Junco hyemalis,Dark-eyed Junco,35670,Junco hyemalis hyemalis,NA,Junco hyemalis hyemalis,5670,yes
Junco hyemalis,Dark-eyed Junco,35670,Junco hyemalis mearnsi,Dark-eyed Junco (Pink-sided),Junco hyemalis mearnsi,5680,yes
Junco hyemalis,Dark-eyed Junco,35670,Junco hyemalis oreganus,NA,Junco hyemalis oreganus,5671,yes
Junco phaeonotus,Yellow-eyed Junco,5700,Junco phaeonotus,Yellow-eyed Junco,Junco phaeonotus,5700,yes
Lagopus lagopus,Willow Ptarmigan,3010,Lagopus lagopus,Willow Ptarmigan,Lagopus lagopus,3010,yes
Lagopus leucura,White-tailed Ptarmigan,3040,Lagopus leucura,White-tailed Ptarmigan,Lagopus leucura,3040,yes
Lagopus muta,Rock Ptarmigan,3020,Lagopus muta,Rock Ptarmigan,Lagopus muta,3020,yes
Lampornis clemenciae,Blue-throated Mountain-gem,4270,Lampornis clemenciae,Blue-throated Mountain-gem,Lampornis clemenciae,4270,yes
Lanius borealis,Northern Shrike,6210,Lanius borealis,Northern Shrike,Lanius borealis,6210,yes
Lanius ludovicianus,Loggerhead Shrike,6220,Lanius ludovicianus,Loggerhead Shrike,Lanius ludovicianus,6220,yes
Larinae sp.,gull sp.,534,Larinae sp.,gull sp.,Gull sp.,534,yes
Larus argentatus,European Herring Gull,510,Larus argentatus,European Herring Gull,Larus argentatus,510,yes
Larus brachyrhynchus,Short-billed Gull,550,Larus brachyrhynchus,Short-billed Gull,Larus brachyrhynchus,550,yes
Larus californicus,California Gull,530,Larus californicus,California Gull,Larus californicus,530,yes
Larus delawarensis,Ring-billed Gull,540,Larus delawarensis,Ring-billed Gull,Larus delawarensis,540,yes
Larus fuscus,Lesser Black-backed Gull,500,Larus fuscus,Lesser Black-backed Gull,Larus fuscus,500,yes
Larus glaucescens,Glaucous-winged Gull,440,Larus glaucescens,Glaucous-winged Gull,Larus glaucescens,440,yes
Larus glaucoides,Iceland Gull,430,Larus glaucoides,Iceland Gull,Larus glaucoides,430,yes
Larus heermanni,Heermann's Gull,570,Larus heermanni,Heermann's Gull,Larus heermanni,570,yes
Larus hyperboreus,Glaucous Gull,420,Larus hyperboreus,Glaucous Gull,Larus hyperboreus,420,yes
Larus marinus,Great Black-backed Gull,470,Larus marinus,Great Black-backed Gull,Larus marinus,470,yes
Larus occidentalis,Western Gull,490,Larus occidentalis,Western Gull,Larus occidentalis,490,yes
Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid),495,Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,495,yes
Larus schistisagus,Slaty-backed Gull,480,Larus schistisagus,Slaty-backed Gull,Larus schistisagus,480,yes
Laterallus jamaicensis,Black Rail,2160,Laterallus jamaicensis,Black Rail,Laterallus jamaicensis,2160,yes
Leiothlypis celata,Orange-crowned Warbler,6460,Leiothlypis celata,Orange-crowned Warbler,Leiothlypis celata,6460,yes
Leiothlypis luciae,Lucy's Warbler,6430,Leiothlypis luciae,Lucy's Warbler,Leiothlypis luciae,6430,yes
Leiothlypis peregrina,Tennessee Warbler,6470,Leiothlypis peregrina,Tennessee Warbler,Leiothlypis peregrina,6470,yes
Leiothlypis ruficapilla,Nashville Warbler,6450,Leiothlypis ruficapilla,Nashville Warbler,Leiothlypis ruficapilla,6450,yes
Leiothlypis virginiae,Virginia's Warbler,6440,Leiothlypis virginiae,Virginia's Warbler,Leiothlypis virginiae,6440,yes
Leptotila verreauxi,White-tipped Dove,3180,Leptotila verreauxi,White-tipped Dove,Leptotila verreauxi,3180,yes
Leucophaeus atricilla,Laughing Gull,580,Leucophaeus atricilla,Laughing Gull,Leucophaeus atricilla,580,yes
Leucophaeus pipixcan,Franklin's Gull,590,Leucophaeus pipixcan,Franklin's Gull,Leucophaeus pipixcan,590,yes
Leucosticte atrata,Black Rosy-Finch,5250,Leucosticte atrata,Black Rosy-Finch,Leucosticte atrata,5250,yes
Leucosticte australis,Brown-capped Rosy-Finch,5260,Leucosticte australis,Brown-capped Rosy-Finch,Leucosticte australis,5260,yes
Leucosticte tephrocotis,Gray-crowned Rosy-Finch,5240,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,5240,yes
Limnodromus griseus,Short-billed Dowitcher,2310,Limnodromus griseus,Short-billed Dowitcher,Limnodromus griseus,2310,yes
Limnodromus griseus/scolopaceus,Short-billed/Long-billed Dowitcher,2327,Limnodromus griseus/scolopaceus,Short-billed/Long-billed Dowitcher,Limnodromus griseus / scolopaceus,2327,yes
Limnodromus scolopaceus,Long-billed Dowitcher,2320,Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,2320,yes
Limnothlypis swainsonii,Swainson's Warbler,6380,Limnothlypis swainsonii,Swainson's Warbler,Limnothlypis swainsonii,6380,yes
Limosa fedoa,Marbled Godwit,2490,Limosa fedoa,Marbled Godwit,Limosa fedoa,2490,yes
Limosa haemastica,Hudsonian Godwit,2510,Limosa haemastica,Hudsonian Godwit,Limosa haemastica,2510,yes
Limosa lapponica,Bar-tailed Godwit,2500,Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,2500,yes
Lonchura punctulata,Scaly-breasted Munia,8110,Lonchura punctulata,Scaly-breasted Munia,Lonchura punctulata,8110,yes
Lophodytes cucullatus,Hooded Merganser,1310,Lophodytes cucullatus,Hooded Merganser,Lophodytes cucullatus,1310,yes
Loxia curvirostra,Red Crossbill,5210,Loxia curvirostra,Red Crossbill,Loxia curvirostra,5210,yes
NA,NA,5225,NA,NA,Loxia curvirostra / leucoptera,5225,yes
Loxia leucoptera,White-winged Crossbill,5220,Loxia leucoptera,White-winged Crossbill,Loxia leucoptera,5220,yes
Loxia sinesciuris,Cassia Crossbill,NA,Loxia sinesciuris,Cassia Crossbill,NA,NA,no
NA,NA,5212,NA,NA,Loxia sinesciuris / curvirostra,5212,yes
Luscinia svecica,Bluethroat,7640,Luscinia svecica,Bluethroat,Cyanecula svecica,7640,yes
Mareca americana,American Wigeon,1370,Mareca americana,American Wigeon,Mareca americana,1370,yes
Mareca penelope,Eurasian Wigeon,1360,Mareca penelope,Eurasian Wigeon,Mareca penelope,1360,yes
Mareca strepera,Gadwall,1350,Mareca strepera,Gadwall,Mareca strepera,1350,yes
Megaceryle alcyon,Belted Kingfisher,3900,Megaceryle alcyon,Belted Kingfisher,Megaceryle alcyon,3900,yes
Megaceryle torquata,Ringed Kingfisher,3901,Megaceryle torquata,Ringed Kingfisher,Megaceryle torquata,3901,yes
Megascops asio,Eastern Screech-Owl,3730,Megascops asio,Eastern Screech-Owl,Megascops asio,3730,yes
Megascops kennicottii,Western Screech-Owl,3732,Megascops kennicottii,Western Screech-Owl,Megascops kennicottii,3732,yes
Megascops trichopsis,Whiskered Screech-Owl,3731,Megascops trichopsis,Whiskered Screech-Owl,Megascops trichopsis,3731,yes
Melanerpes aurifrons,Golden-fronted Woodpecker,4100,Melanerpes aurifrons,Golden-fronted Woodpecker,Melanerpes aurifrons,4100,yes
Melanerpes carolinus,Red-bellied Woodpecker,4090,Melanerpes carolinus,Red-bellied Woodpecker,Melanerpes carolinus,4090,yes
Melanerpes erythrocephalus,Red-headed Woodpecker,4060,Melanerpes erythrocephalus,Red-headed Woodpecker,Melanerpes erythrocephalus,4060,yes
Melanerpes formicivorus,Acorn Woodpecker,4070,Melanerpes formicivorus,Acorn Woodpecker,Melanerpes formicivorus,4070,yes
Melanerpes lewis,Lewis's Woodpecker,4080,Melanerpes lewis,Lewis's Woodpecker,Melanerpes lewis,4080,yes
Melanerpes uropygialis,Gila Woodpecker,4110,Melanerpes uropygialis,Gila Woodpecker,Melanerpes uropygialis,4110,yes
Melanitta americana,Black Scoter,1630,Melanitta americana,Black Scoter,Melanitta americana,1630,yes
Melanitta deglandi,White-winged Scoter,1650,Melanitta deglandi,White-winged Scoter,Melanitta deglandi,1650,yes
Melanitta perspicillata,Surf Scoter,1660,Melanitta perspicillata,Surf Scoter,Melanitta perspicillata,1660,yes
Melanitta sp.,scoter sp.,1657,Melanitta sp.,scoter sp.,Melanitta sp.,1657,yes
Meleagris gallopavo,Wild Turkey,3100,Meleagris gallopavo,Wild Turkey,Meleagris gallopavo,3100,yes
Melopsittacus undulatus,Budgerigar,3822,Melopsittacus undulatus,Budgerigar,Melopsittacus undulatus,3822,yes
Melospiza georgiana,Swamp Sparrow,5840,Melospiza georgiana,Swamp Sparrow,Melospiza georgiana,5840,yes
Melospiza lincolnii,Lincoln's Sparrow,5830,Melospiza lincolnii,Lincoln's Sparrow,Melospiza lincolnii,5830,yes
Melospiza melodia,Song Sparrow,5810,Melospiza melodia,Song Sparrow,Melospiza melodia,5810,yes
Melozone aberti,Abert's Towhee,5920,Melozone aberti,Abert's Towhee,Melozone aberti,5920,yes
Melozone crissalis,California Towhee,5911,Melozone crissalis,California Towhee,Melozone crissalis,5911,yes
Melozone fusca,Canyon Towhee,5910,Melozone fusca,Canyon Towhee,Melozone fusca,5910,yes
Mergus merganser,Common Merganser,1290,Mergus merganser,Common Merganser,Mergus merganser,1290,yes
Mergus serrator,Red-breasted Merganser,1300,Mergus serrator,Red-breasted Merganser,Mergus serrator,1300,yes
Micrathene whitneyi,Elf Owl,3810,Micrathene whitneyi,Elf Owl,Micrathene whitneyi,3810,yes
Mimus gundlachii,Bahama Mockingbird,7031,Mimus gundlachii,Bahama Mockingbird,Mimus gundlachii,7031,yes
Mimus polyglottos,Northern Mockingbird,7030,Mimus polyglottos,Northern Mockingbird,Mimus polyglottos,7030,yes
Mniotilta varia,Black-and-white Warbler,6360,Mniotilta varia,Black-and-white Warbler,Mniotilta varia,6360,yes
Molothrus aeneus,Bronzed Cowbird,4960,Molothrus aeneus,Bronzed Cowbird,Molothrus aeneus,4960,yes
Molothrus aeneus/ater,Bronzed/Brown-headed Cowbird,4955,Molothrus aeneus/ater,Bronzed/Brown-headed Cowbird,Molothrus aeneus / ater,4955,yes
Molothrus ater,Brown-headed Cowbird,4950,Molothrus ater,Brown-headed Cowbird,Molothrus ater,4950,yes
Molothrus bonariensis,Shiny Cowbird,4961,Molothrus bonariensis,Shiny Cowbird,Molothrus bonariensis,4961,yes
Morus bassanus,Northern Gannet,1170,Morus bassanus,Northern Gannet,Morus bassanus,1170,yes
Motacilla alba,White Wagtail,6940,Motacilla alba,White Wagtail,Motacilla alba,6940,yes
Motacilla tschutschensis,Eastern Yellow Wagtail,6960,Motacilla tschutschensis,Eastern Yellow Wagtail,Motacilla tschutschensis,6960,yes
Myadestes townsendi,Townsend's Solitaire,7540,Myadestes townsendi,Townsend's Solitaire,Myadestes townsendi,7540,yes
Mycteria americana,Wood Stork,1880,Mycteria americana,Wood Stork,Mycteria americana,1880,yes
Myiarchus cinerascens,Ash-throated Flycatcher,4540,Myiarchus cinerascens,Ash-throated Flycatcher,Myiarchus cinerascens,4540,yes
Myiarchus crinitus,Great Crested Flycatcher,4520,Myiarchus crinitus,Great Crested Flycatcher,Myiarchus crinitus,4520,yes
Myiarchus tuberculifer,Dusky-capped Flycatcher,4550,Myiarchus tuberculifer,Dusky-capped Flycatcher,Myiarchus tuberculifer,4550,yes
Myiarchus tyrannulus,Brown-crested Flycatcher,4530,Myiarchus tyrannulus,Brown-crested Flycatcher,Myiarchus tyrannulus,4530,yes
Myioborus pictus,Painted Redstart,6880,Myioborus pictus,Painted Redstart,Myioborus pictus,6880,yes
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,4510,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,4510,yes
Myiopsitta monachus,Monk Parakeet,3824,Myiopsitta monachus,Monk Parakeet,Myiopsitta monachus,3824,yes
Nannopterum auritum,Double-crested Cormorant,1200,Nannopterum auritum,Double-crested Cormorant,Nannopterum auritum,1200,yes
