scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_CA_avibase8.17,status_NAM_avibase8.17,status_NaN_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data,AOU_bbs2024.combo,scientific_name_clements2024.combo,common_name_clements2024.combo
Calonectris diomedea,Scopoli's Shearwater; Cory's Shearwater,Calonectris diomedea,Scopoli's Shearwater,PROCELLARIIFORMES,Procellariidae,Rare/Accidental,NA,NA,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; oat; OCE; pal; SAM; US48; XX,yes,880,Cory's Shearwater,Procellariiformes,Procellariidae,Calonectris diomedea,yes,Scopoli's Shearwater,Calonectris diomedea,"breeds Mediterranean islands, outside breeding season moving to winter mainly in upwelling systems of tropical eastern Atlantic",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes,880,Calonectris diomedea,Scopoli's Shearwater
Calothorax lucifer,Lucifer Hummingbird,Calothorax lucifer,Lucifer Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,4370,Lucifer Hummingbird,Apodiformes,Trochilidae,Calothorax lucifer,yes,Lucifer Hummingbird,Calothorax lucifer,arid mountains of southwestern USA and northern Mexico; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4370,Calothorax lucifer,Lucifer Hummingbird
Calypte anna,Anna's Hummingbird,Calypte anna,Anna's Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48; USak,yes,4310,Anna's Hummingbird,Apodiformes,Trochilidae,Calypte anna,yes,Anna's Hummingbird,Calypte anna,breeds southwestern Alaska to northwestern Baja California (northwestern Mexico); winters to northern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4310,Calypte anna,Anna's Hummingbird
Calypte costae,Costa's Hummingbird,Calypte costae,Costa's Hummingbird,APODIFORMES,Trochilidae,Rare/Accidental,NA,NA,NA,Rare/Accidental,CA; CAM; hol; NAM; nea; US48; USak,yes,4300,Costa's Hummingbird,Apodiformes,Trochilidae,Calypte costae,yes,Costa's Hummingbird,Calypte costae,arid southwestern USA to southern Baja California and northwestern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental; Rare/Accidental,yes,4300,Calypte costae,Costa's Hummingbird
Camptostoma imberbe,Northern Beardless-Tyrannulet,Camptostoma imberbe,Northern Beardless-Tyrannulet,PASSERIFORMES,Tyrannidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,4720,Northern Beardless-Tyrannulet,Passeriformes,Tyrannidae,Camptostoma imberbe,yes,Northern Beardless-Tyrannulet,Camptostoma imberbe,"southeastern Arizona to southern Texas, western Mexico, and northern Costa Rica; Cozumel",Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,NA,yes,4720,Camptostoma imberbe,Northern Beardless-Tyrannulet
Campylorhynchus brunneicapillus,Cactus Wren,Campylorhynchus brunneicapillus,Cactus Wren,PASSERIFORMES,Troglodytidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7130,Cactus Wren,Passeriformes,Troglodytidae,Campylorhynchus brunneicapillus,yes,Cactus Wren,Campylorhynchus brunneicapillus,NA,Troglodytidae (Wrens),Passeriformes,yes,NA,yes,7130,Campylorhynchus brunneicapillus,Cactus Wren
Canachites canadensis,Spruce Grouse,Canachites canadensis,Spruce Grouse,GALLIFORMES,Phasianidae,NA,NA,NA,NA,NA,CA; hol; NAM; nea; US48; USak,yes,2980,Spruce Grouse,Galliformes,Phasianidae,Canachites canadensis,yes,Spruce Grouse,Canachites canadensis,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,NA,yes,2980,Canachites canadensis,Spruce Grouse
Caracara plancus,Crested Caracara,Caracara plancus,Crested Caracara,FALCONIFORMES,Falconidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48,yes,3620,Crested Caracara,Falconiformes,Falconidae,Caracara plancus,yes,Crested Caracara,Caracara plancus,NA,Falconidae (Falcons and Caracaras),Falconiformes,yes,Rare/Accidental,yes,3620,Caracara plancus,Crested Caracara
Cardellina canadensis,Canada Warbler,Cardellina canadensis,Canada Warbler,PASSERIFORMES,Parulidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak,yes,6860,Canada Warbler,Passeriformes,Parulidae,Cardellina canadensis,yes,Canada Warbler,Cardellina canadensis,eastern North America; winters Panama and mountains of northwestern South America,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes,6860,Cardellina canadensis,Canada Warbler
Cardellina pusilla,Wilson's Warbler,Cardellina pusilla,Wilson's Warbler,PASSERIFORMES,Parulidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; US48; USak,yes,6850,Wilson's Warbler,Passeriformes,Parulidae,Cardellina pusilla,yes,Wilson's Warbler,Cardellina pusilla,NA,Parulidae (New World Warblers),Passeriformes,yes,NA,yes,6850,Cardellina pusilla,Wilson's Warbler
Cardellina rubrifrons,Red-faced Warbler,Cardellina rubrifrons,Red-faced Warbler,PASSERIFORMES,Parulidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,6900,Red-faced Warbler,Passeriformes,Parulidae,Cardellina rubrifrons,yes,Red-faced Warbler,Cardellina rubrifrons,mountains of Arizona and New Mexico to northwestern Mexico; winters to Honduras,Parulidae (New World Warblers),Passeriformes,yes,NA,yes,6900,Cardellina rubrifrons,Red-faced Warbler
Cardinalis cardinalis,Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,PASSERIFORMES,Cardinalidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; OCE; PAC; US48; UShi,yes,5930,Northern Cardinal,Passeriformes,Cardinalidae,Cardinalis cardinalis,yes,Northern Cardinal,Cardinalis cardinalis,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,NA,yes,5930,Cardinalis cardinalis,Northern Cardinal
Cardinalis cardinalis/sinuatus,Northern Cardinal/Pyrrhuloxia; unid. Northern Cardinal/Pyrrhuloxia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5935,unid. Northern Cardinal / Pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis cardinalis / sinuatus,yes,Northern Cardinal/Pyrrhuloxia,Cardinalis cardinalis/sinuatus,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,NA,yes,5935,Cardinalis cardinalis/sinuatus,Northern Cardinal/Pyrrhuloxia
Cardinalis sinuatus,Pyrrhuloxia,Cardinalis sinuatus,Pyrrhuloxia,PASSERIFORMES,Cardinalidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,5940,Pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis sinuatus,yes,Pyrrhuloxia,Cardinalis sinuatus,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Rare/Accidental,yes,5940,Cardinalis sinuatus,Pyrrhuloxia
Carduelis carduelis,European Goldfinch,Carduelis carduelis,European Goldfinch,PASSERIFORMES,Fringillidae,NA,NA,NA,Uncertain origin,NA,AFR; ASI; AUS; CAR; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48,yes,5261,European Goldfinch,Passeriformes,Fringillidae,Carduelis carduelis,yes,European Goldfinch,Carduelis carduelis,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Uncertain origin,yes,5261,Carduelis carduelis,European Goldfinch
Cathartes aura,Turkey Vulture,Cathartes aura,Turkey Vulture,CATHARTIFORMES,Cathartidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48; USak,yes,3250,Turkey Vulture,Cathartiformes,Cathartidae,Cathartes aura,yes,Turkey Vulture,Cathartes aura,NA,Cathartidae (New World Vultures),Cathartiformes,yes,Rare/Accidental,yes,3250,Cathartes aura,Turkey Vulture
Cathartes sp.; Coragyps/Cathartes atratus/aura,Cathartes sp.; unid. Black Vulture/Turkey Vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,3255,unid. Black Vulture / Turkey Vulture,Cathartiformes,Cathartidae,Coragyps / Cathartes atratus / aura,yes,Cathartes sp.,Cathartes sp.,NA,Cathartidae (New World Vultures),Cathartiformes,yes,NA,yes,3255,Cathartes sp.,Cathartes sp.
Catharus bicknelli,Bicknell's Thrush,Catharus bicknelli,Bicknell's Thrush,PASSERIFORMES,Turdidae,Vulnerable,Vulnerable,NA,Vulnerable,NA,CA; CAR; hol; NAM; nea; US48,yes,7571,Bicknell's Thrush,Passeriformes,Turdidae,Catharus bicknelli,yes,Bicknell's Thrush,Catharus bicknelli,"breeds in eastern Canada (eastern Quebec, Nova Scotia, and New Brunswick) and adjacent USA (eastern New York, Vermont, New Hampshire, and Maine); primarily winters in Hispaniola (Dominican Republic) and locally eastern Cuba, eastern Jamaica, and eastern Puerto Rico",Turdidae (Thrushes and Allies),Passeriformes,yes,Vulnerable; Vulnerable,yes,7571,Catharus bicknelli,Bicknell's Thrush
Catharus fuscescens,Veery,Catharus fuscescens,Veery,PASSERIFORMES,Turdidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak,yes,7560,Veery,Passeriformes,Turdidae,Catharus fuscescens,yes,Veery,Catharus fuscescens,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes,7560,Catharus fuscescens,Veery
Catharus guttatus,Hermit Thrush,Catharus guttatus,Hermit Thrush,PASSERIFORMES,Turdidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,7590,Hermit Thrush,Passeriformes,Turdidae,Catharus guttatus,yes,Hermit Thrush,Catharus guttatus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,NA,yes,7590,Catharus guttatus,Hermit Thrush
Catharus minimus,Gray-cheeked Thrush,Catharus minimus,Gray-cheeked Thrush,PASSERIFORMES,Turdidae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak,yes,7570,Gray-cheeked Thrush,Passeriformes,Turdidae,Catharus minimus,yes,Gray-cheeked Thrush,Catharus minimus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,NA,yes,7570,Catharus minimus,Gray-cheeked Thrush
Catharus ustulatus,Swainson's Thrush,Catharus ustulatus,Swainson's Thrush,PASSERIFORMES,Turdidae,NA,NA,Rare/Accidental,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; US48; USak,yes,7580,Swainson's Thrush,Passeriformes,Turdidae,Catharus ustulatus,yes,Swainson's Thrush,Catharus ustulatus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,NA,yes,7580,Catharus ustulatus,Swainson's Thrush
Catherpes mexicanus,Canyon Wren,Catherpes mexicanus,Canyon Wren,PASSERIFORMES,Troglodytidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,7170,Canyon Wren,Passeriformes,Troglodytidae,Catherpes mexicanus,yes,Canyon Wren,Catherpes mexicanus,NA,Troglodytidae (Wrens),Passeriformes,yes,NA,yes,7170,Catherpes mexicanus,Canyon Wren
Centrocercus minimus,Gunnison Sage-Grouse,Centrocercus minimus,Gunnison Sage-Grouse,GALLIFORMES,Phasianidae,NA,Endangered,NA,Endemic Endangered,NA,hol; NAM; nea; US48,yes,3089,Gunnison Sage-Grouse,Galliformes,Phasianidae,Centrocercus minimus,yes,Gunnison Sage-Grouse,Centrocercus minimus,Gunnison Basin of southwestern Colorado and adjacent southeastern Utah,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Endemic Endangered,yes,3089,Centrocercus minimus,Gunnison Sage-Grouse
Centrocercus urophasianus,Greater Sage-Grouse,Centrocercus urophasianus,Greater Sage-Grouse,GALLIFORMES,Phasianidae,Near-threatened,Near-threatened,NA,Near-threatened,NA,CA; hol; NAM; nea; US48,yes,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus urophasianus,yes,Greater Sage-Grouse,Centrocercus urophasianus,prairies and sage grassland of western Canada to southwestern USA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Near-threatened; Near-threatened,yes,3090,Centrocercus urophasianus,Greater Sage-Grouse
Centronyx bairdii,Baird's Sparrow,Centronyx bairdii,Baird's Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,5450,Baird's Sparrow,Passeriformes,Passerellidae,Centronyx bairdii,yes,Baird's Sparrow,Centronyx bairdii,Great Plains of North America; winters to southwestern USA and northern Mexico,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5450,Centronyx bairdii,Baird's Sparrow
Centronyx henslowii,Henslow's Sparrow,Centronyx henslowii,Henslow's Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,CA; hol; NAM; nea; US48,yes,5470,Henslow's Sparrow,Passeriformes,Passerellidae,Centronyx henslowii,yes,Henslow's Sparrow,Centronyx henslowii,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5470,Centronyx henslowii,Henslow's Sparrow
Cepphus columba,Pigeon Guillemot,Cepphus columba,Pigeon Guillemot,CHARADRIIFORMES,Alcidae,NA,NA,NA,NA,NA,ASI; CA; CAM; EUR; hol; NAM; nea; pal; US48; USak,yes,290,Pigeon Guillemot,Charadriiformes,Alcidae,Cepphus columba,yes,Pigeon Guillemot,Cepphus columba,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,NA,yes,290,Cepphus columba,Pigeon Guillemot
Cepphus grylle,Black Guillemot,Cepphus grylle,Black Guillemot,CHARADRIIFORMES,Alcidae,NA,NA,NA,NA,NA,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,270,Black Guillemot,Charadriiformes,Alcidae,Cepphus grylle,yes,Black Guillemot,Cepphus grylle,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,NA,yes,270,Cepphus grylle,Black Guillemot
Cerorhinca monocerata,Rhinoceros Auklet,Cerorhinca monocerata,Rhinoceros Auklet,CHARADRIIFORMES,Alcidae,NA,NA,NA,NA,NA,ASI; CA; CAM; hol; NAM; nea; opa; pal; US48; USak; UShi; XX,yes,150,Rhinoceros Auklet,Charadriiformes,Alcidae,Cerorhinca monocerata,yes,Rhinoceros Auklet,Cerorhinca monocerata,eastern Asia and western North America; winters to Baja California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,NA,yes,150,Cerorhinca monocerata,Rhinoceros Auklet
Certhia americana,Brown Creeper,Certhia americana,Brown Creeper,PASSERIFORMES,Certhiidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,7260,Brown Creeper,Passeriformes,Certhiidae,Certhia americana,yes,Brown Creeper,Certhia americana,NA,Certhiidae (Treecreepers),Passeriformes,yes,NA,yes,7260,Certhia americana,Brown Creeper
Chaetura pelagica,Chimney Swift,Chaetura pelagica,Chimney Swift,APODIFORMES,Apodidae,Vulnerable,Vulnerable,Vulnerable,Vulnerable,Rare/Accidental Vulnerable,AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak,yes,4230,Chimney Swift,Apodiformes,Apodidae,Chaetura pelagica,yes,Chimney Swift,Chaetura pelagica,"breeds eastern North America; winters in coastal Peru and northern Chile, in Amazonian Peru, and probably in western Brazil",Apodidae (Swifts),Apodiformes,yes,Vulnerable; Vulnerable; Rare/Accidental Vulnerable,yes,4230,Chaetura pelagica,Chimney Swift
Chaetura vauxi,Vaux's Swift,Chaetura vauxi,Vaux's Swift,APODIFORMES,Apodidae,NA,NA,Rare/Accidental,NA,NA,CA; CAM; hol; NAM; NaN; nea; SAM; US48; USak,yes,4240,Vaux's Swift,Apodiformes,Apodidae,Chaetura vauxi,yes,Vaux's Swift,Chaetura vauxi,NA,Apodidae (Swifts),Apodiformes,yes,NA,yes,4240,Chaetura vauxi,Vaux's Swift
Chamaea fasciata,Wrentit,Chamaea fasciata,Wrentit,PASSERIFORMES,Paradoxornithidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,7420,Wrentit,Passeriformes,Sylviidae,Chamaea fasciata,yes,Wrentit,Chamaea fasciata,NA,Paradoxornithidae (Parrotbills),Passeriformes,yes,NA,yes,7420,Chamaea fasciata,Wrentit
Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,Common Ringed Plover,CHARADRIIFORMES,Charadriidae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2750,Common Ringed Plover,Charadriiformes,Charadriidae,Charadrius hiaticula,yes,Common Ringed Plover,Charadrius hiaticula,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental,yes,2750,Charadrius hiaticula,Common Ringed Plover
Charadrius melodus,Piping Plover,Charadrius melodus,Piping Plover,CHARADRIIFORMES,Charadriidae,Near-threatened,Near-threatened,Near-threatened,Near-threatened,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; US48,yes,2770,Piping Plover,Charadriiformes,Charadriidae,Charadrius melodus,yes,Piping Plover,Charadrius melodus,"eastern Canada and USA; winters southeastern USA, Bahamas, and Greater Antilles",Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Near-threatened; Near-threatened,yes,2770,Charadrius melodus,Piping Plover
Charadrius semipalmatus,Semipalmated Plover,Charadrius semipalmatus,Semipalmated Plover,CHARADRIIFORMES,Charadriidae,NA,NA,NA,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2740,Semipalmated Plover,Charadriiformes,Charadriidae,Charadrius semipalmatus,yes,Semipalmated Plover,Charadrius semipalmatus,breeds northern North America; winters to southern South America and Hawaiian Islands,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,NA,yes,2740,Charadrius semipalmatus,Semipalmated Plover
Charadrius vociferus,Killdeer,Charadrius vociferus,Killdeer,CHARADRIIFORMES,Charadriidae,Near-threatened,Near-threatened,Near-threatened,Near-threatened,Near-threatened,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2730,Killdeer,Charadriiformes,Charadriidae,Charadrius vociferus,yes,Killdeer,Charadrius vociferus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes,2730,Charadrius vociferus,Killdeer
Chlidonias niger,Black Tern,Chlidonias niger,Black Tern,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,770,Black Tern,Charadriiformes,Laridae,Chlidonias niger,yes,Black Tern,Chlidonias niger,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,770,Chlidonias niger,Black Tern
Chloroceryle americana,Green Kingfisher,Chloroceryle americana,Green Kingfisher,CORACIIFORMES,Alcedinidae,NA,NA,NA,NA,NA,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,3910,Green Kingfisher,Coraciiformes,Alcedinidae,Chloroceryle americana,yes,Green Kingfisher,Chloroceryle americana,NA,Alcedinidae (Kingfishers),Coraciiformes,yes,NA,yes,3910,Chloroceryle americana,Green Kingfisher
Chondestes grammacus,Lark Sparrow,Chondestes grammacus,Lark Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,5520,Lark Sparrow,Passeriformes,Passerellidae,Chondestes grammacus,yes,Lark Sparrow,Chondestes grammacus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental,yes,5520,Chondestes grammacus,Lark Sparrow
Chondrohierax uncinatus,Hook-billed Kite,Chondrohierax uncinatus,Hook-billed Kite,ACCIPITRIFORMES,Accipitridae,NA,NA,NA,NA,NA,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,3271,Hook-billed Kite,Accipitriformes,Accipitridae,Chondrohierax uncinatus,yes,Hook-billed Kite,Chondrohierax uncinatus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3271,Chondrohierax uncinatus,Hook-billed Kite
Chordeiles acutipennis,Lesser Nighthawk,Chordeiles acutipennis,Lesser Nighthawk,CAPRIMULGIFORMES,Caprimulgidae,Rare/Accidental,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48; USak,yes,4210,Lesser Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,yes,Lesser Nighthawk,Chordeiles acutipennis,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Rare/Accidental; Rare/Accidental,yes,4210,Chordeiles acutipennis,Lesser Nighthawk
Chordeiles gundlachii,Antillean Nighthawk,Chordeiles gundlachii,Antillean Nighthawk,CAPRIMULGIFORMES,Caprimulgidae,NA,NA,NA,NA,NA,CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48,yes,4201,Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles gundlachii,yes,Antillean Nighthawk,Chordeiles gundlachii,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,NA,yes,4201,Chordeiles gundlachii,Antillean Nighthawk
Chordeiles minor,Common Nighthawk,Chordeiles minor,Common Nighthawk,CAPRIMULGIFORMES,Caprimulgidae,NA,NA,NA,NA,Rare/Accidental,AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,4200,Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles minor,yes,Common Nighthawk,Chordeiles minor,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Rare/Accidental,yes,4200,Chordeiles minor,Common Nighthawk
Chordeiles minor/gundlachii,Common/Antillean Nighthawk; unid. Common Nighthawk/Antillean Nighthawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,4206,unid. Common Nighthawk / Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles minor / gundlachii,yes,Common/Antillean Nighthawk,Chordeiles minor/gundlachii,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,NA,yes,4206,Chordeiles minor/gundlachii,Common/Antillean Nighthawk
Chordeiles sp.; Chordeiles acutipennis/minor,nighthawk sp.; unid. Lesser Nighthawk/Common Nighthawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,4205,unid. Lesser Nighthawk / Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis / minor,yes,nighthawk sp.,Chordeiles sp.,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,NA,yes,4205,Chordeiles sp.,nighthawk sp.
Chroicocephalus philadelphia,Bonaparte's Gull,Chroicocephalus philadelphia,Bonaparte's Gull,CHARADRIIFORMES,Laridae,NA,NA,Rare/Accidental,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,600,Bonaparte's Gull,Charadriiformes,Laridae,Chroicocephalus philadelphia,yes,Bonaparte's Gull,Chroicocephalus philadelphia,northern North America; winters to Mexico and Greater Antilles,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,yes,600,Chroicocephalus philadelphia,Bonaparte's Gull
Chroicocephalus ridibundus,Black-headed Gull,Chroicocephalus ridibundus,Black-headed Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,551,Black-headed Gull,Charadriiformes,Laridae,Chroicocephalus ridibundus,yes,Black-headed Gull,Chroicocephalus ridibundus,"northern Palearctic; winters to Africa, southern Asia, and eastern North America","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes,551,Chroicocephalus ridibundus,Black-headed Gull
Cinclus mexicanus,American Dipper,Cinclus mexicanus,American Dipper,PASSERIFORMES,Cinclidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48; USak,yes,7010,American Dipper,Passeriformes,Cinclidae,Cinclus mexicanus,yes,American Dipper,Cinclus mexicanus,NA,Cinclidae (Dippers),Passeriformes,yes,NA,yes,7010,Cinclus mexicanus,American Dipper
Circus hudsonius,Northern Harrier,Circus hudsonius,Northern Harrier,ACCIPITRIFORMES,Accipitridae,NA,NA,NA,NA,NA,ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,3310,Northern Harrier,Accipitriformes,Accipitridae,Circus hudsonius,yes,Northern Harrier,Circus hudsonius,widespread North America; winters to northern South America,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3310,Circus hudsonius,Northern Harrier
Cistothorus palustris,Marsh Wren,Cistothorus palustris,Marsh Wren,PASSERIFORMES,Troglodytidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,7250,Marsh Wren,Passeriformes,Troglodytidae,Cistothorus palustris,yes,Marsh Wren,Cistothorus palustris,NA,Troglodytidae (Wrens),Passeriformes,yes,Rare/Accidental,yes,7250,Cistothorus palustris,Marsh Wren
Cistothorus stellaris,Sedge Wren,Cistothorus stellaris,Sedge Wren,PASSERIFORMES,Troglodytidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,7240,Sedge Wren,Passeriformes,Troglodytidae,Cistothorus stellaris,yes,Sedge Wren,Cistothorus stellaris,eastern Canada to eastern USA; winters Florida to northeastern Mexico,Troglodytidae (Wrens),Passeriformes,yes,NA,yes,7240,Cistothorus stellaris,Sedge Wren
Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,ANSERIFORMES,Anatidae,Vulnerable,Vulnerable,NA,Vulnerable,Vulnerable,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,1540,Long-tailed Duck,Anseriformes,Anatidae,Clangula hyemalis,yes,Long-tailed Duck,Clangula hyemalis,coasts of Holarctic region,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Vulnerable; Vulnerable; Vulnerable,yes,1540,Clangula hyemalis,Long-tailed Duck
