common_name,scientific_name,status,order,family,region,in_LaSelva-Barva_studies?,previously_done?,recorder,entry_dates,BOW_citation,Notes
Bronzy Hermit,Glaucis aeneus,,APODIFORMES,Trochilidae,CRhe,,,,,,
Band-tailed Barbthroat,Threnetes ruckeri,,APODIFORMES,Trochilidae,CRhe,,,,,,
Green Hermit,Phaethornis guy,,APODIFORMES,Trochilidae,CRhe,,,,,,
Long-billed Hermit,Phaethornis longirostris,,APODIFORMES,Trochilidae,CRhe,,,,,,
Stripe-throated Hermit,Phaethornis striigularis,,APODIFORMES,Trochilidae,CRhe,,,,,,
Green-fronted Lancebill,Doryfera ludovicae,,APODIFORMES,Trochilidae,CRhe,,,,,,
Brown Violetear,Colibri delphinae,,APODIFORMES,Trochilidae,CRhe,,,,,,
Mexican Violetear,Colibri thalassinus,,APODIFORMES,Trochilidae,CRhe,,,,,,
Lesser Violetear,Colibri cyanotus,,APODIFORMES,Trochilidae,CRhe,,,,,,
Purple-crowned Fairy,Heliothryx barroti,,APODIFORMES,Trochilidae,CRhe,,,,,,
Green-breasted Mango,Anthracothorax prevostii,,APODIFORMES,Trochilidae,CRhe,,,,,,
Green Thorntail,Discosura conversii,,APODIFORMES,Trochilidae,CRhe,,,,,,
Black-crested Coquette,Lophornis helenae,,APODIFORMES,Trochilidae,CRhe,,,,,,
White-crested Coquette,Lophornis adorabilis,,APODIFORMES,Trochilidae,CRhe,,,,,,
Green-crowned Brilliant,Heliodoxa jacula,,APODIFORMES,Trochilidae,CRhe,,,,,,
Rivoli's Hummingbird,Eugenes fulgens,,APODIFORMES,Trochilidae,CRhe,,,,,,
Talamanca Hummingbird,Eugenes spectabilis,,APODIFORMES,Trochilidae,CRhe,,,,,,
Long-billed Starthroat,Heliomaster longirostris,,APODIFORMES,Trochilidae,CRhe,,,,,,
Plain-capped Starthroat,Heliomaster constantii,,APODIFORMES,Trochilidae,CRhe,,,,,,
Fiery-throated Hummingbird,Panterpe insignis,,APODIFORMES,Trochilidae,CRhe,,,,,,
White-bellied Mountain-gem,Lampornis hemileucus,,APODIFORMES,Trochilidae,CRhe,,,,,,
Purple-throated Mountain-gem,Lampornis calolaemus,,APODIFORMES,Trochilidae,CRhe,,,,,,
Magenta-throated Woodstar,Philodice bryantae,,APODIFORMES,Trochilidae,CRhe,,,,,,
Ruby-throated Hummingbird,Archilochus colubris,,APODIFORMES,Trochilidae,CRhe,,,,,,
Volcano Hummingbird,Selasphorus flammula,,APODIFORMES,Trochilidae,CRhe,,,,,,
Scintillant Hummingbird,Selasphorus scintilla,,APODIFORMES,Trochilidae,CRhe,,,,,,
Canivet's Emerald,Cynanthus canivetii,,APODIFORMES,Trochilidae,CRhe,,,,,,
Garden Emerald,Chlorostilbon assimilis,,APODIFORMES,Trochilidae,CRhe,,,,,,
Violet-headed Hummingbird,Klais guimeti,,APODIFORMES,Trochilidae,CRhe,,,,,,
Violet Sabrewing,Campylopterus hemileucurus,,APODIFORMES,Trochilidae,CRhe,,,,,,
Bronze-tailed Plumeleteer,Chalybura urochrysia,,APODIFORMES,Trochilidae,CRhe,yes,,,,,
Crowned Woodnymph,Thalurania colombica,,APODIFORMES,Trochilidae,CRhe,yes,,,,,
Snowcap,Microchera albocoronata,,APODIFORMES,Trochilidae,CRhe,,,,,,
Coppery-headed Emerald,Microchera cupreiceps,Endemic (country/region),APODIFORMES,Trochilidae,CRhe,,,,,,
White-tailed Emerald,Microchera chionura,,APODIFORMES,Trochilidae,CRhe,,,,,,
Stripe-tailed Hummingbird,Eupherusa eximia,,APODIFORMES,Trochilidae,CRhe,,,,,,
Black-bellied Hummingbird,Eupherusa nigriventris,,APODIFORMES,Trochilidae,CRhe,,,,,,
Scaly-breasted Hummingbird,Phaeochroa cuvierii,,APODIFORMES,Trochilidae,CRhe,,,,,,
Blue-vented Hummingbird,Saucerottia hoffmanni,,APODIFORMES,Trochilidae,CRhe,,,,,,
Blue-tailed Hummingbird,Saucerottia cyanura,Rare/Accidental,APODIFORMES,Trochilidae,CRhe,,,,,,
Cinnamon Hummingbird,Amazilia rutila,,APODIFORMES,Trochilidae,CRhe,,,,,,
Rufous-tailed Hummingbird,Amazilia tzacatl,,APODIFORMES,Trochilidae,CRhe,,,,,,
Blue-chested Hummingbird,Polyerata amabilis,,APODIFORMES,Trochilidae,CRhe,,,,,,
Charming Hummingbird,Polyerata decora,,APODIFORMES,Trochilidae,CRhe,,,,,,
Blue-throated Goldentail,Chlorestes eliciae,,APODIFORMES,Trochilidae,CRhe,,,,,,
Spotted Rail,Pardirallus maculatus,,GRUIFORMES,Rallidae,CRhe,,,,,,
Paint-billed Crake,Mustelirallus erythrops,Rare/Accidental,GRUIFORMES,Rallidae,CRhe,,,,,,
Uniform Crake,Amaurolimnas concolor,,GRUIFORMES,Rallidae,CRhe,,,,,,
Rufous-necked Wood-Rail,Aramides axillaris,,GRUIFORMES,Rallidae,CRhe,,,,,,
Russet-naped Wood-Rail,Aramides albiventris,,GRUIFORMES,Rallidae,CRhe,,,,,,
Gray-cowled Wood-Rail,Aramides cajaneus,,GRUIFORMES,Rallidae,CRhe,yes,,,,,
Sora,Porzana carolina,,GRUIFORMES,Rallidae,CRhe,,,,,,
Common Gallinule,Gallinula galeata,,GRUIFORMES,Rallidae,CRhe,,,,,,
American Coot,Fulica americana,,GRUIFORMES,Rallidae,CRhe,,,,,,
Purple Gallinule,Porphyrio martinica,,GRUIFORMES,Rallidae,CRhe,,,,,,
White-throated Crake,Laterallus albigularis,,GRUIFORMES,Rallidae,CRhe,,,,,,
Gray-breasted Crake,Laterallus exilis,,GRUIFORMES,Rallidae,CRhe,,,,,,
Sungrebe,Heliornis fulica,,GRUIFORMES,Heliornithidae,CRhe,,,,,,
Limpkin,Aramus guarauna,,GRUIFORMES,Aramidae,CRhe,,,,,,
Double-striped Thick-knee,Hesperoburhinus bistriatus,,CHARADRIIFORMES,Burhinidae,CRhe,,,,,,
Black-necked Stilt,Himantopus mexicanus,,CHARADRIIFORMES,Recurvirostridae,CRhe,,,,,,
American Oystercatcher,Haematopus palliatus,,CHARADRIIFORMES,Haematopodidae,CRhe,,,,,,
Black-bellied Plover,Pluvialis squatarola,Vulnerable,CHARADRIIFORMES,Charadriidae,CRhe,,,,,,
American Golden-Plover,Pluvialis dominica,,CHARADRIIFORMES,Charadriidae,CRhe,,,,,,
Killdeer,Charadrius vociferus,Near-threatened,CHARADRIIFORMES,Charadriidae,CRhe,,,,,,
Semipalmated Plover,Charadrius semipalmatus,,CHARADRIIFORMES,Charadriidae,CRhe,,,,,,
Southern Lapwing,Vanellus chilensis,,CHARADRIIFORMES,Charadriidae,CRhe,,,,,,
Collared Plover,Anarhynchus collaris,,CHARADRIIFORMES,Charadriidae,CRhe,,,,,,
Northern Jacana,Jacana spinosa,,CHARADRIIFORMES,Jacanidae,CRhe,,,,,,
Upland Sandpiper,Bartramia longicauda,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Hudsonian Whimbrel,Numenius hudsonicus,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Short-billed Dowitcher,Limnodromus griseus,Vulnerable,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
