scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Cepphus sp.,Unid. Guillemot,Cepphus sp.,Unid. Guillemot,NA
Fregata ariel,Lesser Frigatebird,Fregata ariel,Lesser Frigatebird,L0 species as entered on checklist (Clements 2024)
Creagrus furcatus,Swallow-Tailed Gull,Creagrus furcatus,Swallow-tailed Gull,L0 species as entered on checklist (Clements 2024)
Phaethontidae sp.,Unid. Tropicbird,Phaethontidae sp.,Unid. Tropicbird,NA
Sulidae sp.,Unid. Booby,Sulidae sp.,sulid sp.,NA
Grebe sp.,Unid. Grebe,Grebe sp.,Unid. Grebe,NA
Swan sp.,Unid. Swan,Swan sp.,Unid. Swan,NA
Pelecanus erythrorhynchus,American White Pelican,Pelecanus erythrorhynchos,American White Pelican,high confidence str match to checklist (Clements 2024)  0.973
Uria sp.,Unid. Murre Sp.,Uria sp.,Unid. Murre Sp.,NA
Rissa sp.,Unid. Kittiwake Sp.,Rissa sp.,Unid. Kittiwake Sp.,NA
Phalacrocorax sp.,Unid. Cormorant Sp.,Phalacrocorax sp.,Unid. Cormorant Sp.,NA
Fulmar sp.,Unid. Fulmar,Fulmar sp.,Unid. Fulmar,NA
Larus sp.,Unid. Gull Sp.,Larus sp.,Larus sp.,NA
Corvidae sp.,Unid. Corvid Sp.,Corvidae sp.,corvid sp.,NA
Haliaeetus pelagicus,Stellar's Sea Eagle,Haliaeetus pelagicus,Steller's Sea-Eagle,L0 species as entered on checklist (Clements 2024)
Haliaeetus albicilla,White-Tailed Sea Eagle,Haliaeetus albicilla,White-tailed Eagle,L0 species as entered on checklist (Clements 2024)
Corvus sp.,Unid. Crow Sp.,Corvus sp.,crow/raven sp.,NA
Strigiformes sp.,Unid. Owl Sp.,Strigiformes sp.,owl sp.,NA
Ardeidae sp.,Unid. Heron Sp.,Ardeidae sp.,heron sp.,NA
Passeriformes sp.,Unid. Passerine Sp.,Passeriformes sp.,passerine sp.,NA
Ixobrychus sinensis,Yellow Bittern,Botaurus sinensis,Yellow Bittern,high confidence common name fuzzy match (Clements 2024)  1
Gallus sonneratii,Gray Junglefowl,Gallus sonneratii,Gray Junglefowl,L0 species as entered on checklist (Clements 2024)
Gallus varius,Green Junglefowl,Gallus varius,Green Junglefowl,L0 species as entered on checklist (Clements 2024)
Lophura diard,Siamese Fireback,Lophura diardi,Siamese Fireback,high confidence str match to checklist (Clements 2024)  0.976
Branta bernicla nigricans,Pacific Black Brant,Branta bernicla nigricans,Brant (Black),L0 species as entered on checklist (Clements 2024)
Stercorarius stercorarius,Pomarine Jaeger,Stercorarius pomarinus,Pomarine Jaeger,high confidence common name fuzzy match (Clements 2024)  1
Laridae sp.,Unid. Gull Sp.,Laridae sp.,gull/tern sp.,NA
Larus glaucoides thayeri,Thayer's Gull,Larus glaucoides thayeri,Iceland Gull (Thayer's),L0 species as entered on checklist (Clements 2024)
Gavia arctica viridigularis,Arctic Loon,Gavia arctica viridigularis,,L0 species as entered on checklist (Clements 2024)
Nannopterum auritis,Double-Crested Cormorant,Nannopterum auritum,Double-crested Cormorant,high confidence common name fuzzy match (Clements 2024)  1
Gulosus arostotelis,European Shag,Gulosus aristotelis,European Shag,high confidence common name fuzzy match (Clements 2024)  1
Uria aalge,Common Mure,Uria aalge,Common Murre,L0 species as entered on checklist (Clements 2024)
Larus glaucoides thayeri,Thayer's Iceland Gull,Larus glaucoides thayeri,Iceland Gull (Thayer's),L0 species as entered on checklist (Clements 2024)
Larus occidentalis x glaucescens,Hybrid Western X Glaucous-Winged Gull,Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid),high confidence str match to checklist (Clements 2024)  1
Aythya sp.,Unid. Scaup,Aythya sp.,Aythya sp.,NA
Poliocephalus poliocephalus,Hoary-Headed Grebe,Poliocephalus poliocephalus,Hoary-headed Grebe,L0 species as entered on checklist (Clements 2024)
Chroicocephalus novaehollandiae,Silver Gull,Chroicocephalus novaehollandiae,Silver Gull,L0 species as entered on checklist (Clements 2024)
Lampornis clemenciae,Blue-Throated Mountain-Gem,Lampornis clemenciae,Blue-throated Mountain-gem,L0 species as entered on checklist (Clements 2024)
Sternula antillarum browni,California Least Tern,Sternula antillarum browni,,L0 species as entered on checklist (Clements 2024)
unid. screech-owl sp.,Unid. Screech-Owl,unid. screech-owl sp.,Unid. Screech-Owl,NA
Corvus corax sinuatus,Common Raven,Corvus corax sinuatus,,L0 species as entered on checklist (Clements 2024)
Callipepla sp.,Unid. Quail,Callipepla sp.,Unid. Quail,NA
Geopelia maugeus,Barred Dove,Geopelia maugeus,Barred Dove,L0 species as entered on checklist (Clements 2024)
Geothlypis sp.,Unid. Geothlypis Warbler,Geothlypis sp.,Unid. Geothlypis Warbler,NA
Geothlypis rostrata,Bahama Yellowthroat,Geothlypis rostrata,Bahama Yellowthroat,L0 species as entered on checklist (Clements 2024)
Geothlypis beldingi,Belding's Yellowthroat,Geothlypis beldingi,Belding's Yellowthroat,L0 species as entered on checklist (Clements 2024)
Geothlypis flavovelata,Altamira Yellowthroat,Geothlypis flavovelata,Altamira Yellowthroat,L0 species as entered on checklist (Clements 2024)
Basileuterus rufifrons,Rufous-Capped Warbler,Basileuterus rufifrons,Rufous-capped Warbler,L0 species as entered on checklist (Clements 2024)
Geothlypis sp.,Unid. Yellowthroat,Geothlypis sp.,Unid. Yellowthroat,NA
Tympanuchus cupido attwateri,Attwater's Greater Prairie-Chicken,Tympanuchus cupido attwateri,Greater Prairie-Chicken (Attwater's),L0 species as entered on checklist (Clements 2024)
Ara militaris,Military Macaw,Ara militaris,Military Macaw,L0 species as entered on checklist (Clements 2024)
Buteo nitidus,Gray Hawk,Buteo nitidus,Gray-lined Hawk,L0 species as entered on checklist (Clements 2024)
Icterus granduacauda,Audobon's Oriole,Icterus graduacauda,Audubon's Oriole,high confidence str match to checklist (Clements 2024)  0.983
Penelope sp.,Jacuhen,Penelope sp.,Penelope sp.,NA
Thyromanes bewickii,Bewick's Wren,Thryomanes bewickii,Bewick's Wren,high confidence str match to checklist (Clements 2024)  0.982
Bombycilla garrulus,Bohemian Waxwings,Bombycilla garrulus,Bohemian Waxwing,L0 species as entered on checklist (Clements 2024)
Carduelis pinus,Pine Siskin,Spinus pinus,Pine Siskin,high confidence common name fuzzy match (Clements 2024)  1
Dryobates nutallii,Nuttall's Woodpecker,Dryobates nuttallii,Nuttall's Woodpecker,high confidence str match to checklist (Clements 2024)  0.982
Gallus domesticus,Domesticated Chicken,Gallus domesticus,Domesticated Chicken,update species to match checklist (Clements 2024)
Troglodytes troglodytes,Winter Wren,Troglodytes troglodytes,Eurasian Wren,L0 species as entered on checklist (Clements 2024)
Corvus brachyrhynchos caurinus,American (Northwestern) Crow,Corvus brachyrhynchos caurinus,,L0 species as entered on checklist (Clements 2024)
Agelaius phoeniceus,Red-Wing Blackbird,Agelaius phoeniceus,Red-winged Blackbird,L0 species as entered on checklist (Clements 2024)
Cyanocitta cristata,Steller's Jay,Cyanocitta cristata,Blue Jay,L0 species as entered on checklist (Clements 2024)
Corvus sp.,Unid. Raven/Crow,Corvus sp.,crow/raven sp.,NA
Icterid sp.,Unid. Blackbird,Icterid sp.,Unid. Blackbird,NA
Basileuterus tristriatus,Three-Striped Warbler,Basileuterus tristriatus,Three-striped Warbler,L0 species as entered on checklist (Clements 2024)
Tunchiornis ochraceiceps,Tawny-Crowned Greenlet,Tunchiornis ochraceiceps,Tawny-crowned Greenlet,L0 species as entered on checklist (Clements 2024)
Chauna torquata,Southern Screamer,Chauna torquata,Southern Screamer,L0 species as entered on checklist (Clements 2024)
Ciconia maguari,Maguari Stork,Ciconia maguari,Maguari Stork,L0 species as entered on checklist (Clements 2024)
Coscoroba coscoroba,Coscoroba Swan,Coscoroba coscoroba,Coscoroba Swan,L0 species as entered on checklist (Clements 2024)
Cygnus melanocoryphus,Black-Necked Swan,Cygnus melancoryphus,Black-necked Swan,high confidence str match to checklist (Clements 2024)  0.967
Daptrius chimango,Chimango Caracara,Daptrius chimango,Chimango Caracara,L0 species as entered on checklist (Clements 2024)
Fulica armillata,Red-Gartered Coot,Fulica armillata,Red-gartered Coot,L0 species as entered on checklist (Clements 2024)
Fulica leucoptera,White-Winged Coot,Fulica leucoptera,White-winged Coot,L0 species as entered on checklist (Clements 2024)
Fulica rufifrons,Red-Fronted Coot,Fulica rufifrons,Red-fronted Coot,L0 species as entered on checklist (Clements 2024)
Pardirallus maculatus,Spotted Rail,Pardirallus maculatus,Spotted Rail,L0 species as entered on checklist (Clements 2024)
Pardirallus sanguinolentus,Plumbeous Rail,Pardirallus sanguinolentus,Plumbeous Rail,L0 species as entered on checklist (Clements 2024)
Phimosus infuscatus,Bare-Faced Ibis,Phimosus infuscatus,Bare-faced Ibis,L0 species as entered on checklist (Clements 2024)
Platalea ajaia,Roseate Spoolbill,Platalea ajaja,Roseate Spoonbill,high confidence str match to checklist (Clements 2024)  0.952
Podiceps major,Great Grebe,Podiceps major,Great Grebe,L0 species as entered on checklist (Clements 2024)
Spatula platalea,Red Shoveler,Spatula platalea,Red Shoveler,L0 species as entered on checklist (Clements 2024)
Spatula versicolor,Silver Teal,Spatula versicolor,Silver Teal,L0 species as entered on checklist (Clements 2024)
Pterorhinus mitratus,Chestnut-Capped Laughingthrush,Pterorhinus mitratus,Chestnut-capped Laughingthrush,L0 species as entered on checklist (Clements 2024)
Stachyris nigricollis,Black-Throated Babbler,Stachyris nigricollis,Black-throated Babbler,L0 species as entered on checklist (Clements 2024)
Cymbirhynchus macrorhynchos,Black-And-Red Broadbill,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,L0 species as entered on checklist (Clements 2024)
Larvivora akahige,Japanese Robin,Larvivora akahige,Japanese Robin,L0 species as entered on checklist (Clements 2024)
Tarsiger cyanurus,Red-Flanked Bluetail,Tarsiger cyanurus,Red-flanked Bluetail,L0 species as entered on checklist (Clements 2024)
Muscicapa dauurica,Asian Brown Flycatcher,Muscicapa dauurica,Asian Brown Flycatcher,L0 species as entered on checklist (Clements 2024)
Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,L0 species as entered on checklist (Clements 2024)
Cyanoderma ambiguum,Buff-Chested Babbler,Cyanoderma ambiguum,Buff-Chested Babbler,"Update to checklist Rufous-fronted Babbler=Cyanoderma rufifrons. edited to match checklist (Clements 2024). Buff-chested Babbler Cyanoderma ambiguum (with subspecies ambiguum, planicola, adjunctum, and insuspectum) is lumped with Rufous-fronted Babbler Cyanoderma rufifrons (with subspecies pallescens, rufifrons, obscurum, poliogaster, and sarawacense)"
Psittiparus gularis,Gray-Headed Parrotbill,Paradoxornis gularis,Gray-headed Parrotbill,high confidence common name fuzzy match (Clements 2024)  1
Phoenicurus fuliginosus,Plumbeous Redstart,Phoenicurus fuliginosus,Plumbeous Redstart,L0 species as entered on checklist (Clements 2024)
Muscicapidae sp.,Unid. Muscicapidae Flycatcher,Muscicapidae sp.,muscicapid sp.,NA
Philentoma pyrhoptera,Rufous-Winged Philentoma,Philentoma pyrhoptera,Rufous-winged Philentoma,L0 species as entered on checklist (Clements 2024)
Terpsiphone paradisi,Indian Paradise Flycatcher,Terpsiphone paradisi,Indian Paradise-Flycatcher,L0 species as entered on checklist (Clements 2024)
Terpsiphone incei,Amur Paradise Flycatcher,Terpsiphone incei,Amur Paradise-Flycatcher,L0 species as entered on checklist (Clements 2024)
Terpsiphone affinis,Blyth's Paradise Flycatcher,Terpsiphone affinis,Blyth's Paradise-Flycatcher,L0 species as entered on checklist (Clements 2024)
Terpsiphone affinis floris,Lesser Sundas Blyth's Paradise Flycatcher,Terpsiphone affinis floris,Lesser Sundas Blyth's Paradise Flycatcher,Update to checklist Blyth's Paradise-Flycatcher=Terpsiphone affinis. Difficult to say which subspecies it would be. Using species name here from Clements 2024
Malacocincla abbotti,Abbott’s Babbler,Malacocincla abbotti,Abbott's Babbler,L0 species as entered on checklist (Clements 2024)
Delichon urbicum,Western House-Martin,Delichon urbicum,Western House-Martin,L0 species as entered on checklist (Clements 2024)
Cecropis daurica,Red-Rumped Swallow,Cecropis daurica,Eastern Red-rumped Swallow,L0 species as entered on checklist (Clements 2024)
Alcedo atthis,Common Kingfisher,Alcedo atthis,Common Kingfisher,L0 species as entered on checklist (Clements 2024)
Megascops sp.,Unid. Screech-Owl,Megascops sp.,screech-owl sp.,NA
Delichon lagopodum,Siberian House-Martin,Delichon lagopodum,Siberian House-Martin,L0 species as entered on checklist (Clements 2024)
Hydrobates pelagicus,European Storm-Petrel,Hydrobates pelagicus,European Storm-Petrel,L0 species as entered on checklist (Clements 2024)
Pachyptila vittata,Broad-Billed Prion,Pachyptila vittata,Broad-billed Prion,L0 species as entered on checklist (Clements 2024)
Hydrobates castro,Band-Rumped Storm-Petrel,Hydrobates castro,Band-rumped Storm-Petrel,L0 species as entered on checklist (Clements 2024)
Hydrobates monorhis,Swinhoe's Storm-Petrel,Hydrobates monorhis,Swinhoe's Storm-Petrel,L0 species as entered on checklist (Clements 2024)
Hydrobates homochroa,Ashy Storm-Petrel,Hydrobates homochroa,Ashy Storm-Petrel,L0 species as entered on checklist (Clements 2024)
Hydrobates tethys,Wedge-Rumped Storm-Petrel,Hydrobates tethys,Wedge-rumped Storm-Petrel,L0 species as entered on checklist (Clements 2024)
Pterodroma externa,Juan Fernandez Petrel,Pterodroma externa,Juan Fernandez Petrel,L0 species as entered on checklist (Clements 2024)
Pterodroma leucoptera,Gould's Petrel,Pterodroma leucoptera,Gould's Petrel,L0 species as entered on checklist (Clements 2024)
Athene noctua,Little Owl,Athene noctua,Little Owl,L0 species as entered on checklist (Clements 2024)
Larus argentatus smithsonianus,American Herring Gull,Larus smithsonianus,American Herring Gull,high confidence common name fuzzy match (Clements 2024)  1
Petrel sp.,Unid. Petrel,Petrel sp.,Unid. Petrel,NA
Haliaetus leucocephalus,Bald Eagle,Haliaeetus leucocephalus,Bald Eagle,high confidence common name fuzzy match (Clements 2024)  1
Strena hirundo,Common Tern,Sterna hirundo,Common Tern,high confidence str match to checklist (Clements 2024)  0.976
Larus occidentalis x glaucescens,Hybrid Western Gull X Glaucous-Winged Gull,Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid),high confidence str match to checklist (Clements 2024)  1
Larus californicus,Califronia Gull,Larus californicus,California Gull,L0 species as entered on checklist (Clements 2024)
Himantopus alexandrus,Black-Necked Stilt,Himantopus mexicanus,Black-necked Stilt,high confidence common name fuzzy match (Clements 2024)  1
Stercorariidae sp.,Unid. Skua,Stercorariidae sp.,Unid. Skua,NA
Pelecanidae sp.,Unid. Pelican,Pelecanidae sp.,Unid. Pelican,NA
Micrastur ruficollis,Barred Forest-Falcon,Micrastur ruficollis,Barred Forest-Falcon,L0 species as entered on checklist (Clements 2024)
Icterus sp.,Unid. Icterus Sp.,Icterus sp.,new world oriole sp.,NA
Icterus wagleri,Black-Vented Oriole,Icterus wagleri,Black-vented Oriole,L0 species as entered on checklist (Clements 2024)
Troglodytidae sp.,Unid. Wren,Troglodytidae sp.,wren sp.,NA
Thraupidae sp.,Unid. Tanager,Thraupidae sp.,Thraupidae sp.,NA
Icterus auratus,Orange Oriole,Icterus auratus,Orange Oriole,L0 species as entered on checklist (Clements 2024)
Icterus cucullatus cucullatus,Hooded Oriole (Cucullatus),Icterus cucullatus cucullatus,,L0 species as entered on checklist (Clements 2024)
Campylorhynchus rufinucha,Rufous-Naped Wren,Campylorhynchus rufinucha,Veracruz Wren,L0 species as entered on checklist (Clements 2024)
Chlorostilbon canivetii,Canivet's Emerald,Cynanthus canivetii,Canivet's Emerald,high confidence common name fuzzy match (Clements 2024)  1
Finch sp.,Unid. Finch,Finch sp.,Unid. Finch,NA
Heliomaster constanii,Plain-Capped Starthroat,Heliomaster constantii,Plain-capped Starthroat,high confidence str match to checklist (Clements 2024)  0.985
Saucerottia hoffmanni,Blue-Vented Hummingbird,Saucerottia hoffmanni,Blue-vented Hummingbird,L0 species as entered on checklist (Clements 2024)
Setophaga petechia,American Yellow Warbler,Setophaga petechia,Yellow Warbler,L0 species as entered on checklist (Clements 2024)
Troglodytes troglodytes,House Wren,Troglodytes troglodytes,Eurasian Wren,L0 species as entered on checklist (Clements 2024)
Icterus prosthemelas,Black-Cowled Oriole,Icterus prosthemelas,Black-cowled Oriole,L0 species as entered on checklist (Clements 2024)
Icterus graduacauda graduacauda,Audubon's Oriole (Audubon's),Icterus graduacauda graduacauda,,L0 species as entered on checklist (Clements 2024)
Tiaris sp.,Unid. Grassquit,Tiaris sp.,Unid. Grassquit,NA
Piaya cayana,Squirrel Cuckoo,Piaya cayana,Squirrel Cuckoo,L0 species as entered on checklist (Clements 2024)
Isterus pustulatus,Streak-Backed Oriole,Icterus pustulatus,Streak-backed Oriole,high confidence common name fuzzy match (Clements 2024)  1
Buteo jamaicensus,Red-Tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,high confidence str match to checklist (Clements 2024)  0.961
Caloramphus fuliginosus,Brown Barbet,Caloramphus fuliginosus,Brown Barbet,L0 species as entered on checklist (Clements 2024)
Megalaimidae sp.,Unid. Megalaimidae Barbet,Megalaimidae sp.,asian barbet sp.,NA
Pogionulus sp.,Unid. Pogionulus Tinkerbird,Pogionulus sp.,Unid. Pogionulus Tinkerbird,NA
Pogoniulus subsulphurues,Yellow-Throated Tinkerbird,Pogoniulus subsulphureus,Yellow-throated Tinkerbird,high confidence str match to checklist (Clements 2024)  0.986
Gymnobucco bonapartei,Gray-Throated Barbet,Gymnobucco bonapartei,Gray-throated Barbet,L0 species as entered on checklist (Clements 2024)
Pogoniulus pusillus,Red-Fronted Tinkerbird,Pogoniulus pusillus,Southern Red-fronted Tinkerbird,L0 species as entered on checklist (Clements 2024)
Indicator sp.,Unid. Indicator Honeyguide,Indicator sp.,large honeyguide sp.,NA
Ispidina picta,African Pygmy Kingfisher,Ispidina picta,African Pygmy Kingfisher,L0 species as entered on checklist (Clements 2024)
Halcyon leucocephala,Gray-Headed Kingfisher,Halcyon leucocephala,Gray-headed Kingfisher,L0 species as entered on checklist (Clements 2024)
Halcyon chelicuti,Striped Kingfisher,Halcyon chelicuti,Striped Kingfisher,L0 species as entered on checklist (Clements 2024)
Merops bullockoides,White-Fronted Bee-Eater,Merops bullockoides,White-fronted Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops pusillus,Little Bee-Eater,Merops pusillus,Little Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops oreobates,Cinnamon-Chested Bee-Eater,Merops oreobates,Cinnamon-chested Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops hirundineus,Swallow-Tailed Bee-Eater,Merops hirundineus,Swallow-tailed Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops orientalis,Asian Green Bee-Eater,Merops orientalis,Asian Green Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops boehmi,Böhm's Bee-Eater,Merops boehmi,Böhm's Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops nubicus,Northern Carmine Bee-Eater,Merops nubicus,Northern Carmine Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops nubicoides,Southern Carmine Bee-Eater,Merops nubicoides,Southern Carmine Bee-eater,L0 species as entered on checklist (Clements 2024)
Merops superciliosus,Madagascar Bee-Eater,Merops superciliosus,Olive Bee-eater,L0 species as entered on checklist (Clements 2024)
Coracias abyssinicus,Abyssinian Roller,Coracias abyssinicus,Abyssinian Roller,L0 species as entered on checklist (Clements 2024)
Rhinopomastus minor,Abyssinian Scimitarbill,Rhinopomastus minor,Abyssinian Scimitarbill,L0 species as entered on checklist (Clements 2024)
Trachyphonus vaillantii,Crested Barbet,Trachyphonus vaillantii,Crested Barbet,L0 species as entered on checklist (Clements 2024)
Tricholaema leucomelas,Pied Barbet,Tricholaema leucomelas,Pied Barbet,L0 species as entered on checklist (Clements 2024)
Lybius torquatus,Black-Collared Barbet,Lybius torquatus,Black-collared Barbet,L0 species as entered on checklist (Clements 2024)
Jynx ruficollis,Rufous-Necked Wryneck,Jynx ruficollis,Red-throated Wryneck,L0 species as entered on checklist (Clements 2024)
Campethera taeniolaema,Fine-Banded Woodpecker,Campethera taeniolaema,Fine-banded Woodpecker,L0 species as entered on checklist (Clements 2024)
Campethera nubica,Nubian Woodpecker,Campethera nubica,Nubian Woodpecker,L0 species as entered on checklist (Clements 2024)
Campethera abingoni,Golden-Tailed Woodpecker,Campethera abingoni,Golden-tailed Woodpecker,L0 species as entered on checklist (Clements 2024)
Campethera notata,Knysna Woodpecker,Campethera notata,Knysna Woodpecker,L0 species as entered on checklist (Clements 2024)
Campethera tullbergi,Tullberg's Woodpecker,Campethera tullbergi,Tullberg's Woodpecker,L0 species as entered on checklist (Clements 2024)
Dendropicos goertae,African Gray Woodpecker,Dendropicos goertae,African Gray Woodpecker,L0 species as entered on checklist (Clements 2024)
Hirundo atrocaerulea,Montane Blue Swallow,Hirundo atrocaerulea,Montane Blue Swallow,L0 species as entered on checklist (Clements 2024)
Cecropis cucullata,Greater Striped Swallow,Cecropis cucullata,Greater Striped Swallow,L0 species as entered on checklist (Clements 2024)
Hirundo albigularis,White-Throated Swallow,Hirundo albigularis,White-throated Swallow,L0 species as entered on checklist (Clements 2024)
Cecropis semirufa,Rufous-Chested Swallow,Cecropis semirufa,Rufous-chested Swallow,L0 species as entered on checklist (Clements 2024)
Neophedina cincta,Banded Martin,Neophedina cincta,Banded Martin,L0 species as entered on checklist (Clements 2024)
Lamprotornis chalybaeus sycobius,Greater Blue-Eared Starling,Lamprotornis chalybaeus sycobius,,L0 species as entered on checklist (Clements 2024)
Lamprotornis nitens culminator,Red-Shouldered Glossy-Starling,Lamprotornis nitens culminator,Red-Shouldered Glossy-Starling,Update to checklist Cape Starling=Lamprotornis nitens. No subspecies. edited to match checklist (Clements 2024).
Lamprotornis nitens,Red-Shouldered Glossy-Starling,Lamprotornis nitens,Cape Starling,L0 species as entered on checklist (Clements 2024)
Melaniparus niger,Southern Black-Tit,Melaniparus niger,Southern Black-Tit,L0 species as entered on checklist (Clements 2024)
Myrmecocichla formicivora,Southern Anteater-Chat,Myrmecocichla formicivora,Southern Anteater-Chat,L0 species as entered on checklist (Clements 2024)
Myrmecocichla aethiops,Northern Anteater-Chat,Myrmecocichla aethiops,Northern Anteater-Chat,L0 species as entered on checklist (Clements 2024)
Oenanthe pileata,Capped Wheateater,Oenanthe pileata,Capped Wheatear,L0 species as entered on checklist (Clements 2024)
Lybiidae sp.,Unid. Barbet,Lybiidae sp.,african barbet sp.,NA
Myrmecocichla sp.,Unid. Myrmecocichla Thrush,Myrmecocichla sp.,Unid. Myrmecocichla Thrush,NA
Lamprotornis sp.,Unid. Lamprotornis Starling,Lamprotornis sp.,Lamprotornis sp.,NA
Oriolidae sp.,Unid. Oriole,Oriolidae sp.,Unid. Oriole,NA
Merops sp.,Unid. Bee-Eater,Merops sp.,bee-eater sp.,NA
Pardipicus nivosus,Buff-Spotted Woodpecker,Pardipicus nivosus,Buff-spotted Woodpecker,L0 species as entered on checklist (Clements 2024)
Gymnobucco sp.,Unid. Barbet,Gymnobucco sp.,Unid. Barbet,NA
Pardipicus caroli,Brown-Eared Woodpecker,Pardipicus caroli,Brown-eared Woodpecker,L0 species as entered on checklist (Clements 2024)
Chloropicus xantholophus,Golden-Crowned Woodpecker,Chloropicus xantholophus,Golden-crowned Woodpecker,L0 species as entered on checklist (Clements 2024)
Campethera bennettii,Bennett's Woodpecker,Campethera bennettii,Bennett's Woodpecker,L0 species as entered on checklist (Clements 2024)
Stactolaema leucotis,White-Eared Barbet,Stactolaema leucotis,White-eared Barbet,L0 species as entered on checklist (Clements 2024)
Lybius torquatus inornatus,Black-Collared Barbet,Lybius torquatus,Black-collared Barbet,high confidence common name fuzzy match (Clements 2024)  1
Pogoniulus sp.,Unid. Tinkerbird,Pogoniulus sp.,tinkerbird sp.,NA
Muscicapidae sp.,Unid. Old World Flycatcher,Muscicapidae sp.,muscicapid sp.,NA
Dicruridae sp.,Unid. Drongo,Dicruridae sp.,Unid. Drongo,NA
Lybiidae sp.,Unid. African Barbet,Lybiidae sp.,african barbet sp.,NA
Stactolaema whytii,Whyte's Barbet,Stactolaema whytii,Whyte's Barbet,L0 species as entered on checklist (Clements 2024)
Stactolaema anchietae,Anchieta's Barbet,Stactolaema anchietae,Anchieta's Barbet,L0 species as entered on checklist (Clements 2024)
Tricholaema diademata,Red-Fronted Barbet,Tricholaema diademata,Red-fronted Barbet,L0 species as entered on checklist (Clements 2024)
Tricholaema frontata,Miombo Barbet,Tricholaema frontata,Miombo Barbet,L0 species as entered on checklist (Clements 2024)
Lybius vieilloti,Vieillot's Barbet,Lybius vieilloti,Vieillot's Barbet,L0 species as entered on checklist (Clements 2024)
Lybius chaplini,Chaplin's Barbet,Lybius chaplini,Chaplin's Barbet,L0 species as entered on checklist (Clements 2024)
Lybius leucocephalus,White-Headed Barbet,Lybius leucocephalus,White-headed Barbet,L0 species as entered on checklist (Clements 2024)
Lybius rubrifacies,Red-Faced Barbet,Lybius rubrifacies,Red-faced Barbet,L0 species as entered on checklist (Clements 2024)
Lybius guifsobalito,Black-Billed Barbet,Lybius guifsobalito,Black-billed Barbet,L0 species as entered on checklist (Clements 2024)
Pogonornis bidentatus,Double-Toothed Barbet,Pogonornis bidentatus,Double-toothed Barbet,L0 species as entered on checklist (Clements 2024)
Dendropicos griseocephalus,Olive Woodpecker,Dendropicos griseocephalus,Olive Woodpecker,L0 species as entered on checklist (Clements 2024)
Melaniparus afer,Gray Tit,Melaniparus afer,Gray Tit,L0 species as entered on checklist (Clements 2024)
Capitonidae sp.,Unid. Capitonidae Barbet,Capitonidae sp.,new world barbet sp.,NA
Picidae sp.,Unid. Picidae Woodpecker,Picidae sp.,woodpecker sp.,NA
Gymnobucco sp.,Unid. Gymnobucco Barbet,Gymnobucco sp.,Unid. Gymnobucco Barbet,NA
Gymnobucco calvus,Naked-Faced Barbet,Gymnobucco calvus,Naked-faced Barbet,L0 species as entered on checklist (Clements 2024)
Lamprotornis sp.,Unid. Lamprotornis Glossy Starling,Lamprotornis sp.,Lamprotornis sp.,NA
Monticola sp.,Unid. Rock-Thrush,Monticola sp.,rock-thrush sp.,NA
Pogoniulus coryphaea,Western Tinkerbird,Pogoniulus coryphaea,Western Tinkerbird,L0 species as entered on checklist (Clements 2024)
Dendropicos sp.,Unid. Dendropicos Woodpecker,Dendropicos sp.,Unid. Dendropicos Woodpecker,NA
Campethera mombassica,Mombasa Woodpecker,Campethera mombassica,Mombasa Woodpecker,L0 species as entered on checklist (Clements 2024)
Campethera maculosa,Green-Backed Woodpecker,Campethera maculosa,Green-backed Woodpecker,L0 species as entered on checklist (Clements 2024)
Pogoniulus simplex,Green Tinkerbird,Pogoniulus simplex,Green Tinkerbird,L0 species as entered on checklist (Clements 2024)
Pogonornis melanopterus,Brown-Breasted Barbet,Pogonornis melanopterus,Brown-breasted Barbet,L0 species as entered on checklist (Clements 2024)
Trachyphonus vaillant,Crested Barbet,Trachyphonus vaillantii,Crested Barbet,high confidence str match to checklist (Clements 2024)  0.971
Lybius torquatu,Black-Collared Barbet,Lybius torquatus,Black-collared Barbet,high confidence str match to checklist (Clements 2024)  0.979
Chloropicus namaquus,Bearded Woodpecker,Chloropicus namaquus,Bearded Woodpecker,L0 species as entered on checklist (Clements 2024)
Gymnoris superciliaris,Yellow-Throated Bush-Sparrow,Gymnoris superciliaris,Yellow-throated Bush Sparrow,L0 species as entered on checklist (Clements 2024)
Pogoniulus scolopaceus,Speckled Tinkerbird,Pogoniulus scolopaceus,Speckled Tinkerbird,L0 species as entered on checklist (Clements 2024)
Parus monticolus,Green-Backed Tit,Parus monticolus,Green-backed Tit,L0 species as entered on checklist (Clements 2024)
