scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Icterus galbula,Balitmore Oriole,Icterus galbula,Baltimore Oriole,L0 species as entered on checklist (Clements 2024)
Urile pelagicus,Pelagic Cormorant,Urile pelagicus,Pelagic Cormorant,L0 species as entered on checklist (Clements 2024)
Urile urile,Red-Faced Cormorant,Urile urile,Red-faced Cormorant,L0 species as entered on checklist (Clements 2024)
Larus smithsonianus,American Herring Gull,Larus smithsonianus,American Herring Gull,L0 species as entered on checklist (Clements 2024)
Larus vegae,Vega Gull,Larus vegae,Vega Gull,L0 species as entered on checklist (Clements 2024)
Uria lomvia,Thick-Billed Murre,Uria lomvia,Thick-billed Murre,L0 species as entered on checklist (Clements 2024)
Hydrobates furcatus,Fork-Tailed Storm-Petrel,Hydrobates furcatus,Fork-tailed Storm-Petrel,L0 species as entered on checklist (Clements 2024)
Urodynamis taitensis,Long-Tailed Koel,Urodynamis taitensis,Long-tailed Koel,L0 species as entered on checklist (Clements 2024)
Vermivora bachmanii,Bachman's Warbler,Vermivora bachmanii,Bachman's Warbler,L0 species as entered on checklist (Clements 2024)
Vermivora cyanoptera,Blue-Winged Warbler,Vermivora cyanoptera,Blue-winged Warbler,L0 species as entered on checklist (Clements 2024)
Vidua camerunensis,Cameroon Indigobird,Vidua camerunensis,Cameroon Indigobird,L0 species as entered on checklist (Clements 2024)
Lagonosticta rubricata,African Firefinch,Lagonosticta rubricata,African Firefinch,L0 species as entered on checklist (Clements 2024)
Lagonosticta rara,Black-Bellied Firefinch,Lagonosticta rara,Black-bellied Firefinch,L0 species as entered on checklist (Clements 2024)
Vidua chalybeata,Village Indigobird,Vidua chalybeata,Village Indigobird,L0 species as entered on checklist (Clements 2024)
Vidua chalybeata neumanni,Village Indigobird,Vidua chalybeata neumanni,,L0 species as entered on checklist (Clements 2024)
Vidua codringtoni,Green Indigobird,Vidua codringtoni,Green Indigobird,L0 species as entered on checklist (Clements 2024)
Vidua fischeri,Straw-Tailed Whydah,Vidua fischeri,Straw-tailed Whydah,L0 species as entered on checklist (Clements 2024)
