scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data,ca.conus.rejection
Anarhynchus nivosus; Charadrius nivosus,Snowy Plover,Snowy Plover,Anarhynchus nivosus,Near-threatened,CHARADRIIFORMES,Charadriidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,2780,Snowy Plover,Charadriiformes,Charadriidae,Charadrius nivosus,yes,Snowy Plover,Anarhynchus nivosus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius nivosus,Snowy Plover,CONUS & Canada,Charadriiformes,Charadriidae,12/22/2022,yes,yes,NA
Anarhynchus wilsonia; Charadrius wilsonia,Wilson's Plover,Wilson's Plover,Anarhynchus wilsonia,NA,CHARADRIIFORMES,Charadriidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,2800,Wilson's Plover,Charadriiformes,Charadriidae,Charadrius wilsonia,yes,Wilson's Plover,Anarhynchus wilsonia,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius wilsonia,Wilson's Plover,CONUS & Canada,Charadriiformes,Charadriidae,10/6/22,yes,yes,NA
Anas acuta,Northern Pintail,Northern Pintail,Anas acuta,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1430,Northern Pintail,Anseriformes,Anatidae,Anas acuta,yes,Northern Pintail,Anas acuta,Palearctic and North America; winters to southern Eurasia and northern South America,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas acuta,Northern Pintail,CONUS & Canada,Anseriformes,Anatidae,11/30/2022,yes,yes,NA
Anas crecca,Green-winged Teal,Green-winged Teal,Anas crecca,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1390,Green-winged Teal,Anseriformes,Anatidae,Anas crecca,yes,Green-winged Teal,Anas crecca,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas crecca,Green-winged Teal,CONUS & Canada,Anseriformes,Anatidae,11/30/2022-12/1/2022,yes,yes,NA
Anas diazi,Mexican Duck,Mexican Duck,Anas diazi,NA,ANSERIFORMES,Anatidae,CAM; hol; NAM; nea; US48,yes,1331,Mexican Duck,Anseriformes,Anatidae,Anas diazi,yes,Mexican Duck,Anas diazi,"southeastern Arizona, southern New Mexico and western Texas (Trans-Pecos region) southward to central Mexico","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas diazi,Mexican Duck,CONUS & Canada,Anseriformes,Anatidae,12/12/2023,yes,yes,NA
Anas fulvigula,Mottled Duck,Mottled Duck,Anas fulvigula,NA,ANSERIFORMES,Anatidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,1340,Mottled Duck,Anseriformes,Anatidae,Anas fulvigula,yes,Mottled Duck,Anas fulvigula,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas fulvigula,Mottled Duck,CONUS & Canada,Anseriformes,Anatidae,11/10/2023-11/14/2023,yes,yes,NA
Anas platyrhynchos,Mallard,Mallard,Anas platyrhynchos,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,1320,Mallard,Anseriformes,Anatidae,Anas platyrhynchos,yes,Mallard,Anas platyrhynchos,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas platyrhynchos,Mallard,CONUS & Canada,Anseriformes,Anatidae,10/4/22,yes,yes,NA
Anas platyrhynchos x rubripes; Anas platyrhynchos x rubripes/diazi/fulvigula,Mallard x American Black Duck (hybrid); hybrid Mallard x Black/Mexican/Mottled Duck,NA,NA,NA,NA,NA,NA,no,1326,hybrid Mallard x Black / Mexican / Mottled Duck,Anseriformes,Anatidae,Anas platyrhynchos x rubripes / diazi / fulvigula,yes,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas platyrhynchos x rubripes / diazi / fulvigula,hybrid Mallard x Black / Mexican / Mottled Duck,CONUS & Canada,Anseriformes,Anatidae,N/A; hybrid species,yes,yes,NA
Anas rubripes,American Black Duck,American Black Duck,Anas rubripes,NA,ANSERIFORMES,Anatidae,ASI; CA; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,1330,American Black Duck,Anseriformes,Anatidae,Anas rubripes,yes,American Black Duck,Anas rubripes,northeastern North America; winters to Bahamas and Gulf Coast,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas rubripes,American Black Duck,CONUS & Canada,Anseriformes,Anatidae,11/25/2022,yes,yes,NA
Anhinga anhinga,Anhinga,Anhinga,Anhinga anhinga,NA,SULIFORMES,Anhingidae,CA; CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,1180,Anhinga,Suliformes,Anhingidae,Anhinga anhinga,yes,Anhinga,Anhinga anhinga,NA,Anhingidae (Anhingas),Suliformes,yes,Anhinga anhinga,Anhinga,CONUS & Canada,Suliformes,Anhingidae,1/30/2023-1/31/2023,yes,yes,NA
