scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Chaetura pelagica,Chimney Swift,Chimney Swift,Chaetura pelagica,Vulnerable,APODIFORMES,Apodidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak,yes,4230,Chimney Swift,Apodiformes,Apodidae,Chaetura pelagica,yes,Chimney Swift,Chaetura pelagica,"breeds eastern North America; winters in coastal Peru and northern Chile, in Amazonian Peru, and probably in western Brazil",Apodidae (Swifts),Apodiformes,yes,Chaetura pelagica,Chimney Swift,CONUS & Canada,Apodiformes,Apodidae,4/3/2022,yes
Chaetura vauxi,Vaux's Swift,Vaux's Swift,Chaetura vauxi,NA,APODIFORMES,Apodidae,CA; CAM; hol; NAM; nan; nea; SAM; US48; USak,yes,4240,Vaux's Swift,Apodiformes,Apodidae,Chaetura vauxi,yes,Vaux's Swift,Chaetura vauxi,NA,Apodidae (Swifts),Apodiformes,yes,Chaetura vauxi,Vaux's Swift,CONUS & Canada,Apodiformes,Apodidae,4/3/2022,yes
Chamaea fasciata,Wrentit,Wrentit,Chamaea fasciata,NA,PASSERIFORMES,Paradoxornithidae,CAM; hol; NAM; nea; US48,yes,7420,Wrentit,Passeriformes,Sylviidae,Chamaea fasciata,yes,Wrentit,Chamaea fasciata,NA,Paradoxornithidae (Parrotbills),Passeriformes,yes,Chamaea fasciata,Wrentit,CONUS & Canada,Passeriformes,Sylviidae,10/14/22,yes
Charadrius hiaticula,Common Ringed Plover,Common Ringed Plover,Charadrius hiaticula,NA,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2750,Common Ringed Plover,Charadriiformes,Charadriidae,Charadrius hiaticula,yes,Common Ringed Plover,Charadrius hiaticula,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius hiaticula,Common Ringed Plover,CONUS & Canada,Charadriiformes,Charadriidae,9/25/2023,yes
Charadrius melodus,Piping Plover,Piping Plover,Charadrius melodus,Near-threatened,CHARADRIIFORMES,Charadriidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,2770,Piping Plover,Charadriiformes,Charadriidae,Charadrius melodus,yes,Piping Plover,Charadrius melodus,"eastern Canada and USA; winters southeastern USA, Bahamas, and Greater Antilles",Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius melodus,Piping Plover,CONUS & Canada,Charadriiformes,Charadriidae,9/25/2023-9/29/2023,yes
Charadrius semipalmatus,Semipalmated Plover,Semipalmated Plover,Charadrius semipalmatus,NA,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2740,Semipalmated Plover,Charadriiformes,Charadriidae,Charadrius semipalmatus,yes,Semipalmated Plover,Charadrius semipalmatus,breeds northern North America; winters to southern South America and Hawaiian Islands,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius semipalmatus,Semipalmated Plover,CONUS & Canada,Charadriiformes,Charadriidae,9/25/2023,yes
Charadrius vociferus,Killdeer,Killdeer,Charadrius vociferus,Near-threatened,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2730,Killdeer,Charadriiformes,Charadriidae,Charadrius vociferus,yes,Killdeer,Charadrius vociferus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius vociferus,Killdeer,CONUS & Canada,Charadriiformes,Charadriidae,10/4/2022-10/12/2022,yes
Chlidonias leucopterus,White-winged Tern,White-winged Tern,Chlidonias leucopterus,Rare/Accidental,CHARADRIIFORMES,Laridae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,White-winged Tern,Chlidonias leucopterus,"Palearctic; winters to Africa, southern Asia, and Australasia","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Chlidonias niger,Black Tern,Black Tern,Chlidonias niger,NA,CHARADRIIFORMES,Laridae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,770,Black Tern,Charadriiformes,Laridae,Chlidonias niger,yes,Black Tern,Chlidonias niger,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Chlidonias niger,Black Tern,CONUS & Canada,Charadriiformes,Laridae,1/23/2023,yes
Chloris chloris,European Greenfinch,European Greenfinch,Chloris chloris,Uncertain origin,PASSERIFORMES,Fringillidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; SAM,yes,NA,NA,NA,NA,NA,no,European Greenfinch,Chloris chloris,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Chloris sinica,Oriental Greenfinch,Oriental Greenfinch,Chloris sinica,Uncertain origin,PASSERIFORMES,Fringillidae,ASI; CA; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Oriental Greenfinch,Chloris sinica,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Chloroceryle amazona,Amazon Kingfisher,Amazon Kingfisher,Chloroceryle amazona,Rare/Accidental,CORACIIFORMES,Alcedinidae,CAM; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Amazon Kingfisher,Chloroceryle amazona,"southern Mexico to Colombia, Venezuela, and east of Andes to Argentina",Alcedinidae (Kingfishers),Coraciiformes,yes,Chloroceryle amazona,Amazon Kingfisher,Mexico,Coraciiformes,Alcedinidae,09/17/2024,yes
Chloroceryle americana,Green Kingfisher,Green Kingfisher,Chloroceryle americana,NA,CORACIIFORMES,Alcedinidae,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,3910,Green Kingfisher,Coraciiformes,Alcedinidae,Chloroceryle americana,yes,Green Kingfisher,Chloroceryle americana,NA,Alcedinidae (Kingfishers),Coraciiformes,yes,Chloroceryle americana,Green Kingfisher,CONUS & Canada,Coraciiformes,Alcedinidae,2/8/2023,yes
Chondestes grammacus,Lark Sparrow,Lark Sparrow,Chondestes grammacus,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,5520,Lark Sparrow,Passeriformes,Passerellidae,Chondestes grammacus,yes,Lark Sparrow,Chondestes grammacus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Chondestes grammacus,Lark Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/6/2023,yes
Chondrohierax uncinatus,Hook-billed Kite,Hook-billed Kite,Chondrohierax uncinatus,NA,ACCIPITRIFORMES,Accipitridae,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,3271,Hook-billed Kite,Accipitriformes,Accipitridae,Chondrohierax uncinatus,yes,Hook-billed Kite,Chondrohierax uncinatus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Chondrohierax uncinatus,Hook-billed Kite,CONUS & Canada,Accipitriformes,Accipitridae,2/13/2023,yes
Chordeiles acutipennis,Lesser Nighthawk,Lesser Nighthawk,Chordeiles acutipennis,NA,CAPRIMULGIFORMES,Caprimulgidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48; USak,yes,4210,Lesser Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,yes,Lesser Nighthawk,Chordeiles acutipennis,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles acutipennis,Lesser Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,4/23/2019; checked 9/22/2022,yes
Chordeiles gundlachii,Antillean Nighthawk,Antillean Nighthawk,Chordeiles gundlachii,NA,CAPRIMULGIFORMES,Caprimulgidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,4201,Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles gundlachii,yes,Antillean Nighthawk,Chordeiles gundlachii,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles gundlachii,Antillean Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,11/15/2023,yes
Chordeiles minor,Common Nighthawk,Common Nighthawk,Chordeiles minor,NA,CAPRIMULGIFORMES,Caprimulgidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,4200,Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles minor,yes,Common Nighthawk,Chordeiles minor,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles minor,Common Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,12/14/2022,yes
Chordeiles minor/gundlachii,Common/Antillean Nighthawk; unid. Common Nighthawk/Antillean Nighthawk,NA,NA,NA,NA,NA,NA,no,4206,unid. Common Nighthawk / Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles minor / gundlachii,yes,Common/Antillean Nighthawk,Chordeiles minor/gundlachii,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles minor / gundlachii,unid. Common Nighthawk / Antillean Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,N/A; unidentified species,yes
Chordeiles sp.; Chordeiles acutipennis/minor,nighthawk sp.; unid. Lesser Nighthawk/Common Nighthawk,NA,NA,NA,NA,NA,NA,no,4205,unid. Lesser Nighthawk / Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis / minor,yes,nighthawk sp.,Chordeiles sp.,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles acutipennis / minor,unid. Lesser Nighthawk / Common Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,N/A; unidentified species,yes
Chroicocephalus cirrocephalus,Gray-hooded Gull,Gray-hooded Gull,Chroicocephalus cirrocephalus,Rare/Accidental,CHARADRIIFORMES,Laridae,AFR; ASI; CAM; CAR; EUR; hol; MID; NAM; nea; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,Gray-hooded Gull,Chroicocephalus cirrocephalus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Chroicocephalus philadelphia,Bonaparte's Gull,Bonaparte's Gull,Chroicocephalus philadelphia,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,600,Bonaparte's Gull,Charadriiformes,Laridae,Chroicocephalus philadelphia,yes,Bonaparte's Gull,Chroicocephalus philadelphia,northern North America; winters to Mexico and Greater Antilles,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Chroicocephalus philadelphia,Bonaparte's Gull,CONUS & Canada,Charadriiformes,Laridae,1/17/2023,yes
Chroicocephalus ridibundus,Black-headed Gull,Black-headed Gull,Chroicocephalus ridibundus,NA,CHARADRIIFORMES,Laridae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,551,Black-headed Gull,Charadriiformes,Laridae,Chroicocephalus ridibundus,yes,Black-headed Gull,Chroicocephalus ridibundus,"northern Palearctic; winters to Africa, southern Asia, and eastern North America","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Chroicocephalus ridibundus,Black-headed Gull,CONUS & Canada,Charadriiformes,Laridae,10/16/2023,yes
Cinclus mexicanus,American Dipper,American Dipper,Cinclus mexicanus,NA,PASSERIFORMES,Cinclidae,CA; CAM; hol; NAM; nea; US48; USak,yes,7010,American Dipper,Passeriformes,Cinclidae,Cinclus mexicanus,yes,American Dipper,Cinclus mexicanus,NA,Cinclidae (Dippers),Passeriformes,yes,Cinclus mexicanus,American Dipper,CONUS & Canada,Passeriformes,Cinclidae,2/24/2023,yes
Circus aeruginosus,Western Marsh Harrier,Western Marsh Harrier,Circus aeruginosus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,AFR; ASI; CAR; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Western Marsh Harrier,Circus aeruginosus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,NA,NA,NA,NA,NA,no
Circus cyaneus,Hen Harrier,Hen Harrier,Circus cyaneus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,AFR; ASI; EUR; hol; MID; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Hen Harrier,Circus cyaneus,widespread Eurasia,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,NA,NA,NA,NA,NA,no
Circus hudsonius,Northern Harrier,Northern Harrier,Circus hudsonius,NA,ACCIPITRIFORMES,Accipitridae,ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,3310,Northern Harrier,Accipitriformes,Accipitridae,Circus hudsonius,yes,Northern Harrier,Circus hudsonius,widespread North America; winters to northern South America,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Circus hudsonius,Northern Harrier,CONUS & Canada,Accipitriformes,Accipitridae,5/31/2022; 10/12/2022,yes
Cistothorus palustris,Marsh Wren,Marsh Wren,Cistothorus palustris,NA,PASSERIFORMES,Troglodytidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,7250,Marsh Wren,Passeriformes,Troglodytidae,Cistothorus palustris,yes,Marsh Wren,Cistothorus palustris,NA,Troglodytidae (Wrens),Passeriformes,yes,Cistothorus palustris,Marsh Wren,CONUS & Canada,Passeriformes,Troglodytidae,9/12/2023-9/15/23,yes
Cistothorus stellaris,Sedge Wren,Sedge Wren,Cistothorus stellaris,NA,PASSERIFORMES,Troglodytidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,7240,Sedge Wren,Passeriformes,Troglodytidae,Cistothorus stellaris,yes,Sedge Wren,Cistothorus stellaris,eastern Canada to eastern USA; winters Florida to northeastern Mexico,Troglodytidae (Wrens),Passeriformes,yes,Cistothorus stellaris,Sedge Wren,CONUS & Canada,Passeriformes,Troglodytidae,11/15/2023,yes
Clangula hyemalis,Long-tailed Duck,Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,1540,Long-tailed Duck,Anseriformes,Anatidae,Clangula hyemalis,yes,Long-tailed Duck,Clangula hyemalis,coasts of Holarctic region,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Clangula hyemalis,Long-tailed Duck,CONUS & Canada,Anseriformes,Anatidae,12/1/2022,yes
Coccothraustes coccothraustes,Hawfinch,Hawfinch,Coccothraustes coccothraustes,Rare/Accidental,PASSERIFORMES,Fringillidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Hawfinch,Coccothraustes coccothraustes,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Coccothraustes vespertinus,Evening Grosbeak,Evening Grosbeak,Coccothraustes vespertinus,Vulnerable,PASSERIFORMES,Fringillidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,5140,Evening Grosbeak,Passeriformes,Fringillidae,Coccothraustes vespertinus,yes,Evening Grosbeak,Coccothraustes vespertinus,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Coccothraustes vespertinus,Evening Grosbeak,CONUS & Canada,Passeriformes,Fringillidae,3/3/2023,yes
Coccyzus americanus,Yellow-billed Cuckoo,Yellow-billed Cuckoo,Coccyzus americanus,NA,CUCULIFORMES,Cuculidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,3870,Yellow-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus americanus,yes,Yellow-billed Cuckoo,Coccyzus americanus,Canada to Mexico and West Indies; winters to northern Argentina,Cuculidae (Cuckoos),Cuculiformes,yes,Coccyzus americanus,Yellow-billed Cuckoo,CONUS & Canada,Cuculiformes,Cuculidae,4/9/2019; checked 9/22/2022,yes
Coccyzus americanus/erythropthalmus,Yellow-billed/Black-billed Cuckoo; unid. Yellow-billed Cuckoo/Black-billed Cuckoo,NA,NA,NA,NA,NA,NA,no,3875,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus americanus / erythropthalmus,yes,Yellow-billed/Black-billed Cuckoo,Coccyzus americanus/erythropthalmus,NA,Cuculidae (Cuckoos),Cuculiformes,yes,Coccyzus americanus / erythropthalmus,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,CONUS & Canada,Cuculiformes,Cuculidae,N/A; unidentified species,yes
Coccyzus erythropthalmus,Black-billed Cuckoo,Black-billed Cuckoo,Coccyzus erythropthalmus,NA,CUCULIFORMES,Cuculidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48,yes,3880,Black-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus erythropthalmus,yes,Black-billed Cuckoo,Coccyzus erythropthalmus,breeds eastern North America; winters to Bolivia,Cuculidae (Cuckoos),Cuculiformes,yes,Coccyzus erythropthalmus,Black-billed Cuckoo,CONUS & Canada,Cuculiformes,Cuculidae,4/9/2019; checked 9/22/2022,yes
Coccyzus melacoryphus,Dark-billed Cuckoo,Dark-billed Cuckoo,Coccyzus melacoryphus,Rare/Accidental,CUCULIFORMES,Cuculidae,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Dark-billed Cuckoo,Coccyzus melacoryphus,"Venezuela to the Guianas, Brazil, northern Argentina, and Galapagos",Cuculidae (Cuckoos),Cuculiformes,yes,NA,NA,NA,NA,NA,NA,no
Coccyzus minor,Mangrove Cuckoo,Mangrove Cuckoo,Coccyzus minor,NA,CUCULIFORMES,Cuculidae,CAM; CAR; hol; NAM; nan; nea; OCE; PAC; SAM; TT; US48,yes,3860,Mangrove Cuckoo,Cuculiformes,Cuculidae,Coccyzus minor,yes,Mangrove Cuckoo,Coccyzus minor,locally from southern Florida to coastal northern Brazil,Cuculidae (Cuckoos),Cuculiformes,yes,Coccyzus minor,Mangrove Cuckoo,CONUS & Canada,Cuculiformes,Cuculidae,9/26/2023-9/29/2023,yes
Coereba flaveola,Bananaquit,Bananaquit,Coereba flaveola,Rare/Accidental,PASSERIFORMES,Thraupidae,CAM; CAR; hol; NAM; nan; nea; OCE; PAC; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Bananaquit,Coereba flaveola,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Coereba flaveola,Bananaquit,Mexico,Passeriformes,Thraupidae,09/16/24,yes
Colaptes auratus,Northern Flicker; (unid. Red/Yellow Shafted) Northern Flicker,Northern Flicker,Colaptes auratus,NA,PICIFORMES,Picidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,4123,(unid. Red / Yellow Shafted) Northern Flicker,Piciformes,Picidae,Colaptes auratus,yes,Northern Flicker,Colaptes auratus,NA,Picidae (Woodpeckers),Piciformes,yes,Colaptes auratus,(unid. Red/Yellow Shafted) Northern Flicker,CONUS & Canada,Piciformes,Picidae,4/13/2022,yes
Colaptes auratus auratus,(Yellow-shafted Flicker) Northern Flicker,NA,NA,NA,NA,NA,NA,no,4120,(Yellow-shafted Flicker) Northern Flicker,Piciformes,Picidae,Colaptes auratus auratus,yes,NA,Colaptes auratus auratus,southeastern USA,Picidae (Woodpeckers),Piciformes,yes,Colaptes auratus auratus,(Yellow-shafted Flicker) Northern Flicker,CONUS & Canada,Piciformes,Picidae,4/13/2022,yes
Colaptes auratus cafer,(Red-shafted Flicker) Northern Flicker,NA,NA,NA,NA,NA,NA,no,4130,(Red-shafted Flicker) Northern Flicker,Piciformes,Picidae,Colaptes auratus cafer,yes,NA,Colaptes auratus cafer,southern Alaska and British Columbia to northern California,Picidae (Woodpeckers),Piciformes,yes,Colaptes auratus cafer,(Red-shafted Flicker) Northern Flicker,CONUS & Canada,Piciformes,Picidae,4/13/2022,yes
Colaptes auratus luteus x cafer; Colaptes auratus auratus x auratus cafer,Northern Flicker (Yellow-shafted x Red-shafted); hybrid Northern Flicker (Red x Yellow-shafted),NA,NA,NA,NA,NA,NA,no,4125,hybrid Northern Flicker (Red x Yellow-shafted),Piciformes,Picidae,Colaptes auratus auratus x auratus cafer,yes,Northern Flicker (Yellow-shafted x Red-shafted),Colaptes auratus luteus x cafer,NA,Picidae (Woodpeckers),Piciformes,yes,Colaptes auratus auratus x auratus cafer,hybrid Northern Flicker (Red x Yellow-shafted),CONUS & Canada,Piciformes,Picidae,4/13/2022,yes
Colaptes chrysoides,Gilded Flicker,Gilded Flicker,Colaptes chrysoides,NA,PICIFORMES,Picidae,CAM; hol; NAM; nea; US48,yes,4140,Gilded Flicker,Piciformes,Picidae,Colaptes chrysoides,yes,Gilded Flicker,Colaptes chrysoides,NA,Picidae (Woodpeckers),Piciformes,yes,Colaptes chrysoides,Gilded Flicker,CONUS & Canada,Piciformes,Picidae,2/3/2022,yes
Colibri thalassinus,Mexican Violetear,Mexican Violetear,Colibri thalassinus,Rare/Accidental,APODIFORMES,Trochilidae,CA; CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Mexican Violetear,Colibri thalassinus,open mountain slopes of southern Mexico to north-central Nicaragua,Trochilidae (Hummingbirds),Apodiformes,yes,Colibri thalassinus,Mexican Violetear,Mexico,Caprimulgiformes,Trochilidae,9/12/2024-9/13/2024,yes
Colinus virginianus,Northern Bobwhite,Northern Bobwhite,Colinus virginianus,Near-threatened,GALLIFORMES,Odontophoridae,AUS; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; pal; US48,yes,2890,Northern Bobwhite,Galliformes,Odontophoridae,Colinus virginianus,yes,Northern Bobwhite,Colinus virginianus,NA,Odontophoridae (New World Quail),Galliformes,yes,Colinus virginianus,Northern Bobwhite,CONUS & Canada,Galliformes,Odontophoridae,12/6/2022,yes
Coloeus monedula,Eurasian Jackdaw,Eurasian Jackdaw,Coloeus monedula,Rare/Accidental,PASSERIFORMES,Corvidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Eurasian Jackdaw,Coloeus monedula,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Columba livia,Rock Pigeon,Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,3131,Rock Pigeon,Columbiformes,Columbidae,Columba livia,yes,Rock Pigeon,Columba livia,NA,Columbidae (Pigeons and Doves),Columbiformes,yes,Columba livia,Rock Pigeon,CONUS & Canada,Columbiformes,Columbidae,12/12/2022,yes
Columba palumbus,Common Wood-Pigeon,Common Wood-Pigeon,Columba palumbus,Rare/Accidental,COLUMBIFORMES,Columbidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Common Wood-Pigeon,Columba palumbus,NA,Columbidae (Pigeons and Doves),Columbiformes,yes,Columba palumbus,Common Wood-Pigeon,Asia & Europe & Africa,Columbiformes,Columbidae,4/19/2024,yes
Columbina inca,Inca Dove,Inca Dove,Columbina inca,NA,COLUMBIFORMES,Columbidae,CA; CAM; hol; NAM; nea; US48,yes,3210,Inca Dove,Columbiformes,Columbidae,Columbina inca,yes,Inca Dove,Columbina inca,semiarid southwestern USA to northwestern Costa Rica,Columbidae (Pigeons and Doves),Columbiformes,yes,Columbina inca,Inca Dove,CONUS & Canada,Columbiformes,Columbidae,4/2/2019; checked 9/20/2022,yes
Columbina passerina,Common Ground Dove,Common Ground Dove,Columbina passerina,NA,COLUMBIFORMES,Columbidae,CA; CAM; CAR; hol; NAM; nan; nea; OCE; PAC; SAM; TT; US48,yes,3200,Common Ground Dove,Columbiformes,Columbidae,Columbina passerina,yes,Common Ground Dove,Columbina passerina,NA,Columbidae (Pigeons and Doves),Columbiformes,yes,Columbina passerina,Common Ground Dove,CONUS & Canada,Columbiformes,Columbidae,12/12/2022,yes
Columbina talpacoti,Ruddy Ground Dove,Ruddy Ground Dove,Columbina talpacoti,Rare/Accidental,COLUMBIFORMES,Columbidae,CAM; hol; NAM; nan; nea; SAM; TT; US48,yes,3201,Ruddy Ground Dove,Columbiformes,Columbidae,Columbina talpacoti,yes,Ruddy Ground Dove,Columbina talpacoti,NA,Columbidae (Pigeons and Doves),Columbiformes,yes,Columbina talpacoti,Ruddy Ground Dove,CONUS & Canada,Columbiformes,Columbidae,12/12/2022,yes
Contopus caribaeus,Cuban Pewee,Cuban Pewee,Contopus caribaeus,Rare/Accidental,PASSERIFORMES,Tyrannidae,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Cuban Pewee,Contopus caribaeus,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Contopus cooperi,Olive-sided Flycatcher,Olive-sided Flycatcher,Contopus cooperi,Near-threatened,PASSERIFORMES,Tyrannidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,4590,Olive-sided Flycatcher,Passeriformes,Tyrannidae,Contopus cooperi,yes,Olive-sided Flycatcher,Contopus cooperi,breeds temperate North America; winters southward to Bolivia,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Contopus cooperi,Olive-sided Flycatcher,CONUS & Canada,Passeriformes,Tyrannidae,2/13/2023-2/20/2023,yes
Contopus pertinax,Greater Pewee,Greater Pewee,Contopus pertinax,Rare/Accidental,PASSERIFORMES,Tyrannidae,CAM; hol; NAM; nea; US48,yes,4600,Greater Pewee,Passeriformes,Tyrannidae,Contopus pertinax,yes,Greater Pewee,Contopus pertinax,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Contopus pertinax,Greater Pewee,CONUS & Canada,Passeriformes,Tyrannidae,2/13/2023,yes
Contopus sordidulus,Western Wood-Pewee,Western Wood-Pewee,Contopus sordidulus,NA,PASSERIFORMES,Tyrannidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48; USak,yes,4620,Western Wood-Pewee,Passeriformes,Tyrannidae,Contopus sordidulus,yes,Western Wood-Pewee,Contopus sordidulus,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Contopus sordidulus,Western Wood-Pewee,CONUS & Canada,Passeriformes,Tyrannidae,2/13/2023,yes
