scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data
Chloris chloris,European Greenfinch,European Greenfinch,Chloris chloris,Uncertain origin,PASSERIFORMES,Fringillidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; SAM,yes,NA,NA,NA,NA,NA,no,European Greenfinch,Chloris chloris,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Chloris sinica,Oriental Greenfinch,Oriental Greenfinch,Chloris sinica,Uncertain origin,PASSERIFORMES,Fringillidae,ASI; CA; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Oriental Greenfinch,Chloris sinica,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Chordeiles minor/gundlachii,Common/Antillean Nighthawk; unid. Common Nighthawk/Antillean Nighthawk,NA,NA,NA,NA,NA,NA,no,4206,unid. Common Nighthawk / Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles minor / gundlachii,yes,Common/Antillean Nighthawk,Chordeiles minor/gundlachii,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles minor / gundlachii,unid. Common Nighthawk / Antillean Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,N/A; unidentified species,yes,yes
Chordeiles sp.; Chordeiles acutipennis/minor,nighthawk sp.; unid. Lesser Nighthawk/Common Nighthawk,NA,NA,NA,NA,NA,NA,no,4205,unid. Lesser Nighthawk / Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis / minor,yes,nighthawk sp.,Chordeiles sp.,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles acutipennis / minor,unid. Lesser Nighthawk / Common Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,N/A; unidentified species,yes,yes
Coccyzus americanus/erythropthalmus,Yellow-billed/Black-billed Cuckoo; unid. Yellow-billed Cuckoo/Black-billed Cuckoo,NA,NA,NA,NA,NA,NA,no,3875,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus americanus / erythropthalmus,yes,Yellow-billed/Black-billed Cuckoo,Coccyzus americanus/erythropthalmus,NA,Cuculidae (Cuckoos),Cuculiformes,yes,Coccyzus americanus / erythropthalmus,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,CONUS & Canada,Cuculiformes,Cuculidae,N/A; unidentified species,yes,yes
Corvus brachyrhynchos/ossifragus,American/Fish Crow; unid. American Crow/Fish Crow,NA,NA,NA,NA,NA,NA,no,4881,unid. American Crow / Fish Crow,Passeriformes,Corvidae,Corvus brachyrhynchos / ossifragus,yes,American/Fish Crow,Corvus brachyrhynchos/ossifragus,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Corvus brachyrhynchos / ossifragus,unid. American Crow / Fish Crow,CONUS & Canada,Passeriformes,Corvidae,N/A; unidentified species,yes,yes
Corvus cornix,Hooded Crow,Hooded Crow,Corvus cornix,Uncertain origin,PASSERIFORMES,Corvidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Hooded Crow,Corvus cornix,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Corvus splendens,House Crow,House Crow,Corvus splendens,Introduced species,PASSERIFORMES,Corvidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nan; nea; OCE; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,House Crow,Corvus splendens,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Crithagra mozambica,Yellow-fronted Canary,Yellow-fronted Canary,Crithagra mozambica,Introduced species,PASSERIFORMES,Fringillidae,AFR; ASI; hol; NAM; nea; OCE; PAC; US48; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-fronted Canary,Crithagra mozambica,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Cyanocorax colliei; Calocitta colliei,Black-throated Magpie-Jay,Black-throated Magpie-Jay,Cyanocorax colliei,Introduced species,PASSERIFORMES,Corvidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black-throated Magpie-Jay,Cyanocorax colliei,Pacific slope of northwestern Mexico (southeastern Sonora to Jalisco and Colima),"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Calocitta colliei,Black-throated Magpie-Jay,Mexico,Passeriformes,Corvidae,NA,yes,yes
Daptrius chimachima,Yellow-headed Caracara,Yellow-headed Caracara,Daptrius chimachima,Uncertain origin,FALCONIFORMES,Falconidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Yellow-headed Caracara,Daptrius chimachima,NA,Falconidae (Falcons and Caracaras),Falconiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Dendragapus obscurus/fuliginosus,Dusky/Sooty Grouse; unid. Dusky Grouse/Sooty Grouse,NA,NA,NA,NA,NA,NA,no,2973,unid. Dusky Grouse / Sooty Grouse,Galliformes,Phasianidae,Dendragapus obscurus / fuliginosus,yes,Dusky/Sooty Grouse,Dendragapus obscurus/fuliginosus,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Dendragapus obscurus / fuliginosus,unid. Dusky Grouse / Sooty Grouse,CONUS & Canada,Galliformes,Phasianidae,N/A; unidentified species,yes,yes
Egretta eulophotes,Chinese Egret,Chinese Egret,Egretta eulophotes,Vulnerable,PELECANIFORMES,Ardeidae,ASI; hol; NAM; nea; pal; USak; XX,yes,NA,NA,NA,NA,NA,no,Chinese Egret,Egretta eulophotes,"eastern Asia; winters to southeastern Asia, Philippines, and Indonesia","Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,NA,NA,NA,NA,NA,NA,no,yes
